,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,0.0,,,,
Ordinary Shares Number,171910599.0,170748395.0,158043880.0,136690329.0,
Share Issued,171910599.0,170748395.0,158043880.0,136690329.0,
Net Debt,10697452000.0,9334569000.0,8430518000.0,6994754000.0,
Total Debt,11698525000.0,10566462000.0,9226611000.0,7909036000.0,
Tangible Book Value,18471175000.0,18972387000.0,16189542000.0,11725712000.0,
Invested Capital,29786817000.0,29132149000.0,24981408000.0,19288998000.0,
Working Capital,-1219325000.0,-699019000.0,-1025810000.0,-418186000.0,
Net Tangible Assets,18471175000.0,18972387000.0,16189542000.0,11725712000.0,
Capital Lease Obligations,382883000.0,406700000.0,434745000.0,345750000.0,
Common Stock Equity,18471175000.0,18972387000.0,16189542000.0,11725712000.0,
Total Capitalization,29686865000.0,29132149000.0,24711418000.0,19189007000.0,
Total Equity Gross Minority Interest,22622993000.0,22683247000.0,19033250000.0,13443778000.0,
Minority Interest,4151818000.0,3710860000.0,2843708000.0,1718066000.0,
Stockholders Equity,18471175000.0,18972387000.0,16189542000.0,11725712000.0,
Gains Losses Not Affecting Retained Earnings,-15896000.0,-20812000.0,-7294000.0,-6625000.0,
Other Equity Adjustments,-15896000.0,-20812000.0,-7294000.0,-6625000.0,
Additional Paid In Capital,18485352000.0,18991492000.0,16195256000.0,11730970000.0,
Capital Stock,1719000.0,1707000.0,1580000.0,1367000.0,
Common Stock,1719000.0,1707000.0,1580000.0,1367000.0,
Preferred Stock,,,,,0.0
Total Liabilities Net Minority Interest,14148409000.0,12840152000.0,11186123000.0,9384100000.0,
Total Non Current Liabilities Net Minority Interest,12147332000.0,11167218000.0,9453080000.0,8238084000.0,
Other Non Current Liabilities,480493000.0,529712000.0,424278000.0,377474000.0,
Preferred Securities Outside Stock Equity,,,,11342000.0,12300000.0
Derivative Product Liabilities,,,,,0.0
Non Current Deferred Liabilities,15183000.0,18321000.0,12384000.0,4495000.0,
Non Current Deferred Revenue,,,,276751000.0,275863000.0
Long Term Debt And Capital Lease Obligation,11598573000.0,10566462000.0,8956621000.0,7809045000.0,
Long Term Capital Lease Obligation,382883000.0,406700000.0,434745000.0,345750000.0,
Long Term Debt,11215690000.0,10159762000.0,8521876000.0,7463295000.0,
Long Term Provisions,53083000.0,52723000.0,59797000.0,47070000.0,
Current Liabilities,2001077000.0,1672934000.0,1733043000.0,1146016000.0,
Current Deferred Liabilities,548529000.0,449622000.0,326924000.0,276751000.0,
Current Deferred Revenue,548529000.0,449622000.0,326924000.0,276751000.0,
Current Debt And Capital Lease Obligation,99952000.0,,269990000.0,99991000.0,384000000.0
Current Debt,99952000.0,,269990000.0,99991000.0,384000000.0
Line Of Credit,99952000.0,0.0,269990000.0,99991000.0,
Current Provisions,,,,47070000.0,14037000.0
Payables And Accrued Expenses,1352596000.0,1223312000.0,1136129000.0,769274000.0,
Current Accrued Expenses,606333000.0,624440000.0,438866000.0,333271000.0,
Payables,746263000.0,598872000.0,697263000.0,436003000.0,
Dividends Payable,221824000.0,209131000.0,183847000.0,150982000.0,
Accounts Payable,524439000.0,389741000.0,513416000.0,285021000.0,
Total Assets,36771402000.0,35523399000.0,30219373000.0,22827878000.0,
Total Non Current Assets,35989650000.0,34549484000.0,29512140000.0,22100048000.0,
Other Non Current Assets,88453000.0,80724000.0,53985000.0,30620000.0,
Defined Pension Benefit,40365000.0,33534000.0,38937000.0,31057000.0,
Non Current Prepaid Assets,,,,13861000.0,31028000.0
Non Current Deferred Assets,1590614000.0,1490668000.0,1261527000.0,1019548000.0,
Financial Assets,,,,,0.0
Investments And Advances,1487298000.0,1653509000.0,1915047000.0,1943463000.0,
Other Investments,1449518000.0,1615074000.0,1876564000.0,1611114000.0,
Long Term Equity Investment,37780000.0,38435000.0,38483000.0,332349000.0,
Investmentsin Joint Venturesat Cost,37780000.0,38435000.0,38483000.0,332349000.0,
Investment Properties,31633511000.0,29945440000.0,24980669000.0,18092372000.0,
Net PPE,1149409000.0,1345609000.0,1261975000.0,982988000.0,
Gross PPE,1149409000.0,1345609000.0,1261975000.0,982988000.0,
Other Properties,1122849000.0,1322423000.0,1235546000.0,951858000.0,
Machinery Furniture Equipment,26560000.0,23186000.0,26429000.0,31130000.0,
Current Assets,781752000.0,973915000.0,707233000.0,727830000.0,
Restricted Cash,42581000.0,32782000.0,53879000.0,29173000.0,
Prepaid Assets,56832000.0,49099000.0,200883000.0,81528000.0,
Receivables,64149000.0,66841000.0,91123000.0,48597000.0,
Other Receivables,40097000.0,39352000.0,70656000.0,37840000.0,
Notes Receivable,15841000.0,19875000.0,13088000.0,3424000.0,
Accounts Receivable,8211000.0,7614000.0,7379000.0,7333000.0,
Cash Cash Equivalents And Short Term Investments,618190000.0,825193000.0,361348000.0,568532000.0,
Cash And Cash Equivalents,618190000.0,825193000.0,361348000.0,568532000.0,
