,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Ordinary Shares Number,148492783.0,140896598.0,132419754.0,125882477.0
Share Issued,148492783.0,140896598.0,132419754.0,125882477.0
Net Debt,6792152000.0,8095517000.0,7213482000.0,4510971000.0
Total Debt,7037828000.0,8370016000.0,7563090000.0,4768731000.0
Tangible Book Value,10046605000.0,8687834000.0,7175632000.0,6059946000.0
Invested Capital,17677620000.0,17566162000.0,15237094000.0,11322982000.0
Working Capital,-466824000.0,-554907000.0,-671640000.0,-311143000.0
Net Tangible Assets,10046605000.0,8687834000.0,7175632000.0,6059946000.0
Capital Lease Obligations,230272000.0,222945000.0,232885000.0,236952000.0
Common Stock Equity,10870064000.0,9419091000.0,7906889000.0,6791203000.0
Total Capitalization,17424197000.0,15179738000.0,12837094000.0,11322982000.0
Total Equity Gross Minority Interest,10870064000.0,9419091000.0,7906889000.0,6791203000.0
Stockholders Equity,10870064000.0,9419091000.0,7906889000.0,6791203000.0
Gains Losses Not Affecting Retained Earnings,518528000.0,369112000.0,69803000.0,-57589000.0
Other Equity Adjustments,518528000.0,369112000.0,69803000.0,-57589000.0
Retained Earnings,3666674000.0,3211157000.0,2812673000.0,2471014000.0
Additional Paid In Capital,6684120000.0,5838118000.0,5023751000.0,4377149000.0
Capital Stock,742000.0,704000.0,662000.0,629000.0
Common Stock,742000.0,704000.0,662000.0,629000.0
Total Liabilities Net Minority Interest,11646904000.0,12773898000.0,11701773000.0,8567829000.0
Total Non Current Liabilities Net Minority Interest,10294312000.0,9171298000.0,8191418000.0,7785428000.0
Other Non Current Liabilities,81718000.0,67921000.0,53369000.0,55508000.0
Derivative Product Liabilities,85902000.0,1129000.0,0.0,0.0
Employee Benefits,66523000.0,91596000.0,185617000.0,337303000.0
Non Current Pension And Other Postretirement Benefit Plans,66523000.0,91596000.0,185617000.0,337303000.0
Non Current Deferred Liabilities,2567344000.0,2393346000.0,2264915000.0,2164393000.0
Non Current Deferred Revenue,9158000.0,8628000.0,9879000.0,10060000.0
Non Current Deferred Taxes Liabilities,2558186000.0,2384718000.0,2255036000.0,2154333000.0
Long Term Debt And Capital Lease Obligation,6748585000.0,5944948000.0,5124950000.0,4732850000.0
Long Term Capital Lease Obligation,194452000.0,184301000.0,194745000.0,201071000.0
Long Term Debt,6554133000.0,5760647000.0,4930205000.0,4531779000.0
Long Term Provisions,5174000.0,5737000.0,18373000.0,20348000.0
Current Liabilities,1352592000.0,3602600000.0,3510355000.0,782401000.0
Other Current Liabilities,305083000.0,290500000.0,275188000.0,154763000.0
Current Deferred Liabilities,88359000.0,84850000.0,102275000.0,76470000.0
Current Deferred Revenue,65266000.0,56016000.0,49722000.0,56485000.0
Current Debt And Capital Lease Obligation,289243000.0,2425068000.0,2438140000.0,35881000.0
Current Capital Lease Obligation,35820000.0,38644000.0,38140000.0,35881000.0
Current Debt,253423000.0,2386424000.0,2400000000.0,
Other Current Borrowings,253423000.0,2386424000.0,2400000000.0,
Pensionand Other Post Retirement Benefit Plans Current,9375000.0,9721000.0,4863000.0,29609000.0
Payables And Accrued Expenses,660532000.0,792461000.0,689889000.0,485678000.0
Current Accrued Expenses,203195000.0,186774000.0,203331000.0,154257000.0
Interest Payable,78939000.0,59542000.0,55164000.0,53554000.0
Payables,457337000.0,605687000.0,486558000.0,331421000.0
Other Payable,43688000.0,157942000.0,100699000.0,42054000.0
Total Tax Payable,195468000.0,189239000.0,160986000.0,148292000.0
Accounts Payable,218181000.0,258506000.0,224873000.0,141075000.0
Total Assets,22516968000.0,22192989000.0,19608662000.0,15359032000.0
Total Non Current Assets,21631200000.0,19145296000.0,16769947000.0,14887774000.0
Other Non Current Assets,23306000.0,20968000.0,27738000.0,23374000.0
Defined Pension Benefit,92648000.0,29498000.0,0.0,
Financial Assets,381593000.0,355784000.0,175613000.0,74991000.0
Investments And Advances,104602000.0,96012000.0,108071000.0,103952000.0
Investmentin Financial Assets,104602000.0,96012000.0,108071000.0,103952000.0
Goodwill And Other Intangible Assets,823459000.0,731257000.0,731257000.0,731257000.0
Other Intangible Assets,92202000.0,,,
Goodwill,731257000.0,731257000.0,731257000.0,731257000.0
Net PPE,19829949000.0,17454902000.0,15286416000.0,13582493000.0
Accumulated Depreciation,-3291791000.0,-2997900000.0,-2821128000.0,-2601874000.0
Gross PPE,23121740000.0,20452802000.0,18107544000.0,16184367000.0
Construction In Progress,939927000.0,835868000.0,626551000.0,418055000.0
Other Properties,223366000.0,214663000.0,222446000.0,227146000.0
Current Assets,885768000.0,3047693000.0,2838715000.0,471258000.0
Other Current Assets,33424000.0,2032199000.0,2015094000.0,14456000.0
Hedging Assets Current,4071000.0,26207000.0,55073000.0,5687000.0
Current Deferred Assets,148297000.0,119742000.0,66395000.0,40593000.0
Restricted Cash,3844000.0,0.0,,
Prepaid Assets,58029000.0,58551000.0,48766000.0,40340000.0
Inventory,280127000.0,383821000.0,193697000.0,118779000.0
Receivables,342572000.0,375619000.0,342967000.0,230595000.0
Receivables Adjustments Allowances,-40840000.0,-49993000.0,-64471000.0,-29949000.0
Other Receivables,64775000.0,33850000.0,91802000.0,39586000.0
Taxes Receivable,13918000.0,11911000.0,0.0,
Accounts Receivable,198976000.0,258333000.0,218219000.0,140259000.0
Gross Accounts Receivable,,,,140259000.0
Cash Cash Equivalents And Short Term Investments,15404000.0,51554000.0,116723000.0,20808000.0
Cash And Cash Equivalents,15404000.0,51554000.0,116723000.0,20808000.0
