,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,402746136.0,414671383.0,423343707.0,429941021.0,
Ordinary Shares Number,609515023.0,597589776.0,588917452.0,582320138.0,
Share Issued,1012261159.0,1012261159.0,1012261159.0,1012261159.0,
Net Debt,39363000000.0,42181000000.0,49870000000.0,55628000000.0,
Total Debt,52603000000.0,57277000000.0,58370000000.0,63851000000.0,
Tangible Book Value,-27420000000.0,-26251000000.0,-25629000000.0,-29240000000.0,
Invested Capital,34821000000.0,40912000000.0,42923000000.0,45064000000.0,
Working Capital,13448000000.0,19471000000.0,26674000000.0,34362000000.0,
Net Tangible Assets,-27420000000.0,-26251000000.0,-25629000000.0,-29240000000.0,
Capital Lease Obligations,549000000.0,482000000.0,448000000.0,471000000.0,
Common Stock Equity,-17233000000.0,-15883000000.0,-14999000000.0,-18316000000.0,
Total Capitalization,29694000000.0,35787000000.0,41688000000.0,43436000000.0,
Total Equity Gross Minority Interest,-17228000000.0,-15848000000.0,-14846000000.0,-18075000000.0,
Minority Interest,5000000.0,35000000.0,153000000.0,241000000.0,
Stockholders Equity,-17233000000.0,-15883000000.0,-14999000000.0,-18316000000.0,
Gains Losses Not Affecting Retained Earnings,-10305000000.0,-9550000000.0,-11659000000.0,-17133000000.0,
Other Equity Adjustments,14000000.0,-24000000.0,7000000.0,-17133000000.0,
Foreign Currency Translation Adjustments,-134000000.0,-167000000.0,-105000000.0,,
Minimum Pension Liabilities,-10185000000.0,-9359000000.0,-11561000000.0,,
Treasury Stock,49549000000.0,50814000000.0,51861000000.0,52641000000.0,
Retained Earnings,27251000000.0,29473000000.0,34408000000.0,38610000000.0,
Additional Paid In Capital,10309000000.0,9947000000.0,9052000000.0,7787000000.0,
Capital Stock,5061000000.0,5061000000.0,5061000000.0,5061000000.0,
Common Stock,5061000000.0,5061000000.0,5061000000.0,5061000000.0,
Total Liabilities Net Minority Interest,154240000000.0,152948000000.0,153398000000.0,170211000000.0,
Total Non Current Liabilities Net Minority Interest,58413000000.0,62896000000.0,71406000000.0,82931000000.0,
Other Non Current Liabilities,2332000000.0,2211000000.0,1750000000.0,1486000000.0,
Employee Benefits,8749000000.0,8644000000.0,12632000000.0,18545000000.0,
Non Current Pension And Other Postretirement Benefit Plans,8749000000.0,8644000000.0,12632000000.0,18545000000.0,
Non Current Deferred Liabilities,229000000.0,230000000.0,218000000.0,1010000000.0,
Non Current Deferred Taxes Liabilities,229000000.0,230000000.0,218000000.0,1010000000.0,
Long Term Debt And Capital Lease Obligation,47103000000.0,51811000000.0,56806000000.0,61890000000.0,
Long Term Capital Lease Obligation,176000000.0,141000000.0,119000000.0,138000000.0,
Long Term Debt,46927000000.0,51670000000.0,56687000000.0,61752000000.0,
Current Liabilities,95827000000.0,90052000000.0,81992000000.0,87280000000.0,
Other Current Liabilities,4699000000.0,4060000000.0,2014000000.0,1913000000.0,
Current Deferred Liabilities,56328000000.0,53081000000.0,52980000000.0,50488000000.0,
Current Deferred Revenue,56328000000.0,53081000000.0,52980000000.0,50488000000.0,
Current Debt And Capital Lease Obligation,5500000000.0,5466000000.0,1564000000.0,1961000000.0,
Current Capital Lease Obligation,373000000.0,341000000.0,329000000.0,333000000.0,
Current Debt,5127000000.0,5125000000.0,1235000000.0,1628000000.0,
Other Current Borrowings,5127000000.0,5125000000.0,1235000000.0,1628000000.0,
Commercial Paper,,,,,6109000000.0
Pensionand Other Post Retirement Benefit Plans Current,7194000000.0,6845000000.0,6573000000.0,7121000000.0,
Current Provisions,,,1900000000.0,1527000000.0,1267000000.0
Payables And Accrued Expenses,22106000000.0,20600000000.0,18861000000.0,25797000000.0,
Current Accrued Expenses,10142000000.0,10400000000.0,9600000000.0,12826000000.0,
Interest Payable,652000000.0,599000000.0,641000000.0,,
Payables,11964000000.0,10200000000.0,9261000000.0,12971000000.0,
Dividends Payable,,,,,1159000000.0
Total Tax Payable,,,5000000.0,43000000.0,670000000.0
Income Tax Payable,,,5000000.0,43000000.0,670000000.0
Accounts Payable,11964000000.0,10200000000.0,9261000000.0,12928000000.0,
Total Assets,137012000000.0,137100000000.0,138552000000.0,152136000000.0,
Total Non Current Assets,27737000000.0,27577000000.0,29886000000.0,30494000000.0,
Other Non Current Assets,4935000000.0,4163000000.0,5591000000.0,4712000000.0,
Non Current Deferred Assets,59000000.0,63000000.0,77000000.0,86000000.0,
Non Current Deferred Taxes Assets,59000000.0,63000000.0,77000000.0,86000000.0,
Non Current Accounts Receivable,,1450000000.0,1695000000.0,1936000000.0,2136000000.0
Investments And Advances,1035000000.0,983000000.0,975000000.0,1016000000.0,
Goodwill And Other Intangible Assets,10187000000.0,10368000000.0,10630000000.0,10924000000.0,
Other Intangible Assets,2094000000.0,2311000000.0,2562000000.0,2843000000.0,
Goodwill,8093000000.0,8057000000.0,8068000000.0,8081000000.0,
Net PPE,11521000000.0,12000000000.0,10918000000.0,11820000000.0,
Accumulated Depreciation,-22245000000.0,-21442000000.0,-20538000000.0,-20507000000.0,
Gross PPE,33766000000.0,33442000000.0,31456000000.0,32327000000.0,
Construction In Progress,1679000000.0,1368000000.0,1235000000.0,1340000000.0,
Other Properties,860000000.0,1450000000.0,,,
Machinery Furniture Equipment,16055000000.0,15844000000.0,15692000000.0,16060000000.0,
Buildings And Improvements,14795000000.0,14404000000.0,14152000000.0,14415000000.0,
Land And Improvements,377000000.0,376000000.0,377000000.0,512000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,109275000000.0,109523000000.0,108666000000.0,121642000000.0,
Other Current Assets,2504000000.0,2847000000.0,2221000000.0,4286000000.0,
Inventory,79741000000.0,78151000000.0,78823000000.0,81715000000.0,
Finished Goods,68683000000.0,67702000000.0,68106000000.0,70153000000.0,
Work In Process,,9073000000.0,9845000000.0,10739000000.0,9419000000.0
Raw Materials,11058000000.0,10449000000.0,10717000000.0,11562000000.0,
Receivables,11065000000.0,11305000000.0,11378000000.0,10051000000.0,
Receivables Adjustments Allowances,-89000000.0,-116000000.0,-390000000.0,-444000000.0,
Other Receivables,8441000000.0,8793000000.0,8742000000.0,8110000000.0,
Accounts Receivable,2713000000.0,2628000000.0,3026000000.0,2385000000.0,
Cash Cash Equivalents And Short Term Investments,15965000000.0,17220000000.0,16244000000.0,25590000000.0,
Other Short Term Investments,3274000000.0,2606000000.0,8192000000.0,17838000000.0,
Cash And Cash Equivalents,12691000000.0,14614000000.0,8052000000.0,7752000000.0,
