,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,0.0,,,,
Ordinary Shares Number,547156311.0,546641973.0,539096879.0,538405393.0,
Share Issued,547156311.0,546641973.0,539096879.0,538405393.0,
Net Debt,6758664000.0,6425581000.0,6011702000.0,6253753000.0,
Total Debt,7083042000.0,6706128000.0,6374536000.0,6477874000.0,
Tangible Book Value,6036290000.0,6236640000.0,5995710000.0,6213806000.0,
Invested Capital,13226745000.0,13152314000.0,12685459000.0,13031702000.0,
Working Capital,-816646000.0,-1167193000.0,-1222982000.0,1669438000.0,
Net Tangible Assets,6036290000.0,6236640000.0,5995710000.0,6213806000.0,
Capital Lease Obligations,206743000.0,208515000.0,204547000.0,179895000.0,
Common Stock Equity,6350446000.0,6654701000.0,6515470000.0,6733723000.0,
Total Capitalization,12506745000.0,12156708000.0,11519484000.0,12902112000.0,
Total Equity Gross Minority Interest,6924870000.0,7288277000.0,7146104000.0,7347346000.0,
Minority Interest,574424000.0,633576000.0,630634000.0,613623000.0,
Stockholders Equity,6350446000.0,6654701000.0,6515470000.0,6733723000.0,
Other Equity Interest,-4621861000.0,-4269689000.0,-4120774000.0,-3976232000.0,
Gains Losses Not Affecting Retained Earnings,19371000.0,28134000.0,-3147000.0,-3685000.0,
Other Equity Adjustments,19371000.0,28134000.0,-3147000.0,-3685000.0,
Retained Earnings,,-4269689000.0,-4120774000.0,-3976232000.0,-3601199000.0
Additional Paid In Capital,10405780000.0,10349614000.0,10100294000.0,10175235000.0,
Capital Stock,547156000.0,546642000.0,539097000.0,538405000.0,
Common Stock,547156000.0,546642000.0,539097000.0,538405000.0,
Total Liabilities Net Minority Interest,8773980000.0,8482952000.0,8111415000.0,8572743000.0,
Total Non Current Liabilities Net Minority Interest,7396055000.0,6710791000.0,6175000000.0,7266799000.0,
Other Non Current Liabilities,127380000.0,156193000.0,177232000.0,144199000.0,
Non Current Deferred Liabilities,905633000.0,844076000.0,789207000.0,774316000.0,
Non Current Deferred Revenue,905633000.0,844076000.0,789207000.0,774316000.0,
Long Term Debt And Capital Lease Obligation,6363042000.0,5710522000.0,5208561000.0,6348284000.0,
Long Term Capital Lease Obligation,206743000.0,208515000.0,204547000.0,179895000.0,
Long Term Debt,6156299000.0,5502007000.0,5004014000.0,6168389000.0,
Current Liabilities,1377925000.0,1772161000.0,1936415000.0,1305944000.0,
Other Current Liabilities,729000.0,4070000.0,15056000.0,415737000.0,
Current Deferred Liabilities,,,,774316000.0,274554000.0
Current Deferred Revenue,,,,774316000.0,274554000.0
Current Debt And Capital Lease Obligation,720000000.0,995606000.0,1165975000.0,129590000.0,
Current Debt,720000000.0,995606000.0,1165975000.0,129590000.0,
Line Of Credit,,995606000.0,1165975000.0,129590000.0,93000000.0
Commercial Paper,720000000.0,,1165975000.0,,
Payables And Accrued Expenses,657196000.0,772485000.0,755384000.0,760617000.0,
Current Accrued Expenses,416938000.0,506889000.0,527746000.0,491472000.0,
Interest Payable,59492000.0,59291000.0,59342000.0,78735000.0,
Payables,240258000.0,265596000.0,227638000.0,269145000.0,
Accounts Payable,240258000.0,265596000.0,227638000.0,269145000.0,
Total Assets,15698850000.0,15771229000.0,15257519000.0,15920089000.0,
Total Non Current Assets,15137571000.0,15166261000.0,14544086000.0,12944707000.0,
Other Non Current Assets,772044000.0,780722000.0,674615000.0,665106000.0,
Investments And Advances,782853000.0,706677000.0,448340000.0,447577000.0,
Other Investments,,0.0,44706000.0,44706000.0,84604000.0
Long Term Equity Investment,782853000.0,706677000.0,403634000.0,402871000.0,
Investmentsin Joint Venturesat Cost,782853000.0,706677000.0,403634000.0,402871000.0,
Investment Properties,13028363000.0,13023483000.0,12667429000.0,11119758000.0,
Goodwill And Other Intangible Assets,314156000.0,418061000.0,519760000.0,519917000.0,
Other Intangible Assets,314156000.0,418061000.0,519760000.0,519917000.0,
Net PPE,240155000.0,237318000.0,233942000.0,192349000.0,
Gross PPE,240155000.0,237318000.0,233942000.0,192349000.0,
Other Properties,240155000.0,237318000.0,233942000.0,192349000.0,
Current Assets,561279000.0,604968000.0,713433000.0,2975382000.0,
Assets Held For Sale Current,117986000.0,49866000.0,37190000.0,2626306000.0,
Restricted Cash,51388000.0,54802000.0,53454000.0,67206000.0,
Receivables,274270000.0,428268000.0,464502000.0,237644000.0,
Loans Receivable,218450000.0,374832000.0,415811000.0,195375000.0,
Accounts Receivable,55820000.0,53436000.0,48691000.0,42269000.0,
Allowance For Doubtful Accounts Receivable,-2282000.0,-2399000.0,-1870000.0,-3994000.0,
Gross Accounts Receivable,58102000.0,55835000.0,50561000.0,46263000.0,
Cash Cash Equivalents And Short Term Investments,117635000.0,72032000.0,158287000.0,44226000.0,
Cash And Cash Equivalents,117635000.0,72032000.0,158287000.0,44226000.0,
