,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Treasury Shares Number,64087000.0,63703000.0,61289000.0,59761000.0
Ordinary Shares Number,24770000.0,25154000.0,27568000.0,29096000.0
Share Issued,88857000.0,88857000.0,88857000.0,88857000.0
Net Debt,1724880000.0,1720467000.0,1063664000.0,677041000.0
Total Debt,1901897000.0,1912230000.0,1334762000.0,907642000.0
Tangible Book Value,-1462234000.0,-1565031000.0,-903226000.0,-490518000.0
Invested Capital,1173668000.0,1051722000.0,1148076000.0,1165517000.0
Working Capital,188760000.0,153256000.0,-8233000.0,119567000.0
Net Tangible Assets,-1462234000.0,-1565031000.0,-903226000.0,-490518000.0
Capital Lease Obligations,40239000.0,58561000.0,75744000.0,73207000.0
Common Stock Equity,-687990000.0,-801947000.0,-110942000.0,331082000.0
Total Capitalization,1123668000.0,1021722000.0,898076000.0,1070517000.0
Total Equity Gross Minority Interest,-687990000.0,-801947000.0,-110942000.0,331082000.0
Stockholders Equity,-687990000.0,-801947000.0,-110942000.0,331082000.0
Gains Losses Not Affecting Retained Earnings,-102145000.0,-124702000.0,-75854000.0,-82995000.0
Other Equity Adjustments,-102145000.0,-124702000.0,-75854000.0,-82995000.0
Treasury Stock,5324865000.0,4935769000.0,3857855000.0,2997856000.0
Retained Earnings,3388059000.0,2958684000.0,2585143000.0,2193059000.0
Additional Paid In Capital,1350713000.0,1299588000.0,1237348000.0,1218583000.0
Capital Stock,248000.0,252000.0,276000.0,291000.0
Common Stock,248000.0,252000.0,276000.0,291000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2263271000.0,2243981000.0,1678718000.0,1275158000.0
Total Non Current Liabilities Net Minority Interest,1895583000.0,1912522000.0,1119511000.0,860647000.0
Other Non Current Liabilities,60022000.0,49661000.0,56823000.0,48005000.0
Long Term Debt And Capital Lease Obligation,1835561000.0,1862861000.0,1062688000.0,812642000.0
Long Term Capital Lease Obligation,23903000.0,39192000.0,53670000.0,73207000.0
Long Term Debt,1811658000.0,1823669000.0,1009018000.0,739435000.0
Current Liabilities,367688000.0,331459000.0,559207000.0,414511000.0
Current Deferred Liabilities,136730000.0,120045000.0,105417000.0,115159000.0
Current Deferred Revenue,136730000.0,120045000.0,105417000.0,115159000.0
Current Debt And Capital Lease Obligation,66336000.0,49369000.0,272074000.0,95000000.0
Current Capital Lease Obligation,16336000.0,19369000.0,22074000.0,
Current Debt,50000000.0,30000000.0,250000000.0,95000000.0
Other Current Borrowings,50000000.0,30000000.0,250000000.0,
Pensionand Other Post Retirement Benefit Plans Current,102471000.0,97893000.0,103506000.0,117952000.0
Payables And Accrued Expenses,62151000.0,64152000.0,78210000.0,86400000.0
Current Accrued Expenses,43142000.0,46879000.0,57461000.0,63367000.0
Interest Payable,20770000.0,21314000.0,12241000.0,
Payables,19009000.0,17273000.0,20749000.0,23033000.0
Accounts Payable,19009000.0,17273000.0,20749000.0,23033000.0
Total Assets,1575281000.0,1442034000.0,1567776000.0,1606240000.0
Total Non Current Assets,1018833000.0,957319000.0,1016802000.0,1072162000.0
Other Non Current Assets,114547000.0,102514000.0,95585000.0,105285000.0
Non Current Deferred Assets,59136000.0,11803000.0,20549000.0,14629000.0
Non Current Deferred Taxes Assets,59136000.0,11803000.0,20549000.0,14629000.0
Investments And Advances,34237000.0,25650000.0,33196000.0,26573000.0
Other Investments,1223000.0,1135000.0,1312000.0,1060000.0
Investmentin Financial Assets,33014000.0,24515000.0,31884000.0,25513000.0
Available For Sale Securities,33014000.0,24515000.0,31884000.0,25513000.0
Trading Securities,,,31884000.0,25513000.0
Goodwill And Other Intangible Assets,774244000.0,763084000.0,792284000.0,821600000.0
Other Intangible Assets,917000.0,2017000.0,4099000.0,9236000.0
Goodwill,773327000.0,761067000.0,788185000.0,812364000.0
Net PPE,36669000.0,54268000.0,75188000.0,104075000.0
Accumulated Depreciation,-88001000.0,-94831000.0,-97053000.0,-114700000.0
Gross PPE,124670000.0,149099000.0,172241000.0,218775000.0
Leases,16743000.0,21286000.0,22068000.0,25239000.0
Other Properties,25703000.0,36688000.0,47275000.0,64145000.0
Machinery Furniture Equipment,82224000.0,91125000.0,102898000.0,129391000.0
Buildings And Improvements,,,47275000.0,57656000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,556448000.0,484715000.0,550974000.0,534078000.0
Other Current Assets,31723000.0,29103000.0,43513000.0,42504000.0
Prepaid Assets,,29103000.0,43513000.0,42504000.0
Receivables,387947000.0,322410000.0,312107000.0,334180000.0
Other Receivables,,,155408000.0,181550000.0
Accounts Receivable,387947000.0,322410000.0,312107000.0,334180000.0
Allowance For Doubtful Accounts Receivable,,,-4154000.0,-5072000.0
Gross Accounts Receivable,,,160853000.0,157702000.0
Cash Cash Equivalents And Short Term Investments,136778000.0,133202000.0,195354000.0,157394000.0
Cash And Cash Equivalents,136778000.0,133202000.0,195354000.0,157394000.0
Cash Equivalents,23621000.0,19314000.0,194000.0,35275000.0
Cash Financial,113157000.0,113888000.0,195160000.0,122119000.0
