,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,48000000.0,39000000.0,16000000.0,1000000.0,
Ordinary Shares Number,583000000.0,591000000.0,609000000.0,620000000.0,
Share Issued,631000000.0,630000000.0,625000000.0,621000000.0,
Net Debt,18638000000.0,19635000000.0,18343000000.0,18056000000.0,
Total Debt,19341000000.0,20409000000.0,20877000000.0,20620000000.0,
Tangible Book Value,-1816000000.0,5879000000.0,-20821000000.0,-21266000000.0,
Invested Capital,38171000000.0,47309000000.0,67700000000.0,69315000000.0,
Working Capital,-4530000000.0,-3406000000.0,-3758000000.0,-2463000000.0,
Net Tangible Assets,-1816000000.0,5879000000.0,-20821000000.0,-21266000000.0,
Capital Lease Obligations,263000000.0,318000000.0,524000000.0,605000000.0,
Common Stock Equity,19093000000.0,27218000000.0,47347000000.0,49300000000.0,
Total Capitalization,32063000000.0,41424000000.0,62172000000.0,65251000000.0,
Total Equity Gross Minority Interest,19099000000.0,27406000000.0,47532000000.0,49487000000.0,
Minority Interest,6000000.0,188000000.0,185000000.0,187000000.0,
Stockholders Equity,19093000000.0,27218000000.0,47347000000.0,49300000000.0,
Gains Losses Not Affecting Retained Earnings,-260000000.0,-360000000.0,252000000.0,57000000.0,
Other Equity Adjustments,-260000000.0,-360000000.0,252000000.0,57000000.0,
Treasury Stock,4724000000.0,4192000000.0,2266000000.0,150000000.0,
Retained Earnings,-22864000000.0,-14971000000.0,2889000000.0,3440000000.0,
Additional Paid In Capital,46935000000.0,46735000000.0,46466000000.0,45947000000.0,
Capital Stock,6000000.0,6000000.0,6000000.0,6000000.0,
Common Stock,6000000.0,6000000.0,6000000.0,6000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,36006000000.0,35872000000.0,35399000000.0,34355000000.0,
Total Non Current Liabilities Net Minority Interest,17688000000.0,19648000000.0,20933000000.0,21994000000.0,
Other Non Current Liabilities,330000000.0,357000000.0,1197000000.0,1514000000.0,
Liabilities Heldfor Sale Non Current,1093000000.0,1371000000.0,,,
Preferred Securities Outside Stock Equity,,,174000000.0,174000000.0,0.0
Derivative Product Liabilities,789000000.0,641000000.0,165000000.0,,
Non Current Deferred Liabilities,2328000000.0,2854000000.0,4368000000.0,4076000000.0,
Non Current Deferred Revenue,149000000.0,165000000.0,175000000.0,59000000.0,
Non Current Deferred Taxes Liabilities,2179000000.0,2689000000.0,4193000000.0,4017000000.0,
Long Term Debt And Capital Lease Obligation,13148000000.0,14425000000.0,15203000000.0,16404000000.0,
Long Term Capital Lease Obligation,178000000.0,219000000.0,378000000.0,453000000.0,
Long Term Debt,12970000000.0,14206000000.0,14825000000.0,15951000000.0,
Current Liabilities,18318000000.0,16224000000.0,14466000000.0,12361000000.0,
Other Current Liabilities,8884000000.0,7366000000.0,,,
Current Deferred Liabilities,832000000.0,777000000.0,779000000.0,881000000.0,
Current Deferred Revenue,832000000.0,777000000.0,779000000.0,881000000.0,
Current Debt And Capital Lease Obligation,6193000000.0,5984000000.0,5674000000.0,4216000000.0,
Current Capital Lease Obligation,85000000.0,99000000.0,146000000.0,152000000.0,
Current Debt,6108000000.0,5885000000.0,5528000000.0,4064000000.0,
Other Current Borrowings,1348000000.0,2130000000.0,1718000000.0,1458000000.0,
Commercial Paper,4760000000.0,3755000000.0,3810000000.0,2606000000.0,
Pensionand Other Post Retirement Benefit Plans Current,,104000000.0,134000000.0,155000000.0,116000000.0
Payables And Accrued Expenses,2409000000.0,2097000000.0,8013000000.0,7264000000.0,
Current Accrued Expenses,740000000.0,562000000.0,590000000.0,518000000.0,
Interest Payable,162000000.0,113000000.0,53000000.0,102000000.0,
Payables,1669000000.0,1535000000.0,7423000000.0,6746000000.0,
Other Payable,635000000.0,613000000.0,5295000000.0,4934000000.0,
Total Tax Payable,301000000.0,299000000.0,299000000.0,236000000.0,
Accounts Payable,733000000.0,623000000.0,1829000000.0,1576000000.0,
Total Assets,55105000000.0,63278000000.0,82931000000.0,83842000000.0,
Total Non Current Assets,41317000000.0,50460000000.0,72223000000.0,73944000000.0,
Other Non Current Assets,18056000000.0,26577000000.0,977000000.0,959000000.0,
Non Current Deferred Assets,1076000000.0,973000000.0,969000000.0,917000000.0,
Financial Assets,172000000.0,330000000.0,340000000.0,,
Investments And Advances,195000000.0,281000000.0,358000000.0,81000000.0,
Investmentin Financial Assets,195000000.0,281000000.0,358000000.0,81000000.0,
Available For Sale Securities,195000000.0,281000000.0,358000000.0,81000000.0,
Goodwill And Other Intangible Assets,20909000000.0,21339000000.0,68168000000.0,70566000000.0,
Other Intangible Assets,3938000000.0,4523000000.0,14838000000.0,17298000000.0,
Goodwill,16971000000.0,16816000000.0,53330000000.0,53268000000.0,
Net PPE,909000000.0,960000000.0,1411000000.0,1421000000.0,
Accumulated Depreciation,-1379000000.0,-1264000000.0,-1571000000.0,-1405000000.0,
Gross PPE,2288000000.0,2224000000.0,2982000000.0,2826000000.0,
Leases,105000000.0,113000000.0,162000000.0,157000000.0,
Other Properties,214000000.0,251000000.0,462000000.0,534000000.0,
Machinery Furniture Equipment,1501000000.0,1405000000.0,1915000000.0,1792000000.0,
Buildings And Improvements,435000000.0,422000000.0,397000000.0,295000000.0,
Land And Improvements,33000000.0,33000000.0,46000000.0,48000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,13788000000.0,12818000000.0,10708000000.0,9898000000.0,
Other Current Assets,603000000.0,509000000.0,2824000000.0,4308000000.0,
Assets Held For Sale Current,10111000000.0,8990000000.0,,,
Prepaid Assets,463000000.0,439000000.0,530000000.0,394000000.0,
Receivables,2171000000.0,2424000000.0,5344000000.0,3631000000.0,
Other Receivables,441000000.0,590000000.0,1572000000.0,317000000.0,
Accounts Receivable,1730000000.0,1834000000.0,3772000000.0,3314000000.0,
Allowance For Doubtful Accounts Receivable,-31000000.0,-31000000.0,-76000000.0,-82000000.0,
Gross Accounts Receivable,1761000000.0,1865000000.0,3848000000.0,3396000000.0,
Cash Cash Equivalents And Short Term Investments,440000000.0,456000000.0,2010000000.0,1959000000.0,
Cash And Cash Equivalents,440000000.0,456000000.0,2010000000.0,1959000000.0,
