,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,0.0,,,,
Ordinary Shares Number,142051000.0,153830000.0,166901000.0,169157000.0,
Share Issued,142051000.0,153830000.0,166901000.0,169157000.0,
Net Debt,3357600000.0,3057100000.0,2626600000.0,2349200000.0,
Total Debt,3935700000.0,3980900000.0,4061900000.0,3322600000.0,
Tangible Book Value,-4665700000.0,-5120900000.0,-4843800000.0,-4543100000.0,
Invested Capital,3878600000.0,3499300000.0,3964000000.0,3101500000.0,
Working Capital,-1427200000.0,-877200000.0,-546900000.0,-1022900000.0,
Net Tangible Assets,-4665700000.0,-5120900000.0,-4843800000.0,-4543100000.0,
Capital Lease Obligations,119300000.0,149800000.0,179600000.0,208200000.0,
Common Stock Equity,62200000.0,-331800000.0,81700000.0,-12900000.0,
Total Capitalization,3860700000.0,3481100000.0,3939900000.0,3077200000.0,
Total Equity Gross Minority Interest,62200000.0,-329300000.0,83200000.0,-11800000.0,
Minority Interest,0.0,2500000.0,1500000.0,1100000.0,
Stockholders Equity,62200000.0,-331800000.0,81700000.0,-12900000.0,
Gains Losses Not Affecting Retained Earnings,111200000.0,178000000.0,-38600000.0,-131000000.0,
Other Equity Adjustments,111200000.0,178000000.0,-38600000.0,-131000000.0,
Retained Earnings,-2320700000.0,-2422600000.0,-1474600000.0,-1190900000.0,
Additional Paid In Capital,2271600000.0,1912600000.0,1594700000.0,1308800000.0,
Capital Stock,100000.0,200000.0,200000.0,200000.0,
Common Stock,100000.0,200000.0,200000.0,200000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,7502700000.0,7302800000.0,7333900000.0,6444700000.0,
Total Non Current Liabilities Net Minority Interest,4819600000.0,4843000000.0,4897200000.0,4130500000.0,
Other Non Current Liabilities,90700000.0,87100000.0,77700000.0,56600000.0,
Dueto Related Parties Non Current,,,,0.0,175300000.0
Tradeand Other Payables Non Current,,,,200000.0,0.0
Non Current Deferred Liabilities,840200000.0,826500000.0,818600000.0,817100000.0,
Non Current Deferred Revenue,802400000.0,770300000.0,743300000.0,725100000.0,
Non Current Deferred Taxes Liabilities,37800000.0,56200000.0,75300000.0,92000000.0,
Long Term Debt And Capital Lease Obligation,3888700000.0,3929400000.0,4000900000.0,3256800000.0,
Long Term Capital Lease Obligation,90200000.0,116500000.0,142700000.0,166700000.0,
Long Term Debt,3798500000.0,3812900000.0,3858200000.0,3090100000.0,
Current Liabilities,2683100000.0,2459800000.0,2436700000.0,2314200000.0,
Other Current Liabilities,138800000.0,90200000.0,170000000.0,269000000.0,
Current Deferred Liabilities,2074900000.0,1954000000.0,1890100000.0,1711300000.0,
Current Deferred Revenue,2074900000.0,1954000000.0,1890100000.0,1711300000.0,
Current Debt And Capital Lease Obligation,47000000.0,51500000.0,61000000.0,65800000.0,
Current Capital Lease Obligation,29100000.0,33300000.0,36900000.0,41500000.0,
Current Debt,17900000.0,18200000.0,24100000.0,24300000.0,
Other Current Borrowings,17900000.0,18200000.0,24100000.0,24300000.0,
Pensionand Other Post Retirement Benefit Plans Current,143600000.0,116300000.0,124200000.0,114800000.0,
Payables And Accrued Expenses,278800000.0,247800000.0,191400000.0,153300000.0,
Current Accrued Expenses,74500000.0,74100000.0,70600000.0,63700000.0,
Payables,204300000.0,173700000.0,120800000.0,89600000.0,
Total Tax Payable,56200000.0,42800000.0,35600000.0,38600000.0,
Accounts Payable,148100000.0,130900000.0,85200000.0,51000000.0,
Total Assets,7564900000.0,6973500000.0,7417100000.0,6432900000.0,
Total Non Current Assets,6309000000.0,5390900000.0,5527300000.0,5141600000.0,
Other Non Current Assets,105600000.0,89600000.0,91200000.0,36000000.0,
Non Current Prepaid Assets,209000000.0,197100000.0,181400000.0,176100000.0,
Non Current Deferred Assets,1020400000.0,5400000.0,,,
Non Current Deferred Taxes Assets,1020400000.0,5400000.0,,,
Goodwill And Other Intangible Assets,4727900000.0,4789100000.0,4925500000.0,4530200000.0,
Other Intangible Assets,1158600000.0,1252200000.0,1384700000.0,1255100000.0,
Goodwill,3569300000.0,3536900000.0,3540800000.0,3275100000.0,
Net PPE,246100000.0,309700000.0,329200000.0,399300000.0,
Accumulated Depreciation,-564900000.0,-577100000.0,-586300000.0,-552400000.0,
Gross PPE,811000000.0,886800000.0,915500000.0,951700000.0,
Leases,76700000.0,78800000.0,87000000.0,98200000.0,
Other Properties,77100000.0,102100000.0,131100000.0,169000000.0,
Machinery Furniture Equipment,537400000.0,573700000.0,566100000.0,528900000.0,
Buildings And Improvements,115000000.0,126300000.0,125400000.0,146600000.0,
Land And Improvements,4800000.0,5900000.0,5900000.0,9000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,1255900000.0,1582600000.0,1889800000.0,1291300000.0,
Other Current Assets,18200000.0,22100000.0,30400000.0,60800000.0,
Hedging Assets Current,127200000.0,209600000.0,24700000.0,,
Prepaid Assets,535100000.0,516800000.0,515400000.0,423500000.0,
Receivables,76600000.0,60100000.0,63600000.0,41800000.0,
Accounts Receivable,76600000.0,60100000.0,63600000.0,41800000.0,
Cash Cash Equivalents And Short Term Investments,498800000.0,774000000.0,1255700000.0,765200000.0,
Other Short Term Investments,40000000.0,0.0,,0.0,23600000.0
Cash And Cash Equivalents,458800000.0,774000000.0,1255700000.0,765200000.0,
