,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,0.0,,,,
Preferred Shares Number,546024.0,546024.0,546024.0,546024.0,
Ordinary Shares Number,409914461.0,412155057.0,421691912.0,432906377.0,
Share Issued,409914461.0,412155057.0,421691912.0,432906377.0,
Net Debt,3096000000.0,3371000000.0,3512000000.0,3465000000.0,
Total Debt,3835000000.0,4277000000.0,4346000000.0,5213000000.0,
Tangible Book Value,-558000000.0,-988000000.0,-1163000000.0,-1151000000.0,
Invested Capital,7688000000.0,7708000000.0,7685000000.0,8597000000.0,
Working Capital,1532000000.0,1661000000.0,1484000000.0,2012000000.0,
Net Tangible Assets,-503000000.0,-933000000.0,-1108000000.0,-1096000000.0,
Capital Lease Obligations,129000000.0,115000000.0,114000000.0,138000000.0,
Common Stock Equity,3982000000.0,3546000000.0,3453000000.0,3522000000.0,
Preferred Stock Equity,55000000.0,55000000.0,55000000.0,55000000.0,
Total Capitalization,7537000000.0,7763000000.0,7735000000.0,8276000000.0,
Total Equity Gross Minority Interest,4037000000.0,3601000000.0,3508000000.0,3577000000.0,
Minority Interest,,0.0,0.0,0.0,14000000.0
Stockholders Equity,4037000000.0,3601000000.0,3508000000.0,3577000000.0,
Gains Losses Not Affecting Retained Earnings,-1830000000.0,-1841000000.0,-1863000000.0,-1943000000.0,
Other Equity Adjustments,-1830000000.0,-1841000000.0,-1863000000.0,-1943000000.0,
Retained Earnings,1720000000.0,1028000000.0,603000000.0,364000000.0,
Additional Paid In Capital,3682000000.0,3947000000.0,4291000000.0,4668000000.0,
Capital Stock,465000000.0,467000000.0,477000000.0,488000000.0,
Common Stock,410000000.0,412000000.0,422000000.0,433000000.0,
Preferred Stock,55000000.0,55000000.0,55000000.0,55000000.0,
Total Liabilities Net Minority Interest,6391000000.0,6654000000.0,6711000000.0,7866000000.0,
Total Non Current Liabilities Net Minority Interest,4607000000.0,5172000000.0,5458000000.0,6206000000.0,
Other Non Current Liabilities,254000000.0,185000000.0,226000000.0,224000000.0,
Liabilities Heldfor Sale Non Current,,,,0.0,2258000000.0
Employee Benefits,756000000.0,742000000.0,924000000.0,1183000000.0,
Non Current Pension And Other Postretirement Benefit Plans,756000000.0,742000000.0,924000000.0,1183000000.0,
Long Term Debt And Capital Lease Obligation,3597000000.0,4245000000.0,4308000000.0,4799000000.0,
Long Term Capital Lease Obligation,97000000.0,83000000.0,81000000.0,100000000.0,
Long Term Debt,3500000000.0,4162000000.0,4227000000.0,4699000000.0,
Current Liabilities,1784000000.0,1482000000.0,1253000000.0,1660000000.0,
Other Current Liabilities,168000000.0,170000000.0,150000000.0,251000000.0,
Current Debt And Capital Lease Obligation,238000000.0,32000000.0,38000000.0,414000000.0,
Current Capital Lease Obligation,32000000.0,32000000.0,33000000.0,38000000.0,
Current Debt,206000000.0,,5000000.0,376000000.0,1034000000.0
Other Current Borrowings,206000000.0,,5000000.0,376000000.0,1034000000.0
Pensionand Other Post Retirement Benefit Plans Current,263000000.0,195000000.0,198000000.0,205000000.0,
Payables And Accrued Expenses,1115000000.0,1085000000.0,867000000.0,790000000.0,
Current Accrued Expenses,65000000.0,75000000.0,74000000.0,89000000.0,
Interest Payable,65000000.0,75000000.0,74000000.0,89000000.0,
Payables,1050000000.0,1010000000.0,793000000.0,701000000.0,
Total Tax Payable,68000000.0,48000000.0,61000000.0,102000000.0,
Accounts Payable,982000000.0,962000000.0,732000000.0,599000000.0,
Total Assets,10428000000.0,10255000000.0,10219000000.0,11443000000.0,
Total Non Current Assets,7112000000.0,7112000000.0,7482000000.0,7771000000.0,
Other Non Current Assets,70000000.0,81000000.0,107000000.0,103000000.0,
Non Current Deferred Assets,46000000.0,54000000.0,184000000.0,272000000.0,
Non Current Deferred Taxes Assets,46000000.0,54000000.0,184000000.0,272000000.0,
Goodwill And Other Intangible Assets,4540000000.0,4534000000.0,4616000000.0,4673000000.0,
Other Intangible Assets,505000000.0,521000000.0,549000000.0,571000000.0,
Goodwill,4035000000.0,4013000000.0,4067000000.0,4102000000.0,
Net PPE,2456000000.0,2443000000.0,2575000000.0,2723000000.0,
Accumulated Depreciation,-3081000000.0,-2858000000.0,-2772000000.0,-2626000000.0,
Gross PPE,5537000000.0,5301000000.0,5347000000.0,5349000000.0,
Construction In Progress,224000000.0,179000000.0,182000000.0,208000000.0,
Other Properties,128000000.0,111000000.0,108000000.0,131000000.0,
Machinery Furniture Equipment,4079000000.0,3941000000.0,3932000000.0,3879000000.0,
Buildings And Improvements,1018000000.0,986000000.0,1034000000.0,1033000000.0,
Land And Improvements,88000000.0,84000000.0,91000000.0,98000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,3316000000.0,3143000000.0,2737000000.0,3672000000.0,
Other Current Assets,249000000.0,206000000.0,195000000.0,217000000.0,
Assets Held For Sale Current,,,,0.0,1442000000.0
Prepaid Assets,,,195000000.0,217000000.0,285000000.0
Inventory,1765000000.0,1609000000.0,1402000000.0,1488000000.0,
Finished Goods,451000000.0,490000000.0,478000000.0,528000000.0,
Work In Process,891000000.0,748000000.0,631000000.0,629000000.0,
Raw Materials,423000000.0,371000000.0,293000000.0,331000000.0,
Receivables,692000000.0,537000000.0,420000000.0,357000000.0,
Other Receivables,17000000.0,31000000.0,53000000.0,29000000.0,
Accounts Receivable,675000000.0,506000000.0,367000000.0,328000000.0,
Allowance For Doubtful Accounts Receivable,0.0,-1000000.0,0.0,-1000000.0,
Gross Accounts Receivable,675000000.0,507000000.0,367000000.0,329000000.0,
Cash Cash Equivalents And Short Term Investments,610000000.0,791000000.0,720000000.0,1610000000.0,
Cash And Cash Equivalents,610000000.0,791000000.0,720000000.0,1610000000.0,
