,2024-01-31,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Ordinary Shares Number,126222000.0,127321000.0,128500000.0,130353000.0,
Share Issued,126222000.0,127321000.0,128500000.0,130353000.0,
Total Debt,1403282000.0,1070334000.0,881052000.0,798681000.0,
Tangible Book Value,4207998000.0,3102694000.0,2281867000.0,2091609000.0,
Invested Capital,4232081000.0,3148799000.0,2740046000.0,2558566000.0,
Working Capital,2429316000.0,1667255000.0,1209519000.0,1241201000.0,
Net Tangible Assets,4207998000.0,3102694000.0,2281867000.0,2091609000.0,
Capital Lease Obligations,1403282000.0,1070334000.0,881052000.0,798681000.0,
Common Stock Equity,4232081000.0,3148799000.0,2740046000.0,2558566000.0,
Total Capitalization,4232081000.0,3148799000.0,2740046000.0,2558566000.0,
Total Equity Gross Minority Interest,4232081000.0,3148799000.0,2740046000.0,2558566000.0,
Stockholders Equity,4232081000.0,3148799000.0,2740046000.0,2558566000.0,
Gains Losses Not Affecting Retained Earnings,-264256000.0,-252584000.0,-195917000.0,-177155000.0,
Other Equity Adjustments,-264256000.0,-252584000.0,-195917000.0,-177155000.0,
Retained Earnings,3920362000.0,2926127000.0,2512840000.0,2346428000.0,
Additional Paid In Capital,575369000.0,474645000.0,422507000.0,388667000.0,
Capital Stock,606000.0,611000.0,616000.0,626000.0,
Common Stock,606000.0,611000.0,616000.0,626000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,2859860000.0,2458239000.0,2202432000.0,1626649000.0,
Total Non Current Liabilities Net Minority Interest,1228599000.0,966041000.0,797098000.0,743471000.0,
Other Non Current Liabilities,29201000.0,20040000.0,13616000.0,8976000.0,
Tradeand Other Payables Non Current,15864000.0,28555000.0,38074000.0,43150000.0,
Non Current Deferred Liabilities,29522000.0,55084000.0,53352000.0,58755000.0,
Non Current Deferred Taxes Liabilities,29522000.0,55084000.0,53352000.0,58755000.0,
Long Term Debt And Capital Lease Obligation,1154012000.0,862362000.0,692056000.0,632590000.0,
Long Term Capital Lease Obligation,1154012000.0,862362000.0,692056000.0,632590000.0,
Current Liabilities,1631261000.0,1492198000.0,1405334000.0,883178000.0,
Other Current Liabilities,60627000.0,77817000.0,84143000.0,55752000.0,
Current Deferred Liabilities,306479000.0,251478000.0,208195000.0,155848000.0,
Current Deferred Revenue,306479000.0,251478000.0,208195000.0,155848000.0,
Current Debt And Capital Lease Obligation,249270000.0,207972000.0,188996000.0,166091000.0,
Current Capital Lease Obligation,249270000.0,207972000.0,188996000.0,166091000.0,
Pensionand Other Post Retirement Benefit Plans Current,326110000.0,248167000.0,204921000.0,130171000.0,
Current Provisions,61634000.0,55528000.0,41690000.0,32560000.0,
Payables And Accrued Expenses,627141000.0,651236000.0,677389000.0,342756000.0,
Current Accrued Expenses,263514000.0,284100000.0,240269000.0,146907000.0,
Payables,363627000.0,367136000.0,437120000.0,195849000.0,
Total Tax Payable,15186000.0,194404000.0,147392000.0,23603000.0,
Income Tax Payable,12098000.0,174221000.0,133852000.0,8357000.0,
Accounts Payable,348441000.0,172732000.0,289728000.0,172246000.0,
Total Assets,7091941000.0,5607038000.0,4942478000.0,4185215000.0,
Total Non Current Assets,3031364000.0,2447585000.0,2327625000.0,2060836000.0,
Other Non Current Assets,154859000.0,127598000.0,108019000.0,83472000.0,
Non Current Prepaid Assets,31825000.0,28447000.0,24083000.0,23154000.0,
Non Current Deferred Assets,9176000.0,6402000.0,6091000.0,6731000.0,
Non Current Deferred Taxes Assets,9176000.0,6402000.0,6091000.0,6731000.0,
Goodwill And Other Intangible Assets,24083000.0,46105000.0,458179000.0,466957000.0,
Other Intangible Assets,,21961000.0,71299000.0,80080000.0,241000.0
Goodwill,24083000.0,24144000.0,386880000.0,386877000.0,
Net PPE,2811421000.0,2239033000.0,1731253000.0,1480522000.0,
Accumulated Depreciation,-1217425000.0,-987298000.0,-829134000.0,-690587000.0,
Gross PPE,4028846000.0,3226331000.0,2560387000.0,2171109000.0,
Leases,1006926000.0,818071000.0,676762000.0,583305000.0,
Construction In Progress,247943000.0,244898000.0,163420000.0,69847000.0,
Other Properties,1265610000.0,969419000.0,803543000.0,734835000.0,
Machinery Furniture Equipment,1399837000.0,1084401000.0,811485000.0,677991000.0,
Buildings And Improvements,29032000.0,28850000.0,30880000.0,30870000.0,
Land And Improvements,79498000.0,80692000.0,74297000.0,74261000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,4060577000.0,3159453000.0,2614853000.0,2124379000.0,
Other Current Assets,46652000.0,79962000.0,32550000.0,25579000.0,
Hedging Assets Current,647000.0,16707000.0,19077000.0,17364000.0,
Prepaid Assets,137203000.0,142003000.0,140945000.0,82164000.0,
Inventory,1323602000.0,1447367000.0,966481000.0,647230000.0,
Inventories Adjustments Allowances,-141474000.0,-124614000.0,-38045000.0,-30970000.0,
Other Inventories,1465076000.0,1571981000.0,1004526000.0,678200000.0,
Finished Goods,,,,647230000.0,518513000.0
Receivables,308502000.0,318547000.0,195929000.0,201525000.0,
Other Receivables,,,,13309000.0,
Taxes Receivable,183733000.0,185641000.0,118928000.0,139126000.0,
Accounts Receivable,124769000.0,132906000.0,77001000.0,62399000.0,
Cash Cash Equivalents And Short Term Investments,2243971000.0,1154867000.0,1259871000.0,1150517000.0,
Cash And Cash Equivalents,2243971000.0,1154867000.0,1259871000.0,1150517000.0,
