,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,484080014.0,492447997.0,491911087.0,491612059.0,
Share Issued,484080014.0,492447997.0,491911087.0,491612059.0,
Net Debt,386951000.0,,49699000.0,104523000.0,197224000.0
Total Debt,816348000.0,336329000.0,402760000.0,417145000.0,
Tangible Book Value,-460477000.0,1745000.0,-97856000.0,-130586000.0,
Invested Capital,1646343000.0,1322095000.0,1266217000.0,1144360000.0,
Working Capital,-170050000.0,-145165000.0,-138782000.0,-157734000.0,
Net Tangible Assets,-460477000.0,1745000.0,-97856000.0,-130586000.0,
Capital Lease Obligations,325572000.0,281431000.0,247760000.0,214145000.0,
Common Stock Equity,1155567000.0,1267197000.0,1111217000.0,941360000.0,
Total Capitalization,1646343000.0,1307095000.0,1247467000.0,1127172000.0,
Total Equity Gross Minority Interest,1155567000.0,1267197000.0,1111217000.0,941360000.0,
Stockholders Equity,1155567000.0,1267197000.0,1111217000.0,941360000.0,
Gains Losses Not Affecting Retained Earnings,-26755000.0,-31562000.0,-16411000.0,-10897000.0,
Other Equity Adjustments,-26755000.0,-31562000.0,-16411000.0,-10897000.0,
Foreign Currency Translation Adjustments,,-30304000.0,-16089000.0,,
Minimum Pension Liabilities,,-322000.0,-322000.0,,
Unrealized Gain Loss,,-936000.0,0.0,,
Retained Earnings,566402000.0,687069000.0,530088000.0,358888000.0,
Additional Paid In Capital,131840000.0,119242000.0,105629000.0,101757000.0,
Capital Stock,484080000.0,492448000.0,491911000.0,491612000.0,
Common Stock,484080000.0,492448000.0,491911000.0,491612000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,1439893000.0,854831000.0,910323000.0,904540000.0,
Total Non Current Liabilities Net Minority Interest,863204000.0,361047000.0,419161000.0,432029000.0,
Non Current Accrued Expenses,139059000.0,124261000.0,110391000.0,94708000.0,
Non Current Deferred Liabilities,,,13255000.0,10612000.0,9927000.0
Non Current Deferred Taxes Liabilities,,,13255000.0,10612000.0,9927000.0
Long Term Debt And Capital Lease Obligation,724145000.0,236786000.0,308770000.0,326709000.0,
Long Term Capital Lease Obligation,233369000.0,196888000.0,172520000.0,140897000.0,
Long Term Debt,490776000.0,39898000.0,136250000.0,185812000.0,
Current Liabilities,576689000.0,493784000.0,491162000.0,472511000.0,
Other Current Liabilities,101744000.0,54568000.0,73206000.0,63540000.0,
Current Deferred Liabilities,172380000.0,158092000.0,145122000.0,131253000.0,
Current Deferred Revenue,172380000.0,158092000.0,145122000.0,131253000.0,
Current Debt And Capital Lease Obligation,92203000.0,99543000.0,93990000.0,90436000.0,
Current Capital Lease Obligation,92203000.0,84543000.0,75240000.0,73248000.0,
Current Debt,,15000000.0,18750000.0,17188000.0,12500000.0
Other Current Borrowings,,15000000.0,18750000.0,17188000.0,12500000.0
Pensionand Other Post Retirement Benefit Plans Current,114355000.0,99251000.0,97862000.0,91011000.0,
Payables And Accrued Expenses,96007000.0,82330000.0,80982000.0,96271000.0,
Current Accrued Expenses,46807000.0,39534000.0,36414000.0,31675000.0,
Payables,49200000.0,42796000.0,44568000.0,64596000.0,
Accounts Payable,49200000.0,42796000.0,44568000.0,64596000.0,
Total Assets,2595460000.0,2122028000.0,2021540000.0,1845900000.0,
Total Non Current Assets,2188821000.0,1773409000.0,1669160000.0,1531123000.0,
Other Non Current Assets,46817000.0,39033000.0,34949000.0,30596000.0,
Defined Pension Benefit,,,,1198000.0,21565000.0
Non Current Deferred Assets,,,,2222000.0,2180000.0
Non Current Deferred Taxes Assets,,,,2222000.0,2180000.0
Non Current Note Receivables,75909000.0,63523000.0,47097000.0,38187000.0,
Non Current Accounts Receivable,,,,38187000.0,30792000.0
Goodwill And Other Intangible Assets,1616044000.0,1265452000.0,1209073000.0,1071946000.0,
Other Intangible Assets,545734000.0,418748000.0,422569000.0,418770000.0,
Goodwill,1070310000.0,846704000.0,786504000.0,653176000.0,
Net PPE,450051000.0,405401000.0,378041000.0,390394000.0,
Accumulated Depreciation,-360421000.0,-333298000.0,-315891000.0,-294226000.0,
Gross PPE,810472000.0,738699000.0,693932000.0,684620000.0,
Other Properties,468113000.0,409766000.0,371516000.0,329133000.0,
Machinery Furniture Equipment,269716000.0,253497000.0,242909000.0,231870000.0,
Buildings And Improvements,51339000.0,51223000.0,54935000.0,91453000.0,
Land And Improvements,21304000.0,24213000.0,24572000.0,32164000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,406639000.0,348619000.0,352380000.0,314777000.0,
Other Current Assets,54192000.0,34151000.0,52422000.0,35404000.0,
Inventory,33383000.0,29745000.0,28926000.0,30843000.0,
Raw Materials,33383000.0,29745000.0,28926000.0,30843000.0,
Receivables,215239000.0,189377000.0,165731000.0,150053000.0,
Receivables Adjustments Allowances,,,,-1297000.0,-1675000.0
Other Receivables,,,,25013000.0,23942000.0
Loans Receivable,37025000.0,33618000.0,26152000.0,23716000.0,
Accounts Receivable,178214000.0,155759000.0,139579000.0,126337000.0,
Allowance For Doubtful Accounts Receivable,-15797000.0,-14073000.0,-13885000.0,-16854000.0,
Gross Accounts Receivable,194011000.0,169832000.0,153464000.0,143191000.0,
Cash Cash Equivalents And Short Term Investments,103825000.0,95346000.0,105301000.0,98477000.0,
Cash And Cash Equivalents,103825000.0,95346000.0,105301000.0,98477000.0,
Cash Financial,103825000.0,,,,
