,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.074,0.166,0.11,0.146
Normalized EBITDA,1705000000.0,1905000000.0,1762000000.0,1228000000.0
Net Income From Continuing Operation Net Minority Interest,1240000000.0,1254000000.0,1210000000.0,719000000.0
Reconciled Depreciation,271000000.0,317000000.0,321000000.0,308000000.0
Reconciled Cost Of Revenue,3368000000.0,3126000000.0,2912000000.0,2502000000.0
EBITDA,1705000000.0,1905000000.0,1762000000.0,1228000000.0
EBIT,1434000000.0,1588000000.0,1441000000.0,920000000.0
Net Interest Income,-44000000.0,-75000000.0,-79000000.0,-70000000.0
Interest Expense,95000000.0,84000000.0,81000000.0,78000000.0
Interest Income,51000000.0,9000000.0,2000000.0,8000000.0
Normalized Income,1240000000.0,1254000000.0,1210000000.0,719000000.0
Net Income From Continuing And Discontinued Operation,1240000000.0,1254000000.0,1210000000.0,719000000.0
Total Expenses,5483000000.0,5230000000.0,4972000000.0,4493000000.0
Total Operating Income As Reported,1350000000.0,1618000000.0,1347000000.0,846000000.0
Diluted Average Shares,296000000.0,300000000.0,307000000.0,312000000.0
Basic Average Shares,294000000.0,299000000.0,304000000.0,309000000.0
Diluted EPS,4.19,4.18,3.94,2.3
Basic EPS,4.22,4.19,3.98,2.33
Diluted NI Availto Com Stockholders,1240000000.0,1254000000.0,1210000000.0,719000000.0
Net Income Common Stockholders,1240000000.0,1254000000.0,1210000000.0,719000000.0
Net Income,1240000000.0,1254000000.0,1210000000.0,719000000.0
Net Income Including Noncontrolling Interests,1240000000.0,1254000000.0,1210000000.0,719000000.0
Net Income Continuous Operations,1240000000.0,1254000000.0,1210000000.0,719000000.0
Tax Provision,99000000.0,250000000.0,150000000.0,123000000.0
Pretax Income,1339000000.0,1504000000.0,1360000000.0,842000000.0
Other Income Expense,33000000.0,-39000000.0,92000000.0,66000000.0
Other Non Operating Income Expenses,33000000.0,-39000000.0,92000000.0,66000000.0
Net Non Operating Interest Income Expense,-44000000.0,-75000000.0,-79000000.0,-70000000.0
Interest Expense Non Operating,95000000.0,84000000.0,81000000.0,78000000.0
Interest Income Non Operating,51000000.0,9000000.0,2000000.0,8000000.0
Operating Income,1350000000.0,1618000000.0,1347000000.0,846000000.0
Operating Expense,2115000000.0,2104000000.0,2060000000.0,1991000000.0
Research And Development,481000000.0,467000000.0,441000000.0,495000000.0
Selling General And Administration,1634000000.0,1637000000.0,1619000000.0,1496000000.0
Gross Profit,3465000000.0,3722000000.0,3407000000.0,2837000000.0
Cost Of Revenue,3368000000.0,3126000000.0,2912000000.0,2502000000.0
Total Revenue,6833000000.0,6848000000.0,6319000000.0,5339000000.0
Operating Revenue,6833000000.0,6848000000.0,6319000000.0,5339000000.0
