,2023-09-30,2022-09-30,2021-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.23839,0.217105,0.291096
Normalized EBITDA,402000000.0,363000000.0,407000000.0
Net Income From Continuing Operation Net Minority Interest,233000000.0,223000000.0,199000000.0
Reconciled Depreciation,74000000.0,76000000.0,72000000.0
Reconciled Cost Of Revenue,4765000000.0,4429000000.0,4305000000.0
EBITDA,402000000.0,363000000.0,407000000.0
EBIT,328000000.0,287000000.0,335000000.0
Net Interest Income,5000000.0,4000000.0,7000000.0
Interest Income,5000000.0,4000000.0,7000000.0
Normalized Income,233000000.0,223000000.0,199000000.0
Net Income From Continuing And Discontinued Operation,233000000.0,223000000.0,199000000.0
Total Expenses,5208000000.0,4896000000.0,4757000000.0
Total Operating Income As Reported,328000000.0,287000000.0,335000000.0
Diluted Average Shares,243293457.0,243293457.0,243293457.0
Basic Average Shares,243293457.0,243293457.0,243293457.0
Diluted EPS,0.957691,0.916589,0.817942
Basic EPS,0.957691,0.916589,0.817942
Diluted NI Availto Com Stockholders,233000000.0,223000000.0,199000000.0
Net Income Common Stockholders,233000000.0,223000000.0,199000000.0
Net Income,233000000.0,223000000.0,199000000.0
Minority Interests,-13000000.0,-15000000.0,-8000000.0
Net Income Including Noncontrolling Interests,246000000.0,238000000.0,207000000.0
Net Income Continuous Operations,246000000.0,238000000.0,207000000.0
Tax Provision,77000000.0,66000000.0,85000000.0
Pretax Income,323000000.0,304000000.0,292000000.0
Other Income Expense,-10000000.0,13000000.0,-50000000.0
Other Non Operating Income Expenses,-10000000.0,13000000.0,-50000000.0
Net Non Operating Interest Income Expense,5000000.0,4000000.0,7000000.0
Interest Income Non Operating,5000000.0,4000000.0,7000000.0
Operating Income,328000000.0,287000000.0,335000000.0
Operating Expense,443000000.0,467000000.0,452000000.0
Selling General And Administration,443000000.0,467000000.0,452000000.0
Gross Profit,771000000.0,754000000.0,787000000.0
Cost Of Revenue,4765000000.0,4429000000.0,4305000000.0
Total Revenue,5536000000.0,5183000000.0,5092000000.0
Operating Revenue,5536000000.0,5183000000.0,5092000000.0
