,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,7446664.427529,3436283.824075,5995132.0,3759773.620909
Tax Rate For Calcs,0.11382,0.090984,0.188,0.194635
Normalized EBITDA,1675824000.0,1452606000.0,1348941000.0,1241781000.0
Total Unusual Items,65425000.0,37768000.0,31889000.0,19317000.0
Total Unusual Items Excluding Goodwill,65425000.0,37768000.0,31889000.0,19317000.0
Net Income From Continuing Operation Net Minority Interest,885862000.0,774398000.0,665563000.0,601443000.0
Reconciled Depreciation,604327000.0,535655000.0,477977000.0,429828000.0
Reconciled Cost Of Revenue,2217079000.0,2392817000.0,1711736000.0,1288455000.0
EBITDA,1741249000.0,1490374000.0,1380830000.0,1261098000.0
EBIT,1136922000.0,954719000.0,902853000.0,831270000.0
Net Interest Income,-130074000.0,-100030000.0,-81410000.0,-81542000.0
Interest Expense,137281000.0,102811000.0,83554000.0,84474000.0
Interest Income,7207000.0,2781000.0,2144000.0,2932000.0
Normalized Income,827883664.427529,740066283.824075,639669132.0,585885773.620909
Net Income From Continuing And Discontinued Operation,885862000.0,774398000.0,665563000.0,601443000.0
Total Expenses,3208210000.0,3280680000.0,2502492000.0,1997038000.0
Total Operating Income As Reported,1067147000.0,920982000.0,904998000.0,824099000.0
Diluted Average Shares,145166000.0,138096000.0,129834000.0,122872000.0
Basic Average Shares,145121000.0,137830000.0,129779000.0,122788000.0
Diluted EPS,6.1,5.6,5.12,4.89
Basic EPS,6.1,5.61,5.12,4.89
Diluted NI Availto Com Stockholders,885320000.0,773890000.0,665098000.0,580481000.0
Average Dilution Earnings,0.0,0.0,0.0,
Net Income Common Stockholders,885320000.0,773890000.0,665098000.0,580481000.0
Otherunder Preferred Stock Dividend,542000.0,508000.0,465000.0,20962000.0
Net Income,885862000.0,774398000.0,665563000.0,601443000.0
Net Income Including Noncontrolling Interests,885862000.0,774398000.0,665563000.0,601443000.0
Net Income Continuous Operations,885862000.0,774398000.0,665563000.0,601443000.0
Tax Provision,113779000.0,77510000.0,153736000.0,145353000.0
Pretax Income,999641000.0,851908000.0,819299000.0,746796000.0
Other Income Expense,62568000.0,30956000.0,-4289000.0,4239000.0
Other Non Operating Income Expenses,-2857000.0,-6812000.0,-36178000.0,-15078000.0
Special Income Charges,64019000.0,45505000.0,32749000.0,23493000.0
Other Special Charges,-64019000.0,-45505000.0,-32749000.0,-23493000.0
Gain On Sale Of Security,1406000.0,-7737000.0,-860000.0,-4176000.0
Net Non Operating Interest Income Expense,-130074000.0,-100030000.0,-81410000.0,-81542000.0
Interest Expense Non Operating,137281000.0,102811000.0,83554000.0,84474000.0
Interest Income Non Operating,7207000.0,2781000.0,2144000.0,2932000.0
Operating Income,1067147000.0,920982000.0,904998000.0,824099000.0
Operating Expense,991131000.0,887863000.0,790756000.0,708583000.0
Other Taxes,386804000.0,352208000.0,312779000.0,278755000.0
Depreciation Amortization Depletion Income Statement,604327000.0,535655000.0,477977000.0,429828000.0
Depreciation And Amortization In Income Statement,604327000.0,535655000.0,477977000.0,429828000.0
Gross Profit,2058278000.0,1808845000.0,1695754000.0,1532682000.0
Cost Of Revenue,2217079000.0,2392817000.0,1711736000.0,1288455000.0
Total Revenue,4275357000.0,4201662000.0,3407490000.0,2821137000.0
Operating Revenue,4275357000.0,4201662000.0,3407490000.0,2821137000.0
