,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,43584000.0,13257700.0,-6831000.0,2231000.0,
Tax Rate For Calcs,0.24,0.233,0.23,0.23,
Normalized EBITDA,1368200000.0,1153200000.0,1010400000.0,808200000.0,
Total Unusual Items,181600000.0,56900000.0,-29700000.0,9700000.0,
Total Unusual Items Excluding Goodwill,181600000.0,56900000.0,-29700000.0,9700000.0,
Net Income From Continuing Operation Net Minority Interest,870500000.0,671800000.0,587100000.0,480500000.0,
Reconciled Depreciation,206000000.0,185800000.0,152900000.0,134800000.0,
Reconciled Cost Of Revenue,2186600000.0,1816900000.0,1636900000.0,1436400000.0,
EBITDA,1549800000.0,1210100000.0,980700000.0,817900000.0,
EBIT,1343800000.0,1024300000.0,827800000.0,683100000.0,
Net Interest Income,-197700000.0,-148200000.0,-65000000.0,-59000000.0,
Interest Expense,197700000.0,148200000.0,65000000.0,59000000.0,
Normalized Income,732484000.0,628157700.0,609969000.0,473031000.0,
Net Income From Continuing And Discontinued Operation,870500000.0,671800000.0,587100000.0,480500000.0,
Total Expenses,3042500000.0,2599500000.0,2192800000.0,1937200000.0,
Diluted Average Shares,280800000.0,278658000.0,277414000.0,275800000.0,
Basic Average Shares,279600000.0,277521000.0,276024000.0,274300000.0,
Diluted EPS,3.05,2.37,2.07,1.69,
Basic EPS,3.07,2.38,2.08,1.7,
Diluted NI Availto Com Stockholders,857200000.0,659100000.0,574200000.0,465300000.0,
Net Income Common Stockholders,857200000.0,659100000.0,574200000.0,465300000.0,
Otherunder Preferred Stock Dividend,13300000.0,12700000.0,12900000.0,15200000.0,
Net Income,870500000.0,671800000.0,587100000.0,480500000.0,
Net Income Including Noncontrolling Interests,870500000.0,671800000.0,587100000.0,480500000.0,
Net Income Continuous Operations,870500000.0,671800000.0,587100000.0,480500000.0,
Tax Provision,275600000.0,204300000.0,175700000.0,143600000.0,
Pretax Income,1146100000.0,876100000.0,762800000.0,624100000.0,
Other Income Expense,186900000.0,60600000.0,-26900000.0,14200000.0,
Other Non Operating Income Expenses,5300000.0,3700000.0,2800000.0,4500000.0,
Special Income Charges,129200000.0,50400000.0,-30800000.0,6900000.0,
Gain On Sale Of Ppe,,,,2388000.0,10021000.0
Gain On Sale Of Business,143300000.0,4500000.0,9600000.0,2400000.0,
Restructuring And Mergern Acquisition,14100000.0,-45900000.0,40400000.0,-4500000.0,
Gain On Sale Of Security,52400000.0,6500000.0,1100000.0,2800000.0,
Net Non Operating Interest Income Expense,-197700000.0,-148200000.0,-65000000.0,-59000000.0,
Interest Expense Non Operating,197700000.0,148200000.0,65000000.0,59000000.0,
Operating Income,1156900000.0,963700000.0,854700000.0,668900000.0,
Operating Expense,855900000.0,782600000.0,555900000.0,500800000.0,
Other Operating Expenses,649900000.0,596800000.0,403000000.0,366000000.0,
Depreciation Amortization Depletion Income Statement,206000000.0,185800000.0,152900000.0,134800000.0,
Depreciation And Amortization In Income Statement,206000000.0,185800000.0,152900000.0,134800000.0,
Amortization,166000000.0,146600000.0,119600000.0,108500000.0,
Amortization Of Intangibles Income Statement,166000000.0,146600000.0,119600000.0,108500000.0,
Depreciation Income Statement,40000000.0,39200000.0,33300000.0,26300000.0,
Gross Profit,2012800000.0,1746300000.0,1410600000.0,1169700000.0,
Cost Of Revenue,2186600000.0,1816900000.0,1636900000.0,1436400000.0,
Total Revenue,4199400000.0,3563200000.0,3047500000.0,2606100000.0,
Operating Revenue,4199400000.0,3563200000.0,3047500000.0,2606100000.0,
