,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,420000.0,-13108000.0,0.0,9000000.0,
Tax Rate For Calcs,0.21,0.226,0.213,0.225,
Normalized EBITDA,3023000000.0,3860000000.0,3524000000.0,3071000000.0,
Total Unusual Items,2000000.0,-58000000.0,12000000.0,40000000.0,
Total Unusual Items Excluding Goodwill,2000000.0,-58000000.0,12000000.0,40000000.0,
Net Income From Continuing Operation Net Minority Interest,735000000.0,2151000000.0,2131000000.0,1789000000.0,
Reconciled Depreciation,1024000000.0,784000000.0,662000000.0,673000000.0,
Reconciled Cost Of Revenue,24925000000.0,20641000000.0,18326000000.0,14266000000.0,
EBITDA,3025000000.0,3802000000.0,3524000000.0,3111000000.0,
EBIT,2001000000.0,3018000000.0,2862000000.0,2438000000.0,
Net Interest Income,-136000000.0,-25000000.0,-29000000.0,-5000000.0,
Interest Expense,375000000.0,199000000.0,111000000.0,100000000.0,
Interest Income,239000000.0,174000000.0,82000000.0,95000000.0,
Normalized Income,733420000.0,2195892000.0,2131000000.0,1758000000.0,
Net Income From Continuing And Discontinued Operation,735000000.0,2151000000.0,2131000000.0,1789000000.0,
Total Expenses,32653000000.0,25413000000.0,21821000000.0,17964000000.0,
Total Operating Income As Reported,1761000000.0,2929000000.0,2706000000.0,2269000000.0,
Diluted Average Shares,142700000.0,142300000.0,145900000.0,149000000.0,
Basic Average Shares,141700000.0,141500000.0,144600000.0,148200000.0,
Diluted EPS,5.15,15.12,14.61,12.01,
Basic EPS,5.19,15.2,14.74,12.07,
Diluted NI Availto Com Stockholders,735000000.0,2151000000.0,2131000000.0,1789000000.0,
Net Income Common Stockholders,735000000.0,2151000000.0,2131000000.0,1789000000.0,
Net Income,735000000.0,2151000000.0,2131000000.0,1789000000.0,
Minority Interests,-105000000.0,-32000000.0,-33000000.0,-22000000.0,
Net Income Including Noncontrolling Interests,840000000.0,2183000000.0,2164000000.0,1811000000.0,
Net Income Continuous Operations,840000000.0,2183000000.0,2164000000.0,1811000000.0,
Tax Provision,786000000.0,636000000.0,587000000.0,527000000.0,
Pretax Income,1626000000.0,2819000000.0,2751000000.0,2338000000.0,
Other Income Expense,350000000.0,183000000.0,580000000.0,496000000.0,
Other Non Operating Income Expenses,9000000.0,17000000.0,156000000.0,78000000.0,
Special Income Charges,17000000.0,-43000000.0,4000000.0,27000000.0,
Gain On Sale Of Ppe,,1000000.0,16000000.0,-10000000.0,-2000000.0
Other Special Charges,-26000000.0,102000000.0,,-57000000.0,-61000000.0
Write Off,9000000.0,43000000.0,12000000.0,20000000.0,
Restructuring And Mergern Acquisition,,,0.0,0.0,119000000.0
Earnings From Equity Interest,339000000.0,224000000.0,424000000.0,378000000.0,
Gain On Sale Of Security,-15000000.0,-15000000.0,8000000.0,13000000.0,
Net Non Operating Interest Income Expense,-136000000.0,-25000000.0,-29000000.0,-5000000.0,
Total Other Finance Cost,,,,17000000.0,11000000.0
Interest Expense Non Operating,375000000.0,199000000.0,111000000.0,100000000.0,
Interest Income Non Operating,239000000.0,174000000.0,82000000.0,95000000.0,
Operating Income,1412000000.0,2661000000.0,2200000000.0,1847000000.0,
Operating Expense,6837000000.0,4058000000.0,3495000000.0,3047000000.0,
Other Operating Expenses,1996000000.0,61000000.0,31000000.0,-6000000.0,
Depreciation Amortization Depletion Income Statement,133000000.0,70000000.0,22000000.0,22000000.0,
Depreciation And Amortization In Income Statement,133000000.0,70000000.0,22000000.0,22000000.0,
Amortization,133000000.0,70000000.0,22000000.0,22000000.0,
Amortization Of Intangibles Income Statement,133000000.0,70000000.0,22000000.0,22000000.0,
Research And Development,1500000000.0,1278000000.0,1090000000.0,906000000.0,
Selling General And Administration,3208000000.0,2649000000.0,2374000000.0,2125000000.0,
General And Administrative Expense,3208000000.0,2649000000.0,2374000000.0,,
Other Gand A,3333000000.0,2687000000.0,2374000000.0,,
Insurance And Claims,,102000000.0,,,
Salaries And Wages,-125000000.0,-140000000.0,,,
Gross Profit,8249000000.0,6719000000.0,5695000000.0,4894000000.0,
Cost Of Revenue,25816000000.0,21355000000.0,18326000000.0,14917000000.0,
Total Revenue,34065000000.0,28074000000.0,24021000000.0,19811000000.0,
Operating Revenue,34065000000.0,28074000000.0,24021000000.0,19811000000.0,
