,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,40854924.0,980044.0,
Tax Rate For Calcs,0.168,0.173,0.198,0.188,
Normalized EBITDA,1718774000.0,1711499000.0,1590930000.0,1227509000.0,
Total Unusual Items,0.0,0.0,206338000.0,5213000.0,
Total Unusual Items Excluding Goodwill,0.0,0.0,206338000.0,5213000.0,
Net Income From Continuing Operation Net Minority Interest,1056828000.0,1065376000.0,1123818000.0,683451000.0,
Reconciled Depreciation,317463000.0,307538000.0,290123000.0,279051000.0,
Reconciled Cost Of Revenue,5353501000.0,5444532000.0,4937295000.0,4209741000.0,
EBITDA,1718774000.0,1711499000.0,1797268000.0,1232722000.0,
EBIT,1401311000.0,1403961000.0,1507145000.0,953671000.0,
Net Interest Income,-117809000.0,-112026000.0,-101878000.0,-108366000.0,
Interest Expense,131305000.0,116456000.0,106319000.0,111937000.0,
Interest Income,13496000.0,4430000.0,4441000.0,3571000.0,
Normalized Income,1056828000.0,1065376000.0,958334924.0,679218044.0,
Net Income From Continuing And Discontinued Operation,1056828000.0,1065376000.0,1123818000.0,683451000.0,
Total Expenses,7071791000.0,7128758000.0,6625573000.0,5750773000.0,
Total Operating Income As Reported,1366343000.0,1379330000.0,1281508000.0,932987000.0,
Diluted Average Shares,140599000.0,143595000.0,145273000.0,145393000.0,
Basic Average Shares,139848000.0,142681000.0,143923000.0,144050000.0,
Diluted EPS,7.52,7.42,7.74,4.7,
Basic EPS,7.56,7.47,7.81,4.74,
Diluted NI Availto Com Stockholders,1056828000.0,1065376000.0,1123818000.0,683451000.0,
Net Income Common Stockholders,1056828000.0,1065376000.0,1123818000.0,683451000.0,
Net Income,1056828000.0,1065376000.0,1123818000.0,683451000.0,
Net Income Including Noncontrolling Interests,1056828000.0,1065376000.0,1123818000.0,683451000.0,
Net Income Discontinuous Operations,,,,0.0,0.0
Net Income Continuous Operations,1056828000.0,1065376000.0,1123818000.0,683451000.0,
Tax Provision,213178000.0,222129000.0,277008000.0,158283000.0,
Pretax Income,1270006000.0,1287505000.0,1400826000.0,841734000.0,
Other Income Expense,21472000.0,20201000.0,221196000.0,17113000.0,
Other Non Operating Income Expenses,21472000.0,20201000.0,14858000.0,11900000.0,
Special Income Charges,0.0,0.0,206338000.0,5213000.0,
Gain On Sale Of Ppe,,,0.0,0.0,-46946000.0
Gain On Sale Of Business,0.0,0.0,206338000.0,5213000.0,
Other Special Charges,,,,,23543000.0
Net Non Operating Interest Income Expense,-117809000.0,-112026000.0,-101878000.0,-108366000.0,
Interest Expense Non Operating,131305000.0,116456000.0,106319000.0,111937000.0,
Interest Income Non Operating,13496000.0,4430000.0,4441000.0,3571000.0,
Operating Income,1366343000.0,1379330000.0,1281508000.0,932987000.0,
Operating Expense,1718290000.0,1684226000.0,1688278000.0,1541032000.0,
Selling General And Administration,1718290000.0,1684226000.0,1688278000.0,1541032000.0,
Gross Profit,3084633000.0,3063556000.0,2969786000.0,2474019000.0,
Cost Of Revenue,5353501000.0,5444532000.0,4937295000.0,4209741000.0,
Total Revenue,8438134000.0,8508088000.0,7907081000.0,6683760000.0,
Operating Revenue,8438134000.0,8508088000.0,7907081000.0,6683760000.0,
