,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,51300000.0,-17480000.0,-118031423.290203,-17715094.339623,
Tax Rate For Calcs,0.18,0.19,0.198706,0.077358,
Normalized EBITDA,1525000000.0,1734000000.0,2412000000.0,1543000000.0,
Total Unusual Items,285000000.0,-92000000.0,-594000000.0,-229000000.0,
Total Unusual Items Excluding Goodwill,285000000.0,-92000000.0,-594000000.0,-229000000.0,
Net Income From Continuing Operation Net Minority Interest,894000000.0,793000000.0,857000000.0,478000000.0,
Reconciled Depreciation,498000000.0,477000000.0,538000000.0,574000000.0,
Reconciled Cost Of Revenue,7149000000.0,8443000000.0,7976000000.0,6498000000.0,
EBITDA,1810000000.0,1642000000.0,1818000000.0,1314000000.0,
EBIT,1312000000.0,1165000000.0,1280000000.0,740000000.0,
Net Interest Income,-215000000.0,-182000000.0,-198000000.0,-210000000.0,
Interest Expense,225000000.0,188000000.0,198000000.0,210000000.0,
Interest Income,10000000.0,6000000.0,3000000.0,4000000.0,
Normalized Income,660300000.0,867520000.0,1332968576.709797,689284905.660377,
Net Income From Continuing And Discontinued Operation,894000000.0,793000000.0,857000000.0,478000000.0,
Total Expenses,8156000000.0,9332000000.0,8613000000.0,7378000000.0,
Diluted Average Shares,119400000.0,124900000.0,137100000.0,136500000.0,
Basic Average Shares,118600000.0,123500000.0,134900000.0,135500000.0,
Diluted EPS,7.49,6.35,6.25,3.5,
Basic EPS,7.54,6.42,6.35,3.53,
Diluted NI Availto Com Stockholders,894000000.0,793000000.0,857000000.0,478000000.0,
Net Income Common Stockholders,894000000.0,793000000.0,857000000.0,478000000.0,
Net Income,894000000.0,793000000.0,857000000.0,478000000.0,
Minority Interests,-2000000.0,-3000000.0,-10000000.0,-11000000.0,
Net Income Including Noncontrolling Interests,896000000.0,796000000.0,867000000.0,489000000.0,
Net Income Continuous Operations,896000000.0,796000000.0,867000000.0,489000000.0,
Tax Provision,191000000.0,181000000.0,215000000.0,41000000.0,
Pretax Income,1087000000.0,977000000.0,1082000000.0,530000000.0,
Other Income Expense,248000000.0,-89000000.0,-583000000.0,-355000000.0,
Other Non Operating Income Expenses,-37000000.0,3000000.0,11000000.0,-126000000.0,
Special Income Charges,286000000.0,-95000000.0,-600000000.0,-228000000.0,
Gain On Sale Of Ppe,0.0,-15000000.0,1000000.0,,
Gain On Sale Of Business,323000000.0,-43000000.0,-552000000.0,0.0,
Other Special Charges,,,1000000.0,1000000.0,
Write Off,,,,227000000.0,27000000.0
Impairment Of Capital Assets,0.0,0.0,16000000.0,125000000.0,
Restructuring And Mergern Acquisition,37000000.0,37000000.0,32000000.0,81000000.0,
Earnings From Equity Interest,,,,15000000.0,10000000.0
Gain On Sale Of Security,-1000000.0,3000000.0,6000000.0,-1000000.0,
Net Non Operating Interest Income Expense,-215000000.0,-182000000.0,-198000000.0,-210000000.0,
Interest Expense Non Operating,225000000.0,188000000.0,198000000.0,210000000.0,
Interest Income Non Operating,10000000.0,6000000.0,3000000.0,4000000.0,
Operating Income,1054000000.0,1248000000.0,1863000000.0,1095000000.0,
Operating Expense,1007000000.0,889000000.0,637000000.0,880000000.0,
Research And Development,239000000.0,264000000.0,254000000.0,226000000.0,
Selling General And Administration,768000000.0,625000000.0,383000000.0,654000000.0,
General And Administrative Expense,768000000.0,625000000.0,383000000.0,,
Other Gand A,727000000.0,726000000.0,795000000.0,,
Salaries And Wages,41000000.0,-101000000.0,-412000000.0,,
Gross Profit,2061000000.0,2137000000.0,2500000000.0,1975000000.0,
Cost Of Revenue,7149000000.0,8443000000.0,7976000000.0,6498000000.0,
Total Revenue,9210000000.0,10580000000.0,10476000000.0,8473000000.0,
Operating Revenue,9210000000.0,10580000000.0,10476000000.0,8473000000.0,
