,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-1021338.0,-3823200.0,-22741771.0,-58791552.0,
Tax Rate For Calcs,0.138,0.15,0.179,0.283,
Normalized EBITDA,3378791000.0,2947402000.0,2728373000.0,2553804000.0,
Total Unusual Items,-7401000.0,-25488000.0,-127049000.0,-207744000.0,
Total Unusual Items Excluding Goodwill,-7401000.0,-25488000.0,-127049000.0,-207744000.0,
Net Income From Continuing Operation Net Minority Interest,969178000.0,704345000.0,500191000.0,369777000.0,
Reconciled Depreciation,1845138000.0,1736208000.0,1656290000.0,1423369000.0,
Reconciled Cost Of Revenue,4227658000.0,3751501000.0,3472422000.0,3074340000.0,
EBITDA,3371390000.0,2921914000.0,2601324000.0,2346060000.0,
EBIT,1526252000.0,1185706000.0,945034000.0,922691000.0,
Net Interest Income,-307795000.0,-320069000.0,-333438000.0,-397812000.0,
Interest Expense,402022000.0,356337000.0,336082000.0,406466000.0,
Interest Income,94227000.0,36268000.0,2644000.0,8654000.0,
Normalized Income,975557662.0,726009800.0,604498229.0,518729448.0,
Net Income From Continuing And Discontinued Operation,969178000.0,704345000.0,500191000.0,369777000.0,
Total Expenses,6737496000.0,6036762000.0,5515451000.0,4883677000.0,
Total Operating Income As Reported,1443274000.0,1200528000.0,1108162000.0,1052928000.0,
Diluted Average Shares,94009000.0,91828000.0,90409000.0,88410000.0,
Basic Average Shares,93615000.0,91569000.0,89772000.0,87700000.0,
Diluted EPS,10.31,7.67,5.53,4.18,
Basic EPS,10.35,7.69,5.57,4.22,
Diluted NI Availto Com Stockholders,969178000.0,704345000.0,500191000.0,369777000.0,
Net Income Common Stockholders,969178000.0,704345000.0,500191000.0,369777000.0,
Net Income,969178000.0,704345000.0,500191000.0,369777000.0,
Minority Interests,198000.0,-232000.0,463000.0,-297000.0,
Net Income Including Noncontrolling Interests,968980000.0,704577000.0,499728000.0,370074000.0,
Net Income Continuous Operations,968980000.0,704577000.0,499728000.0,370074000.0,
Tax Provision,155250000.0,124792000.0,109224000.0,146151000.0,
Pretax Income,1124230000.0,829369000.0,608952000.0,516225000.0,
Other Income Expense,-18615000.0,-76905000.0,-177696000.0,-200831000.0,
Other Non Operating Income Expenses,-11214000.0,-51417000.0,-50647000.0,6913000.0,
Special Income Charges,-7401000.0,-25488000.0,-127049000.0,-207744000.0,
Gain On Sale Of Ppe,5046000.0,-3976000.0,10845000.0,1301000.0,
Other Special Charges,35000.0,-327000.0,115125000.0,145804000.0,
Impairment Of Capital Assets,,0.0,0.0,7306000.0,15790000.0
Restructuring And Mergern Acquisition,12412000.0,21839000.0,22769000.0,55935000.0,
Net Non Operating Interest Income Expense,-307795000.0,-320069000.0,-333438000.0,-397812000.0,
Interest Expense Non Operating,402022000.0,356337000.0,336082000.0,406466000.0,
Interest Income Non Operating,94227000.0,36268000.0,2644000.0,8654000.0,
Operating Income,1450640000.0,1226343000.0,1120086000.0,1114868000.0,
Operating Expense,2509838000.0,2285261000.0,2043029000.0,1809337000.0,
Selling General And Administration,2509838000.0,2285261000.0,2043029000.0,1809337000.0,
Selling And Marketing Expense,855796000.0,786560000.0,741232000.0,718356000.0,
General And Administrative Expense,1654042000.0,1498701000.0,1301797000.0,1090981000.0,
Other Gand A,1654042000.0,1498701000.0,1301797000.0,1090981000.0,
Gross Profit,3960478000.0,3511604000.0,3163115000.0,2924205000.0,
Cost Of Revenue,4227658000.0,3751501000.0,3472422000.0,3074340000.0,
Total Revenue,8188136000.0,7263105000.0,6635537000.0,5998545000.0,
Operating Revenue,8188136000.0,7263105000.0,6635537000.0,5998545000.0,
