,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.241,0.245,0.234,0.242,
Normalized EBITDA,1710100000.0,1630900000.0,1388200000.0,1304800000.0,
Total Unusual Items,,,,1400000.0,1200000.0
Total Unusual Items Excluding Goodwill,,,,1400000.0,1200000.0
Net Income From Continuing Operation Net Minority Interest,1155000000.0,1086900000.0,925000000.0,859100000.0,
Reconciled Depreciation,177300000.0,176600000.0,170700000.0,162400000.0,
Reconciled Cost Of Revenue,3992200000.0,3764800000.0,3233700000.0,3079500000.0,
EBITDA,1710100000.0,1630900000.0,1388200000.0,1304800000.0,
EBIT,1532800000.0,1454300000.0,1217500000.0,1142400000.0,
Net Interest Income,-6700000.0,-13600000.0,-9600000.0,-9100000.0,
Interest Expense,10800000.0,14300000.0,9700000.0,9700000.0,
Interest Income,4100000.0,700000.0,100000.0,600000.0,
Normalized Income,1155000000.0,1086900000.0,925000000.0,859100000.0,
Net Income From Continuing And Discontinued Operation,1155000000.0,1086900000.0,925000000.0,859100000.0,
Total Expenses,5818000000.0,5527000000.0,4793500000.0,4505500000.0,
Total Operating Income As Reported,1528700000.0,1453600000.0,1217400000.0,1141800000.0,
Diluted Average Shares,573008608.0,575600000.0,577100000.0,575700000.0,
Basic Average Shares,571271846.0,573800000.0,574800000.0,573800000.0,
Diluted EPS,2.02,1.89,1.6,1.49,
Basic EPS,2.02,1.89,1.61,1.5,
Diluted NI Availto Com Stockholders,1155000000.0,1086900000.0,925000000.0,859100000.0,
Net Income Common Stockholders,1155000000.0,1086900000.0,925000000.0,859100000.0,
Net Income,1155000000.0,1086900000.0,925000000.0,859100000.0,
Net Income Including Noncontrolling Interests,1155000000.0,1086900000.0,925000000.0,859100000.0,
Net Income Continuous Operations,1155000000.0,1086900000.0,925000000.0,859100000.0,
Tax Provision,367000000.0,353100000.0,282800000.0,273600000.0,
Pretax Income,1522000000.0,1440000000.0,1207800000.0,1132700000.0,
Other Income Expense,,,,1400000.0,1200000.0
Special Income Charges,,,,1400000.0,1200000.0
Gain On Sale Of Ppe,,,,1400000.0,1200000.0
Net Non Operating Interest Income Expense,-6700000.0,-13600000.0,-9600000.0,-9100000.0,
Interest Expense Non Operating,10800000.0,14300000.0,9700000.0,9700000.0,
Interest Income Non Operating,4100000.0,700000.0,100000.0,600000.0,
Operating Income,1528700000.0,1453600000.0,1217400000.0,1141800000.0,
Operating Expense,1825800000.0,1762200000.0,1559800000.0,1426000000.0,
Selling General And Administration,1825800000.0,1762200000.0,1559800000.0,1426000000.0,
Gross Profit,3354500000.0,3215800000.0,2777200000.0,2567800000.0,
Cost Of Revenue,3992200000.0,3764800000.0,3233700000.0,3079500000.0,
Total Revenue,7346700000.0,6980600000.0,6010900000.0,5647300000.0,
Operating Revenue,7346700000.0,6980600000.0,6010900000.0,5647300000.0,
