,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.315,0.224,0.208696,0.241,
Normalized EBITDA,3513000000.0,3231000000.0,3540000000.0,3406000000.0,
Net Income From Continuing Operation Net Minority Interest,1572000000.0,1898000000.0,2229000000.0,2007000000.0,
Reconciled Depreciation,610000000.0,633000000.0,625000000.0,630000000.0,
Reconciled Cost Of Revenue,11630000000.0,11162000000.0,10411000000.0,10397000000.0,
EBITDA,3513000000.0,3231000000.0,3540000000.0,3406000000.0,
EBIT,2903000000.0,2598000000.0,2915000000.0,2776000000.0,
Net Interest Income,-516000000.0,-86000000.0,-6000000.0,-17000000.0,
Interest Expense,542000000.0,86000000.0,40000000.0,66000000.0,
Interest Income,26000000.0,,34000000.0,49000000.0,36000000.0
Normalized Income,1572000000.0,1898000000.0,2229000000.0,2007000000.0,
Net Income From Continuing And Discontinued Operation,1568000000.0,1916000000.0,2247000000.0,13846000000.0,
Total Expenses,17117000000.0,15819000000.0,14790000000.0,14444000000.0,
Total Operating Income As Reported,2435000000.0,2522000000.0,2795000000.0,2720000000.0,
Diluted Average Shares,458000000.0,413822894.0,454710004.0,454710004.0,
Basic Average Shares,455000000.0,413822894.0,454710004.0,454710004.0,
Diluted EPS,3.03,4.63,4.941611,30.450177,
Basic EPS,3.05,4.63,4.941611,30.450177,
Diluted NI Availto Com Stockholders,1385000000.0,1916000000.0,2247000000.0,13846000000.0,
Net Income Common Stockholders,1385000000.0,1916000000.0,2247000000.0,13846000000.0,
Preferred Stock Dividends,183000000.0,,,,
Net Income,1568000000.0,1916000000.0,2247000000.0,13846000000.0,
Minority Interests,-46000000.0,-51000000.0,-46000000.0,-51000000.0,
Net Income Including Noncontrolling Interests,1614000000.0,1967000000.0,2293000000.0,13897000000.0,
Net Income Discontinuous Operations,-4000000.0,18000000.0,18000000.0,11839000000.0,
Net Income Continuous Operations,1618000000.0,1949000000.0,2275000000.0,2058000000.0,
Tax Provision,743000000.0,563000000.0,600000000.0,652000000.0,
Pretax Income,2361000000.0,2512000000.0,2875000000.0,2710000000.0,
Other Income Expense,442000000.0,76000000.0,86000000.0,7000000.0,
Other Non Operating Income Expenses,431000000.0,63000000.0,59000000.0,,1000000.0
Earnings From Equity Interest,11000000.0,13000000.0,27000000.0,7000000.0,
Net Non Operating Interest Income Expense,-516000000.0,-86000000.0,-6000000.0,-17000000.0,
Interest Expense Non Operating,542000000.0,86000000.0,40000000.0,66000000.0,
Interest Income Non Operating,26000000.0,,34000000.0,49000000.0,36000000.0
Operating Income,2435000000.0,2522000000.0,2795000000.0,2720000000.0,
Operating Expense,5487000000.0,4657000000.0,4379000000.0,4047000000.0,
Research And Development,1205000000.0,1026000000.0,816000000.0,810000000.0,
Selling General And Administration,4282000000.0,3631000000.0,3563000000.0,3237000000.0,
Gross Profit,7922000000.0,7179000000.0,7174000000.0,6767000000.0,
Cost Of Revenue,11630000000.0,11162000000.0,10411000000.0,10397000000.0,
Total Revenue,19552000000.0,18341000000.0,17585000000.0,17164000000.0,
Operating Revenue,19552000000.0,18341000000.0,17585000000.0,17164000000.0,
