,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,-4550400.0,0.0,
Tax Rate For Calcs,0.221,0.213,0.192,0.212,
Normalized EBITDA,1169700000.0,855100000.0,686800000.0,629100000.0,
Total Unusual Items,0.0,0.0,-23700000.0,0.0,
Total Unusual Items Excluding Goodwill,0.0,0.0,-23700000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,759800000.0,511300000.0,365000000.0,330000000.0,
Reconciled Depreciation,149700000.0,148500000.0,149100000.0,144500000.0,
Reconciled Cost Of Revenue,3484800000.0,3476300000.0,3042600000.0,2596700000.0,
EBITDA,1169700000.0,855100000.0,663100000.0,629100000.0,
EBIT,1020000000.0,706600000.0,514000000.0,484600000.0,
Net Interest Income,-36700000.0,-49600000.0,-54700000.0,-60100000.0,
Interest Expense,36700000.0,49600000.0,54700000.0,60100000.0,
Normalized Income,759800000.0,511300000.0,384149600.0,330000000.0,
Net Income From Continuing And Discontinued Operation,759800000.0,545900000.0,399500000.0,351200000.0,
Total Expenses,4334400000.0,4245800000.0,3661800000.0,3188000000.0,
Total Operating Income As Reported,1038500000.0,709100000.0,532300000.0,494500000.0,
Diluted Average Shares,54000000.0,54100000.0,54700000.0,54500000.0,
Basic Average Shares,53600000.0,53700000.0,54300000.0,54200000.0,
Diluted EPS,14.05,9.43,7.28,6.43,
Basic EPS,14.14,9.49,7.33,6.46,
Diluted NI Availto Com Stockholders,758000000.0,544500000.0,398300000.0,351200000.0,
Net Income Common Stockholders,758000000.0,544500000.0,398300000.0,351200000.0,
Otherunder Preferred Stock Dividend,1800000.0,1400000.0,1200000.0,1300000.0,
Net Income,759800000.0,545900000.0,399500000.0,351200000.0,
Minority Interests,-6200000.0,-5500000.0,-6100000.0,-4700000.0,
Net Income Including Noncontrolling Interests,766000000.0,551400000.0,405600000.0,355900000.0,
Net Income Discontinuous Operations,0.0,34600000.0,34500000.0,21200000.0,
Net Income Continuous Operations,766000000.0,516800000.0,371100000.0,334700000.0,
Tax Provision,217300000.0,140200000.0,88200000.0,89800000.0,
Pretax Income,983300000.0,657000000.0,459300000.0,424500000.0,
Other Income Expense,-18500000.0,4500000.0,-18300000.0,-9900000.0,
Other Non Operating Income Expenses,-18500000.0,4500000.0,5400000.0,-9900000.0,
Special Income Charges,0.0,0.0,-23700000.0,0.0,
Gain On Sale Of Business,0.0,0.0,-6900000.0,0.0,
Other Special Charges,,,16800000.0,,
Gain On Sale Of Security,,,,,1500000.0
Net Non Operating Interest Income Expense,-36700000.0,-49600000.0,-54700000.0,-60100000.0,
Interest Expense Non Operating,36700000.0,49600000.0,54700000.0,60100000.0,
Operating Income,1038500000.0,702100000.0,532300000.0,494500000.0,
Operating Expense,849600000.0,769500000.0,619200000.0,591300000.0,
Selling General And Administration,849600000.0,769500000.0,619200000.0,591300000.0,
General And Administrative Expense,849600000.0,769500000.0,619200000.0,676300000.0,
Other Gand A,849600000.0,762500000.0,619200000.0,676300000.0,
Salaries And Wages,0.0,7000000.0,0.0,7600000.0,
Gross Profit,1888100000.0,1471600000.0,1151500000.0,1085800000.0,
Cost Of Revenue,3484800000.0,3476300000.0,3042600000.0,2596700000.0,
Total Revenue,5372900000.0,4947900000.0,4194100000.0,3682500000.0,
Operating Revenue,5372900000.0,4947900000.0,4194100000.0,3682500000.0,
