,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-21133100.0,-12766400.0,-17739000.0,-58536000.0,
Tax Rate For Calcs,0.233,0.202,0.27,0.27,
Normalized EBITDA,1737600000.0,1341400000.0,1088500000.0,695000000.0,
Total Unusual Items,-90700000.0,-63200000.0,-65700000.0,-216800000.0,
Total Unusual Items Excluding Goodwill,-90700000.0,-63200000.0,-65700000.0,-216800000.0,
Net Income From Continuing Operation Net Minority Interest,778700000.0,589500000.0,520900000.0,-57700000.0,
Reconciled Depreciation,459100000.0,432800000.0,422100000.0,412500000.0,
Reconciled Cost Of Revenue,3902300000.0,3505500000.0,3074700000.0,2490900000.0,
EBITDA,1646900000.0,1278200000.0,1022800000.0,478200000.0,
EBIT,1187800000.0,845400000.0,600700000.0,65700000.0,
Net Interest Income,-156700000.0,-103200000.0,-87700000.0,-111100000.0,
Interest Expense,156700000.0,103200000.0,87700000.0,111100000.0,
Normalized Income,848266900.0,639933600.0,568861000.0,100564000.0,
Net Income From Continuing And Discontinued Operation,778700000.0,604700000.0,562500000.0,-33300000.0,
Total Expenses,5634600000.0,5036900000.0,4530000000.0,3698800000.0,
Total Operating Income As Reported,1164300000.0,817300000.0,565700000.0,59600000.0,
Diluted Average Shares,409000000.0,410200000.0,421200000.0,382800000.0,
Basic Average Shares,404800000.0,405300000.0,414800000.0,382800000.0,
Diluted EPS,1.9,1.47,1.34,-0.09,
Basic EPS,1.92,1.49,1.36,-0.09,
Diluted NI Availto Com Stockholders,778700000.0,604700000.0,562500000.0,-33300000.0,
Net Income Common Stockholders,778700000.0,604700000.0,562500000.0,-33300000.0,
Net Income,778700000.0,604700000.0,562500000.0,-33300000.0,
Minority Interests,-6400000.0,-3800000.0,-2500000.0,-900000.0,
Net Income Including Noncontrolling Interests,785100000.0,608500000.0,565000000.0,-32400000.0,
Net Income Discontinuous Operations,0.0,15200000.0,41600000.0,24400000.0,
Net Income Continuous Operations,785100000.0,593300000.0,523400000.0,-56800000.0,
Earnings From Equity Interest Net Of Tax,-6000000.0,700000.0,-11400000.0,0.0,
Tax Provision,240000000.0,149600000.0,-21800000.0,11400000.0,
Pretax Income,1031100000.0,742200000.0,513000000.0,-45400000.0,
Other Income Expense,-53700000.0,-34000000.0,-21700000.0,-208700000.0,
Other Non Operating Income Expenses,37000000.0,29200000.0,44000000.0,8100000.0,
Special Income Charges,-85600000.0,-69100000.0,-77700000.0,-198200000.0,
Gain On Sale Of Ppe,,,,0.0,-800000.0
Other Special Charges,13500000.0,1100000.0,9000000.0,2000000.0,
Impairment Of Capital Assets,,0.0,0.0,19900000.0,0.0
Restructuring And Mergern Acquisition,72100000.0,68000000.0,68700000.0,176300000.0,
Gain On Sale Of Security,-5100000.0,5900000.0,12000000.0,-18600000.0,
Net Non Operating Interest Income Expense,-156700000.0,-103200000.0,-87700000.0,-111100000.0,
Interest Expense Non Operating,156700000.0,103200000.0,87700000.0,111100000.0,
Operating Income,1241500000.0,879400000.0,622400000.0,274400000.0,
Operating Expense,1640700000.0,1446200000.0,1366100000.0,1130500000.0,
Other Operating Expenses,500000.0,2800000.0,5200000.0,6100000.0,
Depreciation Amortization Depletion Income Statement,367500000.0,347600000.0,332900000.0,335100000.0,
Depreciation And Amortization In Income Statement,367500000.0,347600000.0,332900000.0,335100000.0,
Amortization,367500000.0,347600000.0,332900000.0,335100000.0,
Amortization Of Intangibles Income Statement,367500000.0,347600000.0,332900000.0,335100000.0,
Selling General And Administration,1272700000.0,1095800000.0,1028000000.0,789300000.0,
Selling And Marketing Expense,,1095800000.0,1028000000.0,789300000.0,409600000.0
Gross Profit,2882200000.0,2325600000.0,1988500000.0,1404900000.0,
Cost Of Revenue,3993900000.0,3590700000.0,3163900000.0,2568300000.0,
Total Revenue,6876100000.0,5916300000.0,5152400000.0,3973200000.0,
Operating Revenue,6876100000.0,5916300000.0,5152400000.0,3973200000.0,
