,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-39611264.0,7106220.0,-8790880.0,11545139.0,
Tax Rate For Calcs,0.176,0.11,0.28,0.079,
Normalized EBITDA,1843691000.0,1808965000.0,1782683000.0,1322856000.0,
Total Unusual Items,-225064000.0,64602000.0,-31396000.0,146141000.0,
Total Unusual Items Excluding Goodwill,-225064000.0,64602000.0,-31396000.0,146141000.0,
Net Income From Continuing Operation Net Minority Interest,184234000.0,556981000.0,450219000.0,342693000.0,
Reconciled Depreciation,793018000.0,745639000.0,696970000.0,669445000.0,
Reconciled Cost Of Revenue,2340941000.0,2171076000.0,1870681000.0,1739966000.0,
EBITDA,1618627000.0,1873567000.0,1751287000.0,1468997000.0,
EBIT,825609000.0,1127928000.0,1054317000.0,799552000.0,
Net Interest Income,-585932000.0,-488014000.0,-417961000.0,-418535000.0,
Interest Expense,598403000.0,496290000.0,425302000.0,426847000.0,
Interest Income,12471000.0,8276000.0,7341000.0,8312000.0,
Normalized Income,369686736.0,499485220.0,472824120.0,208097139.0,
Net Income From Continuing And Discontinued Operation,184234000.0,556981000.0,450219000.0,342693000.0,
Total Expenses,4370246000.0,4057292000.0,3590210000.0,3358626000.0,
Rent Expense Supplemental,,,795802000.0,731679000.0,697330000.0
Total Operating Income As Reported,921778000.0,1049871000.0,854172000.0,934785000.0,
Diluted Average Shares,293965000.0,292444177.0,290975000.0,288643000.0,
Basic Average Shares,291936000.0,290812000.0,289457000.0,288183000.0,
Diluted EPS,0.63,1.9,1.55,1.19,
Basic EPS,0.63,1.92,1.56,1.19,
Diluted NI Availto Com Stockholders,184234000.0,556981000.0,450219000.0,342693000.0,
Net Income Common Stockholders,184234000.0,556981000.0,450219000.0,342693000.0,
Net Income,184234000.0,556981000.0,450219000.0,342693000.0,
Minority Interests,-3029000.0,-5168000.0,-2506000.0,-403000.0,
Net Income Including Noncontrolling Interests,187263000.0,562149000.0,452725000.0,343096000.0,
Net Income Discontinuous Operations,,,0.0,0.0,104000.0
Net Income Continuous Operations,187263000.0,562149000.0,452725000.0,343096000.0,
Tax Provision,39943000.0,69489000.0,176290000.0,29609000.0,
Pretax Income,227206000.0,631638000.0,629015000.0,372705000.0,
Other Income Expense,-296905000.0,73370000.0,145655000.0,2596000.0,
Other Non Operating Income Expenses,-71841000.0,8768000.0,177051000.0,-143545000.0,
Special Income Charges,-188265000.0,2918000.0,-47149000.0,146141000.0,
Gain On Sale Of Ppe,12825000.0,93268000.0,172041000.0,363537000.0,
Other Special Charges,,671000.0,,69937000.0,
Write Off,,,,34411000.0,19389000.0
Impairment Of Capital Assets,,0.0,0.0,23000000.0,0.0
Restructuring And Mergern Acquisition,201090000.0,89679000.0,219190000.0,194396000.0,
Gain On Sale Of Security,-36799000.0,61684000.0,15753000.0,-29830000.0,
Net Non Operating Interest Income Expense,-585932000.0,-488014000.0,-417961000.0,-418535000.0,
Interest Expense Non Operating,598403000.0,496290000.0,425302000.0,426847000.0,
Interest Income Non Operating,12471000.0,8276000.0,7341000.0,8312000.0,
Operating Income,1110043000.0,1046282000.0,901321000.0,788644000.0,
Operating Expense,2012446000.0,1868172000.0,1702981000.0,1601284000.0,
Other Operating Expenses,,,,,162606000.0
Depreciation Amortization Depletion Income Statement,776159000.0,727595000.0,680422000.0,652069000.0,
Depreciation And Amortization In Income Statement,776159000.0,727595000.0,680422000.0,652069000.0,
Selling General And Administration,1236287000.0,1140577000.0,1022559000.0,949215000.0,
Selling And Marketing Expense,363092000.0,300733000.0,262213000.0,231365000.0,
General And Administrative Expense,873195000.0,839844000.0,760346000.0,681802000.0,
Other Gand A,873195000.0,839844000.0,760346000.0,681802000.0,
Gross Profit,3122489000.0,2914454000.0,2604302000.0,2389928000.0,
Cost Of Revenue,2357800000.0,2189120000.0,1887229000.0,1757342000.0,
Total Revenue,5480289000.0,5103574000.0,4491531000.0,4147270000.0,
Operating Revenue,5480289000.0,5103574000.0,4491531000.0,4147270000.0,
