,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,11020000.0,-5600000.0,-31740000.0,-350000.0,
Tax Rate For Calcs,0.19,0.04,0.06,0.01,
Normalized EBITDA,4407000000.0,5899000000.0,3856000000.0,1165000000.0,
Total Unusual Items,58000000.0,-140000000.0,-529000000.0,-35000000.0,
Total Unusual Items Excluding Goodwill,58000000.0,-140000000.0,-529000000.0,-35000000.0,
Net Income From Continuing Operation Net Minority Interest,1554000000.0,3612000000.0,946000000.0,-1451000000.0,
Reconciled Depreciation,2211000000.0,1753000000.0,2066000000.0,2316000000.0,
Reconciled Cost Of Revenue,3728000000.0,3176000000.0,3327000000.0,3467000000.0,
EBITDA,4465000000.0,5759000000.0,3327000000.0,1130000000.0,
EBIT,2254000000.0,4006000000.0,1261000000.0,-1186000000.0,
Net Interest Income,-336000000.0,-212000000.0,-256000000.0,-274000000.0,
Interest Expense,343000000.0,227000000.0,257000000.0,279000000.0,
Interest Income,7000000.0,15000000.0,1000000.0,5000000.0,
Normalized Income,1507020000.0,3746400000.0,1443260000.0,-1416350000.0,
Net Income From Continuing And Discontinued Operation,1554000000.0,3612000000.0,946000000.0,-1451000000.0,
Total Expenses,4401000000.0,4043000000.0,4084000000.0,4097000000.0,
Total Operating Income As Reported,2248000000.0,3951000000.0,1308000000.0,-1180000000.0,
Diluted Average Shares,608000000.0,687000000.0,788000000.0,792000000.0,
Basic Average Shares,607000000.0,633000000.0,743000000.0,789000000.0,
Diluted EPS,2.56,5.26,1.2,-1.839037,
Basic EPS,2.56,5.706161,1.273217,-1.839037,
Diluted NI Availto Com Stockholders,1554000000.0,3612000000.0,946000000.0,-1451000000.0,
Net Income Common Stockholders,1554000000.0,3612000000.0,946000000.0,-1451000000.0,
Net Income,1554000000.0,3612000000.0,946000000.0,-1451000000.0,
Net Income Including Noncontrolling Interests,1554000000.0,3612000000.0,946000000.0,-1451000000.0,
Net Income Discontinuous Operations,,,,,0.0
Net Income Continuous Operations,1554000000.0,3612000000.0,946000000.0,-1451000000.0,
Tax Provision,357000000.0,167000000.0,58000000.0,-14000000.0,
Pretax Income,1911000000.0,3779000000.0,1004000000.0,-1465000000.0,
Other Income Expense,241000000.0,494000000.0,-257000000.0,-191000000.0,
Other Non Operating Income Expenses,-2000000.0,21000000.0,19000000.0,5000000.0,
Special Income Charges,15000000.0,-45000000.0,-200000000.0,-163000000.0,
Gain On Sale Of Ppe,17000000.0,-38000000.0,-19000000.0,9000000.0,
Other Special Charges,,,121000000.0,28000000.0,3000000.0
Write Off,2000000.0,7000000.0,60000000.0,144000000.0,
Impairment Of Capital Assets,,7000000.0,60000000.0,144000000.0,24000000.0
Earnings From Equity Interest,185000000.0,613000000.0,253000000.0,-161000000.0,
Gain On Sale Of Security,43000000.0,-95000000.0,-329000000.0,128000000.0,
Net Non Operating Interest Income Expense,-336000000.0,-212000000.0,-256000000.0,-274000000.0,
Interest Expense Non Operating,343000000.0,227000000.0,257000000.0,279000000.0,
Interest Income Non Operating,7000000.0,15000000.0,1000000.0,5000000.0,
Operating Income,2006000000.0,3497000000.0,1517000000.0,-1000000000.0,
Operating Expense,673000000.0,867000000.0,757000000.0,630000000.0,
Other Operating Expenses,13000000.0,75000000.0,121000000.0,156000000.0,
Other Taxes,363000000.0,484000000.0,345000000.0,200000000.0,
Selling General And Administration,297000000.0,308000000.0,291000000.0,274000000.0,
General And Administrative Expense,297000000.0,308000000.0,291000000.0,274000000.0,
Other Gand A,297000000.0,308000000.0,291000000.0,274000000.0,
Gross Profit,2679000000.0,4364000000.0,2274000000.0,-370000000.0,
Cost Of Revenue,3728000000.0,3176000000.0,3327000000.0,3467000000.0,
Total Revenue,6407000000.0,7540000000.0,5601000000.0,3097000000.0,
Operating Revenue,6407000000.0,7540000000.0,5601000000.0,3097000000.0,
