,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,6804000.0,-105228000.0,-10692000.0,0.0,
Tax Rate For Calcs,0.243,0.237,0.243,0.235,
Total Unusual Items,28000000.0,-444000000.0,-44000000.0,0.0,
Total Unusual Items Excluding Goodwill,28000000.0,-444000000.0,-44000000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,2741000000.0,1992000000.0,1859000000.0,1353152000.0,
Reconciled Depreciation,497000000.0,435000000.0,324000000.0,320288000.0,
Net Interest Income,7115000000.0,5822000000.0,3825000000.0,3866317000.0,
Interest Expense,3109000000.0,425000000.0,114000000.0,326395000.0,
Interest Income,10224000000.0,6247000000.0,3939000000.0,4192712000.0,
Normalized Income,2719804000.0,2330772000.0,1892308000.0,1353152000.0,
Net Income From Continuing And Discontinued Operation,2741000000.0,1992000000.0,1859000000.0,1353152000.0,
Diluted Average Shares,167002000.0,164030000.0,128812000.0,128704000.0,
Basic Average Shares,166361000.0,163199310.0,128673932.0,128678873.0,
Diluted EPS,15.79,11.53,13.8,9.94,
Basic EPS,15.85,11.59,13.81,9.94,
Diluted NI Availto Com Stockholders,2636000000.0,1891000000.0,1777000000.0,1279068000.0,
Average Dilution Earnings,,11000.0,10000.0,2000.0,2000.0
Net Income Common Stockholders,2636000000.0,1891000000.0,1777000000.0,1279066000.0,
Otherunder Preferred Stock Dividend,5000000.0,4000000.0,9000000.0,5858000.0,
Preferred Stock Dividends,100000000.0,97000000.0,73000000.0,68228000.0,
Net Income,2741000000.0,1992000000.0,1859000000.0,1353152000.0,
Net Income Including Noncontrolling Interests,2741000000.0,1992000000.0,1859000000.0,1353152000.0,
Net Income Continuous Operations,2741000000.0,1992000000.0,1859000000.0,1353152000.0,
Tax Provision,878000000.0,620000000.0,596000000.0,416369000.0,
Pretax Income,3619000000.0,2612000000.0,2455000000.0,1769521000.0,
Special Income Charges,28000000.0,-444000000.0,-44000000.0,0.0,
Gain On Sale Of Business,225000000.0,0.0,0.0,,
Other Special Charges,197000000.0,,,,
Restructuring And Mergern Acquisition,0.0,444000000.0,44000000.0,0.0,
Gain On Sale Of Security,4000000.0,-6000000.0,-21000000.0,-9421000.0,
Depreciation Amortization Depletion Income Statement,62000000.0,56000000.0,10000000.0,14869000.0,
Depreciation And Amortization In Income Statement,62000000.0,56000000.0,10000000.0,14869000.0,
Amortization,62000000.0,56000000.0,10000000.0,14869000.0,
Amortization Of Intangibles Income Statement,62000000.0,56000000.0,10000000.0,14869000.0,
Selling General And Administration,3223000000.0,2967000000.0,2180000000.0,2066399000.0,
Selling And Marketing Expense,108000000.0,90000000.0,64000000.0,61904000.0,
General And Administrative Expense,3115000000.0,2877000000.0,2116000000.0,2004495000.0,
Other Gand A,,,,298349000.0,269624000.0
Insurance And Claims,118000000.0,90000000.0,70000000.0,53803000.0,
Salaries And Wages,2997000000.0,2787000000.0,2046000000.0,1950692000.0,
Total Revenue,9398000000.0,8013000000.0,5962000000.0,5954761000.0,
Operating Revenue,9398000000.0,8013000000.0,5962000000.0,5954761000.0,
