,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,427680000.0,0.0
Tax Rate For Calcs,0.124,0.161,0.216,0.145
Normalized EBITDA,4229000000.0,7684000000.0,8753000000.0,5588000000.0
Total Unusual Items,0.0,0.0,1980000000.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,1980000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,2056000000.0,4896000000.0,7005000000.0,3189000000.0
Reconciled Depreciation,1338000000.0,1342000000.0,1239000000.0,1267000000.0
Reconciled Cost Of Revenue,32739000000.0,29128000000.0,28399000000.0,29321000000.0
EBITDA,4229000000.0,7684000000.0,10733000000.0,5588000000.0
EBIT,2891000000.0,6342000000.0,9494000000.0,4321000000.0
Net Interest Income,-545000000.0,-506000000.0,-556000000.0,-593000000.0
Interest Expense,545000000.0,506000000.0,556000000.0,593000000.0
Normalized Income,2056000000.0,4896000000.0,5452680000.0,3189000000.0
Net Income From Continuing And Discontinued Operation,2056000000.0,4896000000.0,7005000000.0,3189000000.0
Total Expenses,36753000000.0,33001000000.0,31996000000.0,32734000000.0
Total Operating Income As Reported,2537000000.0,3601000000.0,5651000000.0,4065000000.0
Diluted Average Shares,152000000.0,155600000.0,160900000.0,167600000.0
Basic Average Shares,151500000.0,154900000.0,160300000.0,167100000.0
Diluted EPS,13.53,31.47,43.54,19.03
Basic EPS,13.57,31.61,43.7,19.08
Diluted NI Availto Com Stockholders,2056000000.0,4896000000.0,7005000000.0,3189000000.0
Net Income Common Stockholders,2056000000.0,4896000000.0,7005000000.0,3189000000.0
Net Income,2056000000.0,4896000000.0,7005000000.0,3189000000.0
Net Income Including Noncontrolling Interests,2056000000.0,4896000000.0,7005000000.0,3189000000.0
Net Income Continuous Operations,2056000000.0,4896000000.0,7005000000.0,3189000000.0
Tax Provision,290000000.0,940000000.0,1933000000.0,539000000.0
Pretax Income,2346000000.0,5836000000.0,8938000000.0,3728000000.0
Other Income Expense,354000000.0,2741000000.0,5823000000.0,256000000.0
Other Non Operating Income Expenses,354000000.0,2741000000.0,3843000000.0,256000000.0
Special Income Charges,0.0,0.0,1980000000.0,0.0
Gain On Sale Of Business,0.0,0.0,1980000000.0,0.0
Net Non Operating Interest Income Expense,-545000000.0,-506000000.0,-556000000.0,-593000000.0
Interest Expense Non Operating,545000000.0,506000000.0,556000000.0,593000000.0
Operating Income,2537000000.0,3601000000.0,3671000000.0,4065000000.0
Operating Expense,4014000000.0,3873000000.0,3597000000.0,3413000000.0
Selling General And Administration,4014000000.0,3873000000.0,3597000000.0,3413000000.0
General And Administrative Expense,4014000000.0,3873000000.0,3597000000.0,3413000000.0
Other Gand A,4014000000.0,3873000000.0,3597000000.0,3413000000.0
Gross Profit,6551000000.0,7474000000.0,7268000000.0,7478000000.0
Cost Of Revenue,32739000000.0,29128000000.0,28399000000.0,29321000000.0
Total Revenue,39290000000.0,36602000000.0,35667000000.0,36799000000.0
Operating Revenue,39290000000.0,36602000000.0,35667000000.0,36799000000.0
