,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.262,0.275,0.276,0.301,
Normalized EBITDA,2379000000.0,2224000000.0,2311000000.0,1830000000.0,
Net Income From Continuing Operation Net Minority Interest,1406000000.0,1253000000.0,1246000000.0,906000000.0,
Reconciled Depreciation,193000000.0,191000000.0,203000000.0,191000000.0,
Reconciled Cost Of Revenue,10016000000.0,9765000000.0,10105000000.0,8977000000.0,
EBITDA,2379000000.0,2224000000.0,2311000000.0,1830000000.0,
EBIT,2186000000.0,2033000000.0,2108000000.0,1639000000.0,
Net Interest Income,-150000000.0,-143000000.0,-136000000.0,-122000000.0,
Interest Expense,,,,,39000000.0
Interest Income,,,,,53000000.0
Normalized Income,1406000000.0,1253000000.0,1246000000.0,906000000.0,
Net Income From Continuing And Discontinued Operation,1406000000.0,1253000000.0,1246000000.0,906000000.0,
Total Expenses,12023000000.0,11652000000.0,12190000000.0,11117000000.0,
Total Operating Income As Reported,2186000000.0,2033000000.0,2108000000.0,1639000000.0,
Diluted Average Shares,414600000.0,423000000.0,431400000.0,434600000.0,
Basic Average Shares,411400000.0,420000000.0,427700000.0,433200000.0,
Diluted EPS,3.39,2.96,2.89,2.08,
Basic EPS,3.42,2.98,2.91,2.09,
Diluted NI Availto Com Stockholders,1406000000.0,1253000000.0,1246000000.0,906000000.0,
Net Income Common Stockholders,1406000000.0,1253000000.0,1246000000.0,906000000.0,
Otherunder Preferred Stock Dividend,,,,,131000000.0
Net Income,1406000000.0,1253000000.0,1246000000.0,906000000.0,
Minority Interests,-92000000.0,-116000000.0,-174000000.0,-150000000.0,
Net Income Including Noncontrolling Interests,1498000000.0,1369000000.0,1420000000.0,1056000000.0,
Net Income Continuous Operations,1498000000.0,1369000000.0,1420000000.0,1056000000.0,
Tax Provision,533000000.0,519000000.0,541000000.0,455000000.0,
Pretax Income,2031000000.0,1888000000.0,1961000000.0,1511000000.0,
Other Income Expense,-5000000.0,-2000000.0,-11000000.0,-6000000.0,
Other Non Operating Income Expenses,-5000000.0,-2000000.0,-11000000.0,-6000000.0,
Net Non Operating Interest Income Expense,-150000000.0,-143000000.0,-136000000.0,-122000000.0,
Total Other Finance Cost,150000000.0,143000000.0,136000000.0,122000000.0,
Interest Expense Non Operating,,,,,39000000.0
Interest Income Non Operating,,,,,53000000.0
Operating Income,2186000000.0,2033000000.0,2108000000.0,1639000000.0,
Operating Expense,2007000000.0,1887000000.0,2085000000.0,2140000000.0,
Other Operating Expenses,-21000000.0,-26000000.0,-22000000.0,64000000.0,
Research And Development,144000000.0,150000000.0,159000000.0,152000000.0,
Selling General And Administration,1884000000.0,1763000000.0,1948000000.0,1924000000.0,
Selling And Marketing Expense,,,,1924000000.0,1810000000.0
General And Administrative Expense,,,,1924000000.0,1810000000.0
Other Gand A,,,,1924000000.0,1810000000.0
Salaries And Wages,,,,,33000000.0
Gross Profit,4193000000.0,3920000000.0,4193000000.0,3779000000.0,
Cost Of Revenue,10016000000.0,9765000000.0,10105000000.0,8977000000.0,
Total Revenue,14209000000.0,13685000000.0,14298000000.0,12756000000.0,
Operating Revenue,14209000000.0,13685000000.0,14298000000.0,12756000000.0,
