,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,43484994.756339,51679085.912307,82198788.598215,26984404.501662,
Tax Rate For Calcs,0.06092,0.036689,0.052442,0.074672,
Normalized EBITDA,5853992000.0,4386917000.0,3583472000.0,3247590000.0,
Total Unusual Items,713805000.0,1408573000.0,1567412000.0,361374000.0,
Total Unusual Items Excluding Goodwill,713805000.0,1408573000.0,1567412000.0,361374000.0,
Net Income From Continuing Operation Net Minority Interest,3059214000.0,3364856000.0,2939723000.0,1481814000.0,
Reconciled Depreciation,2484891000.0,1812777000.0,1577942000.0,1561969000.0,
Reconciled Cost Of Revenue,2010335000.0,1509094000.0,1248487000.0,1170104000.0,
EBITDA,6567797000.0,5795490000.0,5150884000.0,3608964000.0,
EBIT,4082906000.0,3982713000.0,3572942000.0,2046995000.0,
Net Interest Income,-641332000.0,-309037000.0,-266228000.0,-313463000.0,
Interest Expense,618723000.0,291903000.0,250094000.0,299907000.0,
Interest Income,,,871000.0,1044000.0,24213000.0
Normalized Income,2388893994.756339,2007962085.912307,1454509788.598215,1147424404.501662,
Net Income From Continuing And Discontinued Operation,3059214000.0,3364856000.0,2939723000.0,1481814000.0,
Total Expenses,4938986000.0,3693290000.0,3142031000.0,3036928000.0,
Total Operating Income As Reported,3707792000.0,3467538000.0,3206996000.0,2118944000.0,
Diluted Average Shares,951791000.0,811608000.0,764762000.0,754413996.0,
Basic Average Shares,924351000.0,785675000.0,739363000.0,728322997.0,
Diluted EPS,3.29,4.25,3.94,2.01,
Basic EPS,3.3,4.28,3.97,2.02,
Diluted NI Availto Com Stockholders,3131179000.0,3451032000.0,3015663000.0,1515060000.0,
Average Dilution Earnings,77806000.0,92236000.0,82092000.0,41938000.0,
Net Income Common Stockholders,3053373000.0,3358796000.0,2933571000.0,1473122000.0,
Otherunder Preferred Stock Dividend,,0.0,0.0,2347000.0,0.0
Preferred Stock Dividends,5841000.0,6060000.0,6152000.0,6345000.0,
Net Income,3059214000.0,3364856000.0,2939723000.0,1481814000.0,
Minority Interests,-193931000.0,-190542000.0,-208867000.0,-134816000.0,
Net Income Including Noncontrolling Interests,3253145000.0,3555398000.0,3148590000.0,1616630000.0,
Net Income Continuous Operations,3253145000.0,3555398000.0,3148590000.0,1616630000.0,
Tax Provision,211038000.0,135412000.0,174258000.0,130458000.0,
Pretax Income,3464183000.0,3690810000.0,3322848000.0,1747088000.0,
Other Income Expense,1021032000.0,1719445000.0,1971667000.0,658744000.0,
Special Income Charges,3275000.0,-20184000.0,-187453000.0,-188290000.0,
Other Special Charges,-3275000.0,20184000.0,187453000.0,188290000.0,
Earnings From Equity Interest,307227000.0,310872000.0,404255000.0,297370000.0,
Gain On Sale Of Security,710530000.0,1428757000.0,1754865000.0,549664000.0,
Net Non Operating Interest Income Expense,-641332000.0,-309037000.0,-266228000.0,-313463000.0,
Total Other Finance Cost,22609000.0,17134000.0,16134000.0,14600000.0,
Interest Expense Non Operating,618723000.0,291903000.0,250094000.0,299907000.0,
Interest Income Non Operating,,,871000.0,1044000.0,24213000.0
Operating Income,3084483000.0,2280402000.0,1617409000.0,1401807000.0,
Operating Expense,2928651000.0,2184196000.0,1893544000.0,1866824000.0,
Other Operating Expenses,53354000.0,40336000.0,22435000.0,30010000.0,
Depreciation Amortization Depletion Income Statement,2484891000.0,1812777000.0,1577942000.0,1561969000.0,
Depreciation And Amortization In Income Statement,2484891000.0,1812777000.0,1577942000.0,1561969000.0,
Selling General And Administration,390406000.0,331083000.0,293167000.0,274845000.0,
General And Administrative Expense,390406000.0,331083000.0,293167000.0,274845000.0,
Other Gand A,390406000.0,331083000.0,293167000.0,274845000.0,
Gross Profit,6013134000.0,4464598000.0,3510953000.0,3268631000.0,
Cost Of Revenue,2010335000.0,1509094000.0,1248487000.0,1170104000.0,
Total Revenue,8023469000.0,5973692000.0,4759440000.0,4438735000.0,
Operating Revenue,8023469000.0,5973692000.0,4759440000.0,4438735000.0,
