,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,0.0,0.0,-7716800.0,0.0,
Tax Rate For Calcs,0.039,0.21,0.182,0.296,
Normalized EBITDA,323600000.0,109000000.0,182000000.0,110300000.0,
Total Unusual Items,0.0,0.0,-42400000.0,0.0,
Total Unusual Items Excluding Goodwill,0.0,0.0,-42400000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,206300000.0,4600000.0,16800000.0,6800000.0,
Reconciled Depreciation,72800000.0,63200000.0,57400000.0,55400000.0,
Reconciled Cost Of Revenue,537200000.0,499700000.0,346700000.0,322100000.0,
EBITDA,323600000.0,109000000.0,139600000.0,110300000.0,
EBIT,250800000.0,45800000.0,82200000.0,54900000.0,
Net Interest Income,-7600000.0,-26700000.0,-61200000.0,-45100000.0,
Interest Expense,36200000.0,36000000.0,61700000.0,45200000.0,
Interest Income,28600000.0,9300000.0,500000.0,3000000.0,
Normalized Income,206300000.0,4600000.0,51483200.0,6800000.0,
Net Income From Continuing And Discontinued Operation,206300000.0,4600000.0,16800000.0,6800000.0,
Total Expenses,1477100000.0,1267700000.0,972800000.0,852900000.0,
Total Operating Income As Reported,220000000.0,37600000.0,126000000.0,51500000.0,
Diluted Average Shares,73633000.0,69910000.0,68579000.0,65946000.0,
Basic Average Shares,69751000.0,69375000.0,67698000.0,64735000.0,
Diluted EPS,2.94,0.07,0.24,0.1,
Basic EPS,2.96,0.07,0.25,0.11,
Diluted NI Availto Com Stockholders,206300000.0,4600000.0,16800000.0,6800000.0,
Net Income Common Stockholders,206300000.0,4600000.0,16800000.0,6800000.0,
Net Income,206300000.0,4600000.0,16800000.0,6800000.0,
Net Income Including Noncontrolling Interests,206300000.0,4600000.0,16800000.0,6800000.0,
Net Income Continuous Operations,206300000.0,4600000.0,16800000.0,6800000.0,
Tax Provision,8300000.0,5200000.0,3700000.0,2900000.0,
Pretax Income,214600000.0,9800000.0,20500000.0,9700000.0,
Other Income Expense,2200000.0,-1100000.0,-44300000.0,3300000.0,
Other Non Operating Income Expenses,2200000.0,-1100000.0,-1900000.0,3300000.0,
Special Income Charges,0.0,0.0,-42400000.0,0.0,
Other Special Charges,,,42400000.0,,8700000.0
Net Non Operating Interest Income Expense,-7600000.0,-26700000.0,-61200000.0,-45100000.0,
Total Other Finance Cost,,4300000.0,3500000.0,2900000.0,2800000.0
Interest Expense Non Operating,36200000.0,36000000.0,61700000.0,45200000.0,
Interest Income Non Operating,28600000.0,9300000.0,500000.0,3000000.0,
Operating Income,220000000.0,37600000.0,126000000.0,51500000.0,
Operating Expense,939900000.0,768000000.0,626100000.0,530800000.0,
Research And Development,205000000.0,180200000.0,160100000.0,146800000.0,
Selling General And Administration,734900000.0,587800000.0,466000000.0,384000000.0,
Selling And Marketing Expense,,,,,185100000.0
General And Administrative Expense,,,,,115500000.0
Other Gand A,,,,,115500000.0
Gross Profit,1159900000.0,805600000.0,752100000.0,582300000.0,
Cost Of Revenue,537200000.0,499700000.0,346700000.0,322100000.0,
Total Revenue,1697100000.0,1305300000.0,1098800000.0,904400000.0,
Operating Revenue,1697100000.0,1305300000.0,1098800000.0,904400000.0,
