,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-14238000.0,-18066800.0,-3078000.0,-35583200.0,
Tax Rate For Calcs,0.21,0.188,0.18,0.152,
Normalized EBITDA,4366800000.0,3764400000.0,3175000000.0,2891200000.0,
Total Unusual Items,-67800000.0,-96100000.0,-17100000.0,-234100000.0,
Total Unusual Items Excluding Goodwill,-67800000.0,-96100000.0,-17100000.0,-234100000.0,
Net Income From Continuing Operation Net Minority Interest,1731000000.0,1487600000.0,1290400000.0,967200000.0,
Reconciled Depreciation,1599300000.0,1441200000.0,1268200000.0,1158800000.0,
Reconciled Cost Of Revenue,8844300000.0,8115400000.0,6655000000.0,6017600000.0,
EBITDA,4299000000.0,3668300000.0,3157900000.0,2657100000.0,
EBIT,2699700000.0,2227100000.0,1889700000.0,1498300000.0,
Net Interest Income,-501700000.0,-392300000.0,-312100000.0,-350400000.0,
Interest Expense,508200000.0,395600000.0,314600000.0,355600000.0,
Interest Income,6500000.0,3300000.0,2500000.0,5200000.0,
Normalized Income,1784562000.0,1565633200.0,1304422000.0,1165716800.0,
Net Income From Continuing And Discontinued Operation,1731000000.0,1487600000.0,1290400000.0,967200000.0,
Total Expenses,12116700000.0,11023500000.0,9201700000.0,8312300000.0,
Total Operating Income As Reported,2780200000.0,2391700000.0,2076200000.0,1709100000.0,
Diluted Average Shares,316700000.0,317100000.0,319400000.0,319800000.0,
Basic Average Shares,316200000.0,316500000.0,318800000.0,319300000.0,
Diluted EPS,5.47,4.69,4.04,3.02,
Basic EPS,5.47,4.7,4.05,3.03,
Diluted NI Availto Com Stockholders,1731000000.0,1487600000.0,1290400000.0,967200000.0,
Net Income Common Stockholders,1731000000.0,1487600000.0,1290400000.0,967200000.0,
Net Income,1731000000.0,1487600000.0,1290400000.0,967200000.0,
Minority Interests,-400000.0,0.0,-1900000.0,-2400000.0,
Net Income Including Noncontrolling Interests,1731400000.0,1487600000.0,1292300000.0,969600000.0,
Net Income Continuous Operations,1731400000.0,1487600000.0,1292300000.0,969600000.0,
Tax Provision,460100000.0,343900000.0,282800000.0,173100000.0,
Pretax Income,2191500000.0,1831500000.0,1575100000.0,1142700000.0,
Other Income Expense,-154600000.0,-264000000.0,-206100000.0,-348200000.0,
Other Non Operating Income Expenses,7500000.0,-2300000.0,-500000.0,4100000.0,
Special Income Charges,-67800000.0,-96100000.0,-17100000.0,-234100000.0,
Gain On Sale Of Business,3600000.0,6300000.0,-500000.0,-77700000.0,
Other Special Charges,4700000.0,-1600000.0,,136400000.0,9600000.0
Restructuring And Mergern Acquisition,66700000.0,104000000.0,16600000.0,20000000.0,
Earnings From Equity Interest,-94300000.0,-165600000.0,-188500000.0,-118200000.0,
Net Non Operating Interest Income Expense,-501700000.0,-392300000.0,-312100000.0,-350400000.0,
Interest Expense Non Operating,508200000.0,395600000.0,314600000.0,355600000.0,
Interest Income Non Operating,6500000.0,3300000.0,2500000.0,5200000.0,
Operating Income,2847800000.0,2487800000.0,2093300000.0,1841300000.0,
Operating Expense,3174500000.0,2818500000.0,2464000000.0,2211800000.0,
Other Operating Expenses,97900000.0,89600000.0,82700000.0,82900000.0,
Provision For Doubtful Accounts,53200000.0,41500000.0,19900000.0,27800000.0,
Depreciation Amortization Depletion Income Statement,1501400000.0,1351600000.0,1185500000.0,1075900000.0,
Depletion Income Statement,470900000.0,433700000.0,377500000.0,323000000.0,
Depreciation And Amortization In Income Statement,1030500000.0,917900000.0,808000000.0,752900000.0,
Amortization,133000000.0,106000000.0,73800000.0,60000000.0,
Amortization Of Intangibles Income Statement,133000000.0,106000000.0,73800000.0,60000000.0,
Depreciation Income Statement,897500000.0,811900000.0,734200000.0,692900000.0,
Selling General And Administration,1522000000.0,1335800000.0,1195800000.0,1025200000.0,
General And Administrative Expense,1522000000.0,1335800000.0,1175900000.0,1025200000.0,
Other Gand A,471600000.0,397900000.0,309500000.0,284700000.0,
Salaries And Wages,1050400000.0,937900000.0,866400000.0,740500000.0,
Gross Profit,6022300000.0,5306300000.0,4557300000.0,4053100000.0,
Cost Of Revenue,8942200000.0,8205000000.0,6737700000.0,6100500000.0,
Total Revenue,14964500000.0,13511300000.0,11295000000.0,10153600000.0,
Operating Revenue,14322600000.0,12826000000.0,10600500000.0,9627000000.0,
