,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.193,0.206,0.224,0.21
Normalized EBITDA,2041000000.0,2271000000.0,2476000000.0,2029000000.0
Net Income From Continuing Operation Net Minority Interest,692000000.0,1343000000.0,1460000000.0,1138000000.0
Reconciled Depreciation,561000000.0,578000000.0,597000000.0,599000000.0
Reconciled Cost Of Revenue,3681000000.0,3435000000.0,3248000000.0,2966000000.0
EBITDA,2041000000.0,2271000000.0,2476000000.0,2029000000.0
EBIT,1480000000.0,1693000000.0,1879000000.0,1430000000.0
Normalized Income,692000000.0,1343000000.0,1460000000.0,1138000000.0
Net Income From Continuing And Discontinued Operation,692000000.0,1343000000.0,1460000000.0,1138000000.0
Total Expenses,6761000000.0,6437000000.0,6292000000.0,5851000000.0
Rent Expense Supplemental,481000000.0,482000000.0,475000000.0,465000000.0
Total Operating Income As Reported,1480000000.0,1693000000.0,1879000000.0,1430000000.0
Diluted Average Shares,172466022.0,172466022.0,172466022.0,172466022.0
Basic Average Shares,172466022.0,172466022.0,172466022.0,172466022.0
Diluted EPS,4.01,7.787041,8.465436,6.598401
Basic EPS,4.01,7.787041,8.465436,6.598401
Diluted NI Availto Com Stockholders,692000000.0,1343000000.0,1460000000.0,1138000000.0
Net Income Common Stockholders,692000000.0,1343000000.0,1460000000.0,1138000000.0
Net Income,692000000.0,1343000000.0,1460000000.0,1138000000.0
Net Income Including Noncontrolling Interests,692000000.0,1343000000.0,1460000000.0,1138000000.0
Net Income Continuous Operations,692000000.0,1343000000.0,1460000000.0,1138000000.0
Tax Provision,218000000.0,349000000.0,422000000.0,302000000.0
Pretax Income,910000000.0,1692000000.0,1882000000.0,1440000000.0
Other Income Expense,-570000000.0,-1000000.0,3000000.0,10000000.0
Other Non Operating Income Expenses,-570000000.0,-1000000.0,3000000.0,10000000.0
Operating Income,1480000000.0,1693000000.0,1879000000.0,1430000000.0
Operating Expense,3080000000.0,3002000000.0,3044000000.0,2885000000.0
Research And Development,759000000.0,767000000.0,766000000.0,719000000.0
Selling General And Administration,2321000000.0,2235000000.0,2278000000.0,2166000000.0
Gross Profit,4560000000.0,4695000000.0,4923000000.0,4315000000.0
Cost Of Revenue,3681000000.0,3435000000.0,3248000000.0,2966000000.0
Total Revenue,8241000000.0,8130000000.0,8171000000.0,7281000000.0
Operating Revenue,8241000000.0,8130000000.0,8171000000.0,7281000000.0
