,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-1593504000.0,-248787000.0,-818690754.588715,-30186000.0,
Tax Rate For Calcs,0.288,0.231,0.231203,0.234,
Normalized EBITDA,45668000000.0,50060000000.0,52652000000.0,45063000000.0,
Total Unusual Items,-5533000000.0,-1077000000.0,-3541000000.0,-129000000.0,
Total Unusual Items Excluding Goodwill,-5533000000.0,-1077000000.0,-3541000000.0,-129000000.0,
Net Income From Continuing Operation Net Minority Interest,11614000000.0,21256000000.0,22065000000.0,17801000000.0,
Reconciled Depreciation,17624000000.0,17099000000.0,16206000000.0,16720000000.0,
Reconciled Cost Of Revenue,54887000000.0,59133000000.0,56301000000.0,51201000000.0,
EBITDA,40135000000.0,48983000000.0,49111000000.0,44934000000.0,
EBIT,22511000000.0,31884000000.0,32905000000.0,28214000000.0,
Net Interest Income,-5170000000.0,-3467000000.0,-3437000000.0,-4182000000.0,
Interest Expense,5524000000.0,3613000000.0,3485000000.0,4247000000.0,
Interest Income,354000000.0,146000000.0,48000000.0,65000000.0,
Normalized Income,15553496000.0,22084213000.0,24787309245.411285,17899814000.0,
Net Income From Continuing And Discontinued Operation,11614000000.0,21256000000.0,22065000000.0,17801000000.0,
Total Expenses,105256000000.0,106368000000.0,101165000000.0,99494000000.0,
Total Operating Income As Reported,22877000000.0,30467000000.0,32448000000.0,28798000000.0,
Diluted Average Shares,4215000000.0,4204000000.0,4150000000.0,4142000000.0,
Basic Average Shares,4211000000.0,4202000000.0,4148000000.0,4140000000.0,
Diluted EPS,2.75,5.06,5.32,4.3,
Basic EPS,2.76,5.06,5.32,4.3,
Diluted NI Availto Com Stockholders,11614000000.0,21256000000.0,22065000000.0,17801000000.0,
Net Income Common Stockholders,11614000000.0,21256000000.0,22065000000.0,17801000000.0,
Net Income,11614000000.0,21256000000.0,22065000000.0,17801000000.0,
Minority Interests,-481000000.0,-492000000.0,-553000000.0,-547000000.0,
Net Income Including Noncontrolling Interests,12095000000.0,21748000000.0,22618000000.0,18348000000.0,
Net Income Continuous Operations,12095000000.0,21748000000.0,22618000000.0,18348000000.0,
Tax Provision,4892000000.0,6523000000.0,6802000000.0,5619000000.0,
Pretax Income,16987000000.0,28271000000.0,29420000000.0,23967000000.0,
Other Income Expense,-6561000000.0,1271000000.0,409000000.0,-649000000.0,
Other Non Operating Income Expenses,-975000000.0,2304000000.0,3805000000.0,-475000000.0,
Special Income Charges,-5533000000.0,-1077000000.0,-3541000000.0,-129000000.0,
Gain On Sale Of Business,,,,,94000000.0
Other Special Charges,-308000000.0,1077000000.0,3541000000.0,129000000.0,
Impairment Of Capital Assets,5841000000.0,0.0,0.0,0.0,
Earnings From Equity Interest,-53000000.0,44000000.0,145000000.0,-45000000.0,
Net Non Operating Interest Income Expense,-5170000000.0,-3467000000.0,-3437000000.0,-4182000000.0,
Interest Expense Non Operating,5524000000.0,3613000000.0,3485000000.0,4247000000.0,
Interest Income Non Operating,354000000.0,146000000.0,48000000.0,65000000.0,
Operating Income,28718000000.0,30467000000.0,32448000000.0,28798000000.0,
Operating Expense,50369000000.0,47235000000.0,44864000000.0,48293000000.0,
Depreciation Amortization Depletion Income Statement,17624000000.0,17099000000.0,16206000000.0,16720000000.0,
Depreciation And Amortization In Income Statement,17624000000.0,17099000000.0,16206000000.0,16720000000.0,
Selling General And Administration,32745000000.0,30136000000.0,28658000000.0,31573000000.0,
Gross Profit,79087000000.0,77702000000.0,77312000000.0,77091000000.0,
Cost Of Revenue,54887000000.0,59133000000.0,56301000000.0,51201000000.0,
Total Revenue,133974000000.0,136835000000.0,133613000000.0,128292000000.0,
Operating Revenue,133974000000.0,136835000000.0,133613000000.0,128292000000.0,
