,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Tax Effect Of Unusual Items,-165200000.0,-721240000.0,13998604.326588,-54560000.0,
Tax Rate For Calcs,0.2,0.19,0.164689,0.22,
Normalized EBITDA,23193000000.0,17967000000.0,7064000000.0,6939000000.0,
Total Unusual Items,-826000000.0,-3796000000.0,85000000.0,-248000000.0,
Total Unusual Items Excluding Goodwill,-826000000.0,-3796000000.0,85000000.0,-248000000.0,
Net Income From Continuing Operation Net Minority Interest,-3126000000.0,-7371000000.0,1006000000.0,1219000000.0,
Reconciled Depreciation,24009000000.0,21354000000.0,5083000000.0,4315000000.0,
Reconciled Cost Of Revenue,8502000000.0,6281000000.0,1119000000.0,904000000.0,
EBITDA,22367000000.0,14171000000.0,7149000000.0,6691000000.0,
EBIT,-1642000000.0,-7183000000.0,2066000000.0,2376000000.0,
Net Interest Income,-2042000000.0,-1710000000.0,-615000000.0,-648000000.0,
Interest Expense,2221000000.0,1777000000.0,633000000.0,648000000.0,
Interest Income,179000000.0,67000000.0,18000000.0,10000000.0,
Normalized Income,-2465200000.0,-4296240000.0,934998604.326588,1412440000.0,
Net Income From Continuing And Discontinued Operation,-3126000000.0,-7371000000.0,1006000000.0,1219000000.0,
Total Expenses,42207000000.0,37313000000.0,10218000000.0,7941000000.0,
Total Operating Income As Reported,-1548000000.0,-7370000000.0,2012000000.0,2515000000.0,
Diluted Average Shares,2436000000.0,1940000000.0,664000000.0,672000000.0,
Basic Average Shares,2436000000.0,1940000000.0,503000000.0,505000000.0,
Diluted EPS,-1.28,-3.82,1.54,1.81,
Basic EPS,-1.28,-3.82,1.55,1.82,
Diluted NI Availto Com Stockholders,-3126000000.0,-7420000000.0,1022000000.0,1219000000.0,
Average Dilution Earnings,0.0,0.0,110000000.0,128000000.0,
Net Income Common Stockholders,-3126000000.0,-7420000000.0,912000000.0,1091000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,-16000000.0,0.0,
Preferred Stock Dividends,,49000000.0,110000000.0,128000000.0,518000000.0
Net Income,-3126000000.0,-7371000000.0,1006000000.0,1219000000.0,
Minority Interests,-47000000.0,-74000000.0,-191000000.0,-136000000.0,
Net Income Including Noncontrolling Interests,-3079000000.0,-7297000000.0,1197000000.0,1355000000.0,
Net Income Continuous Operations,-3079000000.0,-7297000000.0,1197000000.0,1355000000.0,
Tax Provision,-784000000.0,-1663000000.0,236000000.0,373000000.0,
Pretax Income,-3863000000.0,-8960000000.0,1433000000.0,1728000000.0,
Other Income Expense,-935000000.0,-3754000000.0,75000000.0,-354000000.0,
Other Non Operating Income Expenses,-27000000.0,7000000.0,4000000.0,-3000000.0,
Special Income Charges,-645000000.0,-3874000000.0,29000000.0,-291000000.0,
Gain On Sale Of Ppe,,,,,13000000.0
Gain On Sale Of Business,,195000000.0,71000000.0,0.0,0.0
Other Special Charges,-17000000.0,,10000000.0,76000000.0,28000000.0
Impairment Of Capital Assets,77000000.0,117000000.0,-71000000.0,124000000.0,
Restructuring And Mergern Acquisition,585000000.0,3757000000.0,32000000.0,91000000.0,
Earnings From Equity Interest,-82000000.0,35000000.0,-14000000.0,-103000000.0,
Gain On Sale Of Security,-181000000.0,78000000.0,56000000.0,43000000.0,
Net Non Operating Interest Income Expense,-2042000000.0,-1710000000.0,-615000000.0,-648000000.0,
Interest Expense Non Operating,2221000000.0,1777000000.0,633000000.0,648000000.0,
Interest Income Non Operating,179000000.0,67000000.0,18000000.0,10000000.0,
Operating Income,-886000000.0,-3496000000.0,1973000000.0,2730000000.0,
Operating Expense,17681000000.0,16871000000.0,5598000000.0,4081000000.0,
Depreciation Amortization Depletion Income Statement,7985000000.0,7193000000.0,1582000000.0,1359000000.0,
Depreciation And Amortization In Income Statement,7985000000.0,7193000000.0,1582000000.0,1359000000.0,
Selling General And Administration,9696000000.0,9678000000.0,4016000000.0,2722000000.0,
Gross Profit,16795000000.0,13375000000.0,7571000000.0,6811000000.0,
Cost Of Revenue,24526000000.0,20442000000.0,4620000000.0,3860000000.0,
Total Revenue,41321000000.0,33817000000.0,12191000000.0,10671000000.0,
Operating Revenue,40140000000.0,33026000000.0,12133000000.0,10613000000.0,
