,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,541000000.0,351000000.0,1041000000.0,1059000000.0,
Repurchase Of Capital Stock,-150000000.0,-1002000000.0,-1000000000.0,-60000000.0,
Repayment Of Debt,-808000000.0,-750000000.0,-300000000.0,-435000000.0,
Issuance Of Debt,796000000.0,500000000.0,0.0,249000000.0,
Capital Expenditure,-833000000.0,-624000000.0,-578000000.0,-396000000.0,
End Cash Position,548000000.0,493000000.0,459000000.0,564000000.0,
Beginning Cash Position,493000000.0,459000000.0,564000000.0,204000000.0,
Effect Of Exchange Rate Changes,1000000.0,-12000000.0,-5000000.0,3000000.0,
Changes In Cash,54000000.0,46000000.0,-100000000.0,357000000.0,
Financing Cash Flow,-888000000.0,-1321000000.0,-1690000000.0,-704000000.0,
Cash Flow From Continuing Financing Activities,-888000000.0,-1321000000.0,-1690000000.0,-704000000.0,
Net Other Financing Charges,-24000000.0,-14000000.0,35000000.0,21000000.0,
Cash Dividends Paid,-376000000.0,-381000000.0,-375000000.0,-358000000.0,
Common Stock Dividend Paid,-376000000.0,-381000000.0,-375000000.0,-358000000.0,
Net Common Stock Issuance,-150000000.0,-1002000000.0,-1000000000.0,-60000000.0,
Common Stock Payments,-150000000.0,-1002000000.0,-1000000000.0,-60000000.0,
Net Issuance Payments Of Debt,-338000000.0,76000000.0,-350000000.0,-307000000.0,
Net Short Term Debt Issuance,-326000000.0,326000000.0,-50000000.0,-121000000.0,
Net Long Term Debt Issuance,-12000000.0,-250000000.0,-300000000.0,-186000000.0,
Long Term Debt Payments,-808000000.0,-750000000.0,-300000000.0,-435000000.0,
Long Term Debt Issuance,796000000.0,500000000.0,0.0,249000000.0,
Investing Cash Flow,-432000000.0,392000000.0,-29000000.0,-394000000.0,
Cash Flow From Continuing Investing Activities,-432000000.0,392000000.0,-29000000.0,-394000000.0,
Net Other Investing Changes,22000000.0,19000000.0,-4000000.0,3000000.0,
Net Business Purchase And Sale,379000000.0,997000000.0,553000000.0,-1000000.0,
Sale Of Business,456000000.0,998000000.0,667000000.0,0.0,
Purchase Of Business,-77000000.0,-1000000.0,-114000000.0,-1000000.0,
Net Intangibles Purchase And Sale,,-13000000.0,-23000000.0,-13000000.0,-6000000.0
Purchase Of Intangibles,,-13000000.0,-23000000.0,-13000000.0,-6000000.0
Net PPE Purchase And Sale,-828000000.0,-611000000.0,-555000000.0,-383000000.0,
Purchase Of PPE,-828000000.0,-611000000.0,-555000000.0,-383000000.0,
Capital Expenditure Reported,-5000000.0,-13000000.0,-23000000.0,-13000000.0,
Operating Cash Flow,1374000000.0,975000000.0,1619000000.0,1455000000.0,
Cash Flow From Continuing Operating Activities,1374000000.0,975000000.0,1619000000.0,1455000000.0,
Change In Working Capital,291000000.0,13000000.0,-27000000.0,165000000.0,
Change In Other Working Capital,154000000.0,290000000.0,89000000.0,5000000.0,
Change In Payables And Accrued Expense,-190000000.0,60000000.0,554000000.0,-100000000.0,
Change In Payable,-190000000.0,60000000.0,554000000.0,-100000000.0,
Change In Account Payable,-190000000.0,60000000.0,554000000.0,-100000000.0,
Change In Inventory,201000000.0,-430000000.0,-389000000.0,291000000.0,
Change In Receivables,126000000.0,93000000.0,-281000000.0,-31000000.0,
Changes In Account Receivables,126000000.0,93000000.0,-281000000.0,-31000000.0,
Other Non Cash Items,76000000.0,-252000000.0,-23000000.0,-49000000.0,
Asset Impairment Charge,0.0,0.0,16000000.0,146000000.0,
Deferred Tax,-102000000.0,-136000000.0,-38000000.0,-111000000.0,
Deferred Income Tax,-102000000.0,-136000000.0,-38000000.0,-111000000.0,
Depreciation Amortization Depletion,498000000.0,477000000.0,538000000.0,574000000.0,
Depreciation And Amortization,498000000.0,477000000.0,538000000.0,574000000.0,
Operating Gains Losses,-285000000.0,77000000.0,286000000.0,241000000.0,
Pension And Employee Benefit Expense,53000000.0,19000000.0,-267000000.0,240000000.0,
Gain Loss On Sale Of Business,-323000000.0,43000000.0,552000000.0,0.0,
Net Income From Continuing Operations,896000000.0,796000000.0,867000000.0,489000000.0,
