,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,435577000.0,685178000.0,-204306000.0,27322000.0,
Repayment Of Debt,-155045000.0,-722143000.0,-2873199000.0,-5308515000.0,
Issuance Of Debt,902092000.0,1870538000.0,3878662000.0,5182417000.0,
Issuance Of Capital Stock,733651000.0,796018000.0,497870000.0,1981375000.0,
Capital Expenditure,-2781018000.0,-2278004000.0,-2751512000.0,-2282504000.0,
Interest Paid Supplemental Data,471456000.0,430217000.0,426439000.0,498408000.0,
Income Tax Paid Supplemental Data,152988000.0,140312000.0,134411000.0,143934000.0,
End Cash Position,2096309000.0,1908248000.0,1549454000.0,1625695000.0,
Beginning Cash Position,1908248000.0,1549454000.0,1625695000.0,1886613000.0,
Effect Of Exchange Rate Changes,-15616000.0,-98201000.0,-30474000.0,40702000.0,
Changes In Cash,203677000.0,456995000.0,-45767000.0,-301620000.0,
Financing Cash Flow,211446000.0,856766000.0,413765000.0,815526000.0,
Cash Flow From Continuing Financing Activities,211446000.0,856766000.0,413765000.0,815526000.0,
Net Other Financing Charges,18068000.0,-17731000.0,-124287000.0,-153936000.0,
Proceeds From Stock Option Exercised,86848000.0,81543000.0,77628000.0,62118000.0,
Cash Dividends Paid,-1374168000.0,-1151459000.0,-1042909000.0,-947933000.0,
Common Stock Dividend Paid,-1374168000.0,-1151459000.0,-1042909000.0,-947933000.0,
Net Common Stock Issuance,733651000.0,796018000.0,497870000.0,1981375000.0,
Common Stock Issuance,733651000.0,796018000.0,497870000.0,1981375000.0,
Net Issuance Payments Of Debt,747047000.0,1148395000.0,1005463000.0,-126098000.0,
Net Long Term Debt Issuance,747047000.0,1148395000.0,1005463000.0,-126098000.0,
Long Term Debt Payments,-155045000.0,-722143000.0,-2873199000.0,-5308515000.0,
Long Term Debt Issuance,902092000.0,1870538000.0,3878662000.0,5182417000.0,
Investing Cash Flow,-3224364000.0,-3362953000.0,-3006738000.0,-3426972000.0,
Cash Flow From Continuing Investing Activities,-3224364000.0,-3362953000.0,-3006738000.0,-3426972000.0,
Net Other Investing Changes,76936000.0,249906000.0,208585000.0,334397000.0,
Net Investment Purchase And Sale,-135881000.0,-122569000.0,-103476000.0,-98411000.0,
Sale Of Investment,0.0,22073000.0,4057000.0,29352000.0,
Purchase Of Investment,-135881000.0,-144642000.0,-107533000.0,-127763000.0,
Net Investment Properties Purchase And Sale,-384401000.0,-248276000.0,-201837000.0,-200182000.0,
Purchase Of Investment Properties,-384401000.0,-248276000.0,-201837000.0,-200182000.0,
Net Business Purchase And Sale,0.0,-964010000.0,-158498000.0,-1180272000.0,
Purchase Of Business,0.0,-964010000.0,-158498000.0,-1180272000.0,
Net PPE Purchase And Sale,-2781018000.0,-2278004000.0,-2751512000.0,-2282504000.0,
Purchase Of PPE,-2781018000.0,-2278004000.0,-2751512000.0,-2282504000.0,
Operating Cash Flow,3216595000.0,2963182000.0,2547206000.0,2309826000.0,
Cash Flow From Continuing Operating Activities,3216595000.0,2963182000.0,2547206000.0,2309826000.0,
Change In Working Capital,-75323000.0,26475000.0,-132734000.0,32171000.0,
Change In Other Working Capital,4107000.0,-7827000.0,-16602000.0,-22641000.0,
Change In Other Current Liabilities,-83222000.0,-23701000.0,-205177000.0,-20234000.0,
Change In Other Current Assets,-7163000.0,96818000.0,26322000.0,23833000.0,
Change In Payables And Accrued Expense,161300000.0,114600000.0,64596000.0,25801000.0,
Change In Payable,,,,,-27928000.0
Change In Account Payable,,,,,-27928000.0
Change In Tax Payable,,,,,32495000.0
Change In Income Tax Payable,,,,,32495000.0
Change In Receivables,-150345000.0,-153415000.0,-1873000.0,25412000.0,
Changes In Account Receivables,-150345000.0,-153415000.0,-1873000.0,25412000.0,
Other Non Cash Items,60440000.0,80864000.0,45852000.0,32382000.0,
Stock Based Compensation,407536000.0,403983000.0,363774000.0,294952000.0,
Provisionand Write Offof Assets,14835000.0,7426000.0,10016000.0,5069000.0,
Asset Impairment Charge,,0.0,0.0,7306000.0,15790000.0
Depreciation Amortization Depletion,1845138000.0,1736208000.0,1656290000.0,1423369000.0,
Depreciation And Amortization,1845138000.0,1736208000.0,1656290000.0,1423369000.0,
Amortization Cash Flow,209063000.0,204755000.0,205484000.0,199047000.0,
Amortization Of Intangibles,209063000.0,204755000.0,205484000.0,199047000.0,
Depreciation,1636075000.0,1531453000.0,1450806000.0,1224322000.0,
Operating Gains Losses,-5011000.0,3649000.0,104280000.0,144503000.0,
Net Income From Continuing Operations,968980000.0,704577000.0,499728000.0,370074000.0,
