,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1432872000.0,1394265000.0,1399436000.0,1434678000.0,
Repurchase Of Capital Stock,-511100000.0,-454638000.0,-541435000.0,-443866000.0,
Repayment Of Debt,-165612000.0,-150000000.0,-300000000.0,-386875000.0,
Issuance Of Debt,170000000.0,250492000.0,325000000.0,700000000.0,
Issuance Of Capital Stock,114080000.0,106592000.0,69826000.0,48093000.0,
Capital Expenditure,-49553000.0,-27929000.0,-38244000.0,-41756000.0,
Interest Paid Supplemental Data,99545000.0,88814000.0,83072000.0,,
Income Tax Paid Supplemental Data,121034000.0,114888000.0,96218000.0,,
End Cash Position,103156000.0,92559000.0,92163000.0,94847000.0,
Beginning Cash Position,92559000.0,92163000.0,94847000.0,75933000.0,
Effect Of Exchange Rate Changes,-4192000.0,13670000.0,-3391000.0,-1733000.0,
Changes In Cash,14789000.0,-13274000.0,707000.0,20647000.0,
Financing Cash Flow,-541487000.0,-492453000.0,-523603000.0,-274057000.0,
Cash Flow From Continuing Financing Activities,-541487000.0,-492453000.0,-523603000.0,-274057000.0,
Net Other Financing Charges,-97700000.0,-118063000.0,-71925000.0,-78772000.0,
Cash Dividends Paid,-84116000.0,-80547000.0,-80043000.0,-78192000.0,
Common Stock Dividend Paid,-84116000.0,-80547000.0,-80043000.0,-78192000.0,
Net Common Stock Issuance,-397020000.0,-348046000.0,-471609000.0,-395773000.0,
Common Stock Payments,-511100000.0,-454638000.0,-541435000.0,-443866000.0,
Common Stock Issuance,114080000.0,106592000.0,69826000.0,48093000.0,
Net Issuance Payments Of Debt,37349000.0,54203000.0,99974000.0,278680000.0,
Net Short Term Debt Issuance,32961000.0,-46289000.0,74974000.0,-34445000.0,
Net Long Term Debt Issuance,4388000.0,100492000.0,25000000.0,313125000.0,
Long Term Debt Payments,-165612000.0,-150000000.0,-300000000.0,-386875000.0,
Long Term Debt Issuance,170000000.0,250492000.0,325000000.0,700000000.0,
Investing Cash Flow,-926149000.0,-943015000.0,-913370000.0,-1181730000.0,
Cash Flow From Continuing Investing Activities,-926149000.0,-943015000.0,-913370000.0,-1181730000.0,
Net Other Investing Changes,,,-56700000.0,-7051000.0,32000.0
Net Investment Purchase And Sale,-719623000.0,-845449000.0,-834173000.0,-1124036000.0,
Sale Of Investment,1036851000.0,902675000.0,471207000.0,511992000.0,
Purchase Of Investment,-1756474000.0,-1748124000.0,-1305380000.0,-1636028000.0,
Net PPE Purchase And Sale,-49553000.0,-27929000.0,-38244000.0,-41756000.0,
Purchase Of PPE,-49553000.0,-27929000.0,-38244000.0,-41756000.0,
Operating Cash Flow,1482425000.0,1422194000.0,1437680000.0,1476434000.0,
Cash From Discontinued Operating Activities,,,0.0,0.0,17299000.0
Cash Flow From Continuing Operating Activities,1482425000.0,1422194000.0,1437680000.0,1476434000.0,
Change In Working Capital,941262000.0,886899000.0,825420000.0,920903000.0,
Change In Payables And Accrued Expense,101448000.0,91835000.0,147990000.0,88157000.0,
Change In Payable,101448000.0,91835000.0,147990000.0,88157000.0,
Change In Tax Payable,101448000.0,91835000.0,147990000.0,88157000.0,
Change In Income Tax Payable,101448000.0,91835000.0,147990000.0,88157000.0,
Other Non Cash Items,-24799000.0,44480000.0,105337000.0,66602000.0,
Amortization Of Securities,-470469000.0,-480119000.0,-464872000.0,-247215000.0,
Operating Gains Losses,65676000.0,76548000.0,-59319000.0,4371000.0,
Gain Loss On Investment Securities,65676000.0,76548000.0,-59319000.0,4371000.0,
Net Income From Continuing Operations,970755000.0,894386000.0,1031114000.0,731773000.0,
