,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,749600000.0,958400000.0,1749900000.0,1143300000.0,
Repurchase Of Capital Stock,-416300000.0,-2607400000.0,0.0,-134300000.0,
Capital Expenditure,-1064200000.0,-532400000.0,-339500000.0,-341500000.0,
End Cash Position,2770100000.0,1600700000.0,1306000000.0,1638500000.0,
Beginning Cash Position,1600700000.0,1306000000.0,1638500000.0,1182600000.0,
Effect Of Exchange Rate Changes,3300000.0,5400000.0,-3400000.0,-2600000.0,
Changes In Cash,1166100000.0,289300000.0,-329100000.0,458500000.0,
Financing Cash Flow,-287600000.0,-2572300000.0,43000000.0,-85700000.0,
Cash Flow From Continuing Financing Activities,-287600000.0,-2572300000.0,43000000.0,-85700000.0,
Net Other Financing Charges,-167600000.0,-198700000.0,-233500000.0,-260200000.0,
Proceeds From Stock Option Exercised,296300000.0,233800000.0,276500000.0,308800000.0,
Net Common Stock Issuance,-416300000.0,-2607400000.0,0.0,-134300000.0,
Common Stock Payments,-416300000.0,-2607400000.0,0.0,-134300000.0,
Investing Cash Flow,-360100000.0,1370800000.0,-2461500000.0,-940600000.0,
Cash Flow From Continuing Investing Activities,-360100000.0,1370800000.0,-2461500000.0,-940600000.0,
Net Investment Purchase And Sale,713000000.0,1916000000.0,-2099300000.0,-561400000.0,
Sale Of Investment,2920400000.0,3315500000.0,4352700000.0,3731500000.0,
Purchase Of Investment,-2207400000.0,-1399500000.0,-6452000000.0,-4292900000.0,
Net Business Purchase And Sale,-8900000.0,-12800000.0,-22700000.0,-37700000.0,
Purchase Of Business,-8900000.0,-12800000.0,-22700000.0,-37700000.0,
Net PPE Purchase And Sale,-1064200000.0,-532400000.0,-339500000.0,-341500000.0,
Purchase Of PPE,-1064200000.0,-532400000.0,-339500000.0,-341500000.0,
Capital Expenditure Reported,,,,-341500000.0,-425600000.0
Operating Cash Flow,1813800000.0,1490800000.0,2089400000.0,1484800000.0,
Cash Flow From Continuing Operating Activities,1813800000.0,1490800000.0,2089400000.0,1484800000.0,
Change In Working Capital,-777600000.0,-619100000.0,-368100000.0,-273200000.0,
Change In Other Working Capital,88200000.0,73000000.0,147700000.0,-1600000.0,
Change In Other Current Liabilities,-32900000.0,121700000.0,51400000.0,36900000.0,
Change In Payables And Accrued Expense,41700000.0,21300000.0,36000000.0,-32300000.0,
Change In Payable,41700000.0,21300000.0,36000000.0,-32300000.0,
Change In Account Payable,41700000.0,21300000.0,36000000.0,-32300000.0,
Change In Prepaid Assets,24200000.0,-129200000.0,-204900000.0,-111800000.0,
Change In Inventory,-712500000.0,-546600000.0,-256000000.0,-170100000.0,
Change In Receivables,-186300000.0,-159300000.0,-142300000.0,5700000.0,
Changes In Account Receivables,-186300000.0,-159300000.0,-142300000.0,5700000.0,
Other Non Cash Items,33000000.0,26600000.0,22000000.0,17100000.0,
Stock Based Compensation,592800000.0,513200000.0,449200000.0,395400000.0,
Deferred Tax,-280800000.0,-185300000.0,-62600000.0,57600000.0,
Deferred Income Tax,-280800000.0,-185300000.0,-62600000.0,57600000.0,
Depreciation Amortization Depletion,421800000.0,365800000.0,310200000.0,276200000.0,
Depreciation And Amortization,421800000.0,365800000.0,310200000.0,276200000.0,
Amortization Cash Flow,20200000.0,27800000.0,27400000.0,49800000.0,
Amortization Of Intangibles,20200000.0,27800000.0,27400000.0,49800000.0,
Depreciation,401600000.0,338000000.0,282800000.0,226400000.0,
Operating Gains Losses,7300000.0,45200000.0,10600000.0,-55100000.0,
Gain Loss On Investment Securities,7300000.0,49000000.0,10600000.0,-55100000.0,
Gain Loss On Sale Of Business,0.0,-3800000.0,0.0,,
Net Income From Continuing Operations,1817300000.0,1344400000.0,1728100000.0,1066800000.0,
