,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1578000000.0,682000000.0,2042000000.0,1824000000.0,
Repurchase Of Capital Stock,0.0,-400000000.0,-128000000.0,-606000000.0,
Repayment Of Debt,0.0,0.0,-723000000.0,-950000000.0,
Issuance Of Debt,0.0,0.0,740000000.0,1809000000.0,
Capital Expenditure,-84000000.0,-91000000.0,-77000000.0,-74000000.0,
Interest Paid Supplemental Data,108000000.0,108000000.0,127000000.0,112000000.0,
Income Tax Paid Supplemental Data,405000000.0,340000000.0,235000000.0,321000000.0,
End Cash Position,4908000000.0,4048000000.0,4506000000.0,4223000000.0,
Beginning Cash Position,4048000000.0,4506000000.0,4223000000.0,2508000000.0,
Changes In Cash,860000000.0,-458000000.0,283000000.0,1715000000.0,
Financing Cash Flow,-58000000.0,-441000000.0,-183000000.0,217000000.0,
Cash Flow From Continuing Financing Activities,-58000000.0,-441000000.0,-183000000.0,217000000.0,
Net Other Financing Charges,-58000000.0,-41000000.0,-72000000.0,-6000000.0,
Proceeds From Stock Option Exercised,,0.0,0.0,-30000000.0,-514000000.0
Net Common Stock Issuance,0.0,-400000000.0,-128000000.0,-606000000.0,
Common Stock Payments,0.0,-400000000.0,-128000000.0,-606000000.0,
Net Issuance Payments Of Debt,0.0,0.0,17000000.0,859000000.0,
Net Short Term Debt Issuance,,,,-220000000.0,220000000.0
Short Term Debt Payments,,,,-600000000.0,0.0
Short Term Debt Issuance,,,,380000000.0,220000000.0
Net Long Term Debt Issuance,0.0,0.0,17000000.0,859000000.0,
Long Term Debt Payments,0.0,0.0,-723000000.0,-950000000.0,
Long Term Debt Issuance,0.0,0.0,740000000.0,1809000000.0,
Investing Cash Flow,-744000000.0,-790000000.0,-1653000000.0,-400000000.0,
Cash Flow From Continuing Investing Activities,-744000000.0,-790000000.0,-1653000000.0,-400000000.0,
Net Other Investing Changes,4000000.0,-50000000.0,-63000000.0,2000000.0,
Net Investment Purchase And Sale,-661000000.0,-515000000.0,-1384000000.0,427000000.0,
Sale Of Investment,772000000.0,1398000000.0,1329000000.0,1097000000.0,
Purchase Of Investment,-1433000000.0,-1913000000.0,-2713000000.0,-670000000.0,
Net Business Purchase And Sale,-3000000.0,-134000000.0,-129000000.0,-755000000.0,
Sale Of Business,,,,0.0,0.0
Purchase Of Business,-3000000.0,-134000000.0,-129000000.0,-755000000.0,
Net PPE Purchase And Sale,-84000000.0,-91000000.0,-77000000.0,-74000000.0,
Purchase Of PPE,-84000000.0,-91000000.0,-77000000.0,-74000000.0,
Operating Cash Flow,1662000000.0,773000000.0,2119000000.0,1898000000.0,
Cash Flow From Continuing Operating Activities,1662000000.0,773000000.0,2119000000.0,1898000000.0,
Change In Working Capital,314000000.0,-448000000.0,1223000000.0,1072000000.0,
Change In Other Working Capital,57000000.0,-9000000.0,2000000.0,112000000.0,
Change In Payables And Accrued Expense,1104000000.0,-220000000.0,1655000000.0,1076000000.0,
Change In Payable,1104000000.0,-220000000.0,1655000000.0,1076000000.0,
Change In Account Payable,328000000.0,55000000.0,138000000.0,86000000.0,
Change In Prepaid Assets,-69000000.0,-124000000.0,-19000000.0,-16000000.0,
Change In Receivables,-778000000.0,-95000000.0,-415000000.0,-100000000.0,
Other Non Cash Items,2000000.0,8000000.0,33000000.0,12000000.0,
Stock Based Compensation,115000000.0,103000000.0,72000000.0,57000000.0,
Asset Impairment Charge,0.0,208000000.0,0.0,,0.0
Deferred Tax,-31000000.0,-66000000.0,-24000000.0,-19000000.0,
Deferred Income Tax,-31000000.0,-66000000.0,-24000000.0,-19000000.0,
Depreciation Amortization Depletion,171000000.0,176000000.0,131000000.0,88000000.0,
Depreciation And Amortization,171000000.0,176000000.0,131000000.0,88000000.0,
Amortization Cash Flow,161000000.0,159000000.0,115000000.0,,
Amortization Of Intangibles,161000000.0,159000000.0,115000000.0,,
Depreciation,10000000.0,17000000.0,16000000.0,,
Operating Gains Losses,,,25000000.0,15000000.0,-15000000.0
Gain Loss On Sale Of Business,,,,0.0,0.0
Net Income From Continuing Operations,1091000000.0,792000000.0,659000000.0,673000000.0,
