,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1145178000.0,1022474000.0,883275000.0,760134000.0,
Repurchase Of Capital Stock,-504188000.0,-1397506000.0,-198374000.0,-778519000.0,
Repayment Of Debt,-8750000.0,-7188000.0,-1051810000.0,-1142382000.0,
Issuance Of Debt,0.0,355000000.0,1803750000.0,1405000000.0,
Capital Expenditure,-90851000.0,-72895000.0,-52794000.0,-50975000.0,
Interest Paid Supplemental Data,182313000.0,165116000.0,151335000.0,163391000.0,
Income Tax Paid Supplemental Data,240479000.0,180686000.0,222620000.0,113646000.0,
End Cash Position,461693000.0,993564000.0,1421449000.0,1300521000.0,
Beginning Cash Position,993564000.0,1421449000.0,1300521000.0,1506567000.0,
Effect Of Exchange Rate Changes,5409000.0,-18539000.0,-8933000.0,3674000.0,
Changes In Cash,-537280000.0,-409346000.0,129861000.0,-209720000.0,
Financing Cash Flow,-953931000.0,-1425380000.0,229505000.0,-779038000.0,
Cash Flow From Continuing Financing Activities,-953931000.0,-1425380000.0,229505000.0,-779038000.0,
Net Other Financing Charges,,-2771000.0,-21612000.0,-16693000.0,-11781000.0
Proceeds From Stock Option Exercised,,,0.0,0.0,3236000.0
Cash Dividends Paid,-440993000.0,-372915000.0,-302449000.0,-246444000.0,
Common Stock Dividend Paid,-440993000.0,-372915000.0,-302449000.0,-246444000.0,
Net Common Stock Issuance,-504188000.0,-1397506000.0,-198374000.0,-778519000.0,
Common Stock Payments,-504188000.0,-1397506000.0,-198374000.0,-778519000.0,
Net Issuance Payments Of Debt,-8750000.0,347812000.0,751940000.0,262618000.0,
Net Long Term Debt Issuance,-8750000.0,347812000.0,751940000.0,262618000.0,
Long Term Debt Payments,-8750000.0,-7188000.0,-1051810000.0,-1142382000.0,
Long Term Debt Issuance,0.0,355000000.0,1803750000.0,1405000000.0,
Investing Cash Flow,-819378000.0,-79335000.0,-1035713000.0,-241791000.0,
Cash Flow From Continuing Investing Activities,-819378000.0,-79335000.0,-1035713000.0,-241791000.0,
Net Other Investing Changes,-1185000.0,-6435000.0,-7569000.0,,10000.0
Net Business Purchase And Sale,-727342000.0,-5000.0,-975350000.0,-190816000.0,
Sale Of Business,,,,0.0,0.0
Purchase Of Business,-727342000.0,-5000.0,-975350000.0,-190816000.0,
Net PPE Purchase And Sale,,,,0.0,10000.0
Sale Of PPE,,,,0.0,10000.0
Capital Expenditure Reported,-90851000.0,-72895000.0,-52794000.0,-50975000.0,
Operating Cash Flow,1236029000.0,1095369000.0,936069000.0,811109000.0,
Cash Flow From Continuing Operating Activities,1236029000.0,1095369000.0,936069000.0,811109000.0,
Change In Working Capital,2457000.0,-19428000.0,60148000.0,51924000.0,
Change In Other Working Capital,175624000.0,72311000.0,119136000.0,101994000.0,
Change In Other Current Liabilities,-30600000.0,-21361000.0,-542000.0,-15961000.0,
Change In Other Current Assets,-8102000.0,31448000.0,-35445000.0,-3792000.0,
Change In Payables And Accrued Expense,35431000.0,-59737000.0,65178000.0,16091000.0,
Change In Accrued Expense,26754000.0,-11778000.0,33470000.0,-967000.0,
Change In Payable,8677000.0,-47959000.0,31708000.0,17058000.0,
Change In Account Payable,-6044000.0,1337000.0,-2195000.0,7482000.0,
Change In Tax Payable,14721000.0,-49296000.0,33903000.0,9576000.0,
Change In Income Tax Payable,14721000.0,-49296000.0,33903000.0,9576000.0,
Change In Prepaid Assets,-20367000.0,-35465000.0,11024000.0,11198000.0,
Change In Receivables,-149529000.0,-6624000.0,-99203000.0,-57606000.0,
Changes In Account Receivables,-149529000.0,-6624000.0,-99203000.0,-57606000.0,
Other Non Cash Items,11918000.0,6493000.0,4777000.0,6189000.0,
Stock Based Compensation,71653000.0,58094000.0,54917000.0,51094000.0,
Asset Impairment Charge,477000.0,705000.0,8385000.0,0.0,
Deferred Tax,-15258000.0,36436000.0,-111369000.0,-55645000.0,
Deferred Income Tax,-15258000.0,36436000.0,-111369000.0,-55645000.0,
Depreciation Amortization Depletion,159219000.0,142496000.0,134125000.0,110795000.0,
Depreciation And Amortization,159219000.0,142496000.0,134125000.0,110795000.0,
Amortization Cash Flow,114429000.0,91079000.0,80592000.0,56941000.0,
Amortization Of Intangibles,114429000.0,91079000.0,80592000.0,56941000.0,
Depreciation,44790000.0,51417000.0,53533000.0,53854000.0,
Operating Gains Losses,-143029000.0,,59103000.0,44930000.0,16794000.0
Earnings Losses From Equity Investments,-143029000.0,0.0,0.0,,
Gain Loss On Sale Of Business,,,,0.0,0.0
Net Income From Continuing Operations,1148592000.0,870573000.0,725983000.0,601822000.0,
