,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1791000000.0,1567000000.0,1594000000.0,1396000000.0,
Repurchase Of Capital Stock,-804000000.0,-836000000.0,-528000000.0,-612000000.0,
Repayment Of Debt,-1000000.0,-285000000.0,-353000000.0,-1714000000.0,
Issuance Of Debt,0.0,595000000.0,844000000.0,1692000000.0,
Issuance Of Capital Stock,104000000.0,156000000.0,102000000.0,108000000.0,
Capital Expenditure,-253000000.0,-256000000.0,-243000000.0,-217000000.0,
Interest Paid Supplemental Data,234000000.0,226000000.0,207000000.0,217000000.0,
Income Tax Paid Supplemental Data,587000000.0,307000000.0,257000000.0,181000000.0,
End Cash Position,1705000000.0,1325000000.0,1874000000.0,1254000000.0,
Beginning Cash Position,1325000000.0,1874000000.0,1254000000.0,1001000000.0,
Effect Of Exchange Rate Changes,45000000.0,-79000000.0,-46000000.0,43000000.0,
Changes In Cash,335000000.0,-470000000.0,666000000.0,210000000.0,
Financing Cash Flow,-1295000000.0,-906000000.0,-429000000.0,-966000000.0,
Cash Flow From Continuing Financing Activities,-1295000000.0,-906000000.0,-429000000.0,-966000000.0,
Net Other Financing Charges,-5000000.0,-6000000.0,-12000000.0,-4000000.0,
Cash Dividends Paid,-589000000.0,-530000000.0,-482000000.0,-436000000.0,
Common Stock Dividend Paid,-589000000.0,-530000000.0,-482000000.0,-436000000.0,
Net Common Stock Issuance,-700000000.0,-680000000.0,-426000000.0,-504000000.0,
Common Stock Payments,-804000000.0,-836000000.0,-528000000.0,-612000000.0,
Common Stock Issuance,104000000.0,156000000.0,102000000.0,108000000.0,
Net Issuance Payments Of Debt,-1000000.0,310000000.0,491000000.0,-22000000.0,
Net Short Term Debt Issuance,,0.0,0.0,0.0,0.0
Short Term Debt Payments,,0.0,0.0,-800000000.0,0.0
Short Term Debt Issuance,,0.0,0.0,800000000.0,0.0
Net Long Term Debt Issuance,-1000000.0,310000000.0,491000000.0,-22000000.0,
Long Term Debt Payments,-1000000.0,-285000000.0,-353000000.0,-914000000.0,
Long Term Debt Issuance,0.0,595000000.0,844000000.0,892000000.0,
Investing Cash Flow,-414000000.0,-1387000000.0,-742000000.0,-437000000.0,
Cash Flow From Continuing Investing Activities,-414000000.0,-1387000000.0,-742000000.0,-437000000.0,
Net Investment Purchase And Sale,19000000.0,46000000.0,16000000.0,11000000.0,
Sale Of Investment,19000000.0,46000000.0,16000000.0,11000000.0,
Net Business Purchase And Sale,-180000000.0,-1177000000.0,-521000000.0,-287000000.0,
Purchase Of Business,-180000000.0,-1177000000.0,-521000000.0,-287000000.0,
Net PPE Purchase And Sale,0.0,0.0,6000000.0,56000000.0,
Sale Of PPE,0.0,0.0,6000000.0,56000000.0,
Capital Expenditure Reported,-253000000.0,-256000000.0,-243000000.0,-217000000.0,
Operating Cash Flow,2044000000.0,1823000000.0,1837000000.0,1613000000.0,
Cash Flow From Continuing Operating Activities,2044000000.0,1823000000.0,1837000000.0,1613000000.0,
Change In Working Capital,-276000000.0,-329000000.0,0.0,102000000.0,
Change In Other Working Capital,-70000000.0,-425000000.0,-92000000.0,-25000000.0,
Change In Other Current Assets,-82000000.0,-1000000.0,-205000000.0,167000000.0,
Change In Payables And Accrued Expense,-144000000.0,451000000.0,578000000.0,-116000000.0,
Change In Payable,-144000000.0,451000000.0,578000000.0,-116000000.0,
Change In Account Payable,-144000000.0,451000000.0,578000000.0,-116000000.0,
Change In Inventory,200000000.0,-242000000.0,-284000000.0,-14000000.0,
Change In Receivables,-180000000.0,-112000000.0,3000000.0,90000000.0,
Changes In Account Receivables,-180000000.0,-112000000.0,3000000.0,90000000.0,
Other Non Cash Items,38000000.0,23000000.0,3000000.0,-13000000.0,
Stock Based Compensation,212000000.0,172000000.0,129000000.0,129000000.0,
Asset Impairment Charge,0.0,147000000.0,0.0,,
Deferred Tax,,,34000000.0,-25000000.0,-84000000.0
Deferred Income Tax,,,34000000.0,-25000000.0,-84000000.0
Depreciation Amortization Depletion,356000000.0,440000000.0,438000000.0,409000000.0,
Depreciation And Amortization,356000000.0,440000000.0,438000000.0,409000000.0,
Operating Gains Losses,,3000000.0,17000000.0,58000000.0,400000000.0
Pension And Employee Benefit Expense,,,0.0,0.0,359000000.0
Gain Loss On Investment Securities,,-3000000.0,-1000000.0,2000000.0,-5000000.0
Net Income From Continuing Operations,1714000000.0,1367000000.0,1250000000.0,953000000.0,
