,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,3649000000.0,4360000000.0,2566000000.0,616898000.0,
Repurchase Of Capital Stock,-594000000.0,-1800000000.0,0.0,-373750000.0,
Repayment Of Debt,-824000000.0,-907000000.0,-853000000.0,-2665023000.0,
Issuance Of Debt,5035000000.0,999000000.0,10000000.0,0.0,
Issuance Of Capital Stock,0.0,0.0,495000000.0,0.0,
Capital Expenditure,-256000000.0,-214000000.0,-149000000.0,-172289000.0,
Interest Paid Supplemental Data,2691000000.0,429000000.0,139000000.0,372291000.0,
Income Tax Paid Supplemental Data,452000000.0,488000000.0,314000000.0,275558000.0,
End Cash Position,1731000000.0,1520000000.0,1338000000.0,1552743000.0,
Beginning Cash Position,1520000000.0,1338000000.0,1553000000.0,1436305000.0,
Changes In Cash,211000000.0,182000000.0,-215000000.0,116438000.0,
Financing Cash Flow,4180000000.0,-20984000000.0,10701000000.0,21347732000.0,
Cash Flow From Continuing Financing Activities,4180000000.0,-20984000000.0,10701000000.0,21347732000.0,
Net Other Financing Charges,18000000.0,-14000000.0,-28000000.0,-11413000.0,
Cash Dividends Paid,-968000000.0,-881000000.0,-648000000.0,-636368000.0,
Preferred Stock Dividend Paid,-100000000.0,-97000000.0,-68000000.0,-68256000.0,
Common Stock Dividend Paid,-868000000.0,-784000000.0,-580000000.0,-568112000.0,
Net Preferred Stock Issuance,0.0,0.0,495000000.0,0.0,
Preferred Stock Payments,,,,0.0,-381500000.0
Preferred Stock Issuance,0.0,0.0,495000000.0,0.0,
Net Common Stock Issuance,-594000000.0,-1800000000.0,0.0,-373750000.0,
Common Stock Payments,-594000000.0,-1800000000.0,0.0,-373750000.0,
Net Issuance Payments Of Debt,5972000000.0,2705000000.0,-856000000.0,-2667904000.0,
Net Short Term Debt Issuance,1761000000.0,2613000000.0,-13000000.0,-2881000.0,
Net Long Term Debt Issuance,4211000000.0,92000000.0,-843000000.0,-2665023000.0,
Long Term Debt Payments,-824000000.0,-907000000.0,-853000000.0,-2665023000.0,
Long Term Debt Issuance,5035000000.0,999000000.0,10000000.0,0.0,
Investing Cash Flow,-7874000000.0,16592000000.0,-13631000000.0,-22020481000.0,
Cash Flow From Continuing Investing Activities,-7874000000.0,16592000000.0,-13631000000.0,-22020481000.0,
Net Other Investing Changes,-440000000.0,-620000000.0,-511000000.0,67411000.0,
Net Investment Purchase And Sale,-1572000000.0,-7015000000.0,-243000000.0,2544570000.0,
Sale Of Investment,2927000000.0,2553000000.0,2067000000.0,2593148000.0,
Purchase Of Investment,-4499000000.0,-9568000000.0,-2310000000.0,-48578000.0,
Net Business Purchase And Sale,0.0,394000000.0,0.0,0.0,
Sale Of Business,0.0,394000000.0,0.0,0.0,
Capital Expenditure Reported,-256000000.0,-214000000.0,-149000000.0,-172289000.0,
Operating Cash Flow,3905000000.0,4574000000.0,2715000000.0,789187000.0,
Cash Flow From Continuing Operating Activities,3905000000.0,4574000000.0,2715000000.0,789187000.0,
Change In Working Capital,364000000.0,1805000000.0,522000000.0,-1654535000.0,
Change In Other Working Capital,556000000.0,1034000000.0,686000000.0,-1112457000.0,
Asset Impairment Charge,4000000.0,8000000.0,8000000.0,21014000.0,
Deferred Tax,-97000000.0,-30000000.0,87000000.0,-31291000.0,
Deferred Income Tax,-97000000.0,-30000000.0,87000000.0,-31291000.0,
Depreciation Amortization Depletion,497000000.0,435000000.0,324000000.0,320288000.0,
Depreciation And Amortization,497000000.0,435000000.0,324000000.0,320288000.0,
Amortization Cash Flow,193000000.0,153000000.0,100000000.0,99690000.0,
Amortization Of Intangibles,193000000.0,153000000.0,100000000.0,99690000.0,
Depreciation,304000000.0,282000000.0,224000000.0,220598000.0,
Operating Gains Losses,-249000000.0,-153000000.0,-10000000.0,-19441000.0,
Net Income From Continuing Operations,2741000000.0,1992000000.0,1859000000.0,1353152000.0,
