,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,828133000.0,441235000.0,275832000.0,375879000.0,
Repurchase Of Capital Stock,-306359000.0,-471229000.0,-138039000.0,-76199000.0,
Repayment Of Debt,-1894980000.0,-2007313000.0,-993133000.0,-1168564000.0,
Issuance Of Debt,1568616000.0,2195618000.0,1697687000.0,1067790000.0,
Issuance Of Capital Stock,,,,,18574000.0
Capital Expenditure,-60096000.0,-43619000.0,-37658000.0,-21702000.0,
End Cash Position,66540000.0,45591000.0,24321000.0,34128000.0,
Beginning Cash Position,45591000.0,24321000.0,34128000.0,28583000.0,
Effect Of Exchange Rate Changes,2449000.0,-1056000.0,186000.0,-1376000.0,
Changes In Cash,18500000.0,22326000.0,-9993000.0,6921000.0,
Financing Cash Flow,-798132000.0,-411658000.0,526131000.0,-244371000.0,
Cash Flow From Continuing Financing Activities,-798132000.0,-411658000.0,526131000.0,-244371000.0,
Net Other Financing Charges,-8403000.0,12956000.0,62000000.0,4707000.0,
Proceeds From Stock Option Exercised,10455000.0,8934000.0,17197000.0,19824000.0,
Cash Dividends Paid,-167461000.0,-150624000.0,-119581000.0,-91929000.0,
Common Stock Dividend Paid,-167461000.0,-150624000.0,-119581000.0,-91929000.0,
Net Common Stock Issuance,-306359000.0,-471229000.0,-138039000.0,-76199000.0,
Common Stock Payments,-306359000.0,-471229000.0,-138039000.0,-76199000.0,
Common Stock Issuance,,,,,18574000.0
Net Issuance Payments Of Debt,-326364000.0,188305000.0,704554000.0,-100774000.0,
Net Short Term Debt Issuance,-11840000.0,250770000.0,249902000.0,124000.0,
Short Term Debt Payments,-31838000.0,-27675000.0,-9377000.0,-13698000.0,
Short Term Debt Issuance,19998000.0,278445000.0,259279000.0,13822000.0,
Net Long Term Debt Issuance,-314524000.0,-62465000.0,454652000.0,-100898000.0,
Long Term Debt Payments,-1863142000.0,-1979638000.0,-983756000.0,-1154866000.0,
Long Term Debt Issuance,1548618000.0,1917173000.0,1438408000.0,1053968000.0,
Investing Cash Flow,-71597000.0,-50870000.0,-849614000.0,-146289000.0,
Cash Flow From Continuing Investing Activities,-71597000.0,-50870000.0,-849614000.0,-146289000.0,
Net Investment Purchase And Sale,32000.0,2013000.0,0.0,0.0,
Net Business Purchase And Sale,-11533000.0,-9264000.0,-811956000.0,-124587000.0,
Purchase Of Business,-11533000.0,-9264000.0,-811956000.0,-124587000.0,
Net PPE Purchase And Sale,-60096000.0,-43619000.0,-37658000.0,-21702000.0,
Purchase Of PPE,-60096000.0,-43619000.0,-37658000.0,-21702000.0,
Operating Cash Flow,888229000.0,484854000.0,313490000.0,397581000.0,
Cash Flow From Continuing Operating Activities,888229000.0,484854000.0,313490000.0,397581000.0,
Change In Working Capital,291349000.0,-342375000.0,-392343000.0,-21072000.0,
Change In Payables And Accrued Expense,-7839000.0,-45678000.0,264003000.0,73807000.0,
Change In Accrued Expense,-103967000.0,-53275000.0,149110000.0,83019000.0,
Change In Payable,96128000.0,7597000.0,114893000.0,-9212000.0,
Change In Account Payable,96128000.0,7597000.0,114893000.0,-9212000.0,
Change In Prepaid Assets,57840000.0,-52815000.0,-51199000.0,-13744000.0,
Change In Inventory,231240000.0,-263567000.0,-525207000.0,-42447000.0,
Change In Receivables,10108000.0,19685000.0,-79940000.0,-38688000.0,
Other Non Cash Items,200000.0,472000.0,473000.0,410000.0,
Stock Based Compensation,19582000.0,14879000.0,15187000.0,14516000.0,
Provisionand Write Offof Assets,4127000.0,9449000.0,4932000.0,1698000.0,
Asset Impairment Charge,550000.0,605000.0,0.0,6944000.0,
Deferred Tax,10359000.0,15169000.0,4650000.0,-2542000.0,
Deferred Income Tax,10359000.0,15169000.0,4650000.0,-2542000.0,
Depreciation Amortization Depletion,40140000.0,39025000.0,30026000.0,29398000.0,
Depreciation And Amortization,40140000.0,39025000.0,30026000.0,29398000.0,
Amortization Cash Flow,8555000.0,8644000.0,1739000.0,1431000.0,
Amortization Of Intangibles,8555000.0,8644000.0,1739000.0,1431000.0,
Depreciation,31585000.0,30381000.0,28287000.0,27967000.0,
Operating Gains Losses,-1307000.0,-832000.0,-59000.0,1491000.0,
Earnings Losses From Equity Investments,-177000.0,-353000.0,-291000.0,-295000.0,
Net Foreign Currency Exchange Gain Loss,-813000.0,48000.0,325000.0,1748000.0,
Gain Loss On Sale Of PPE,-317000.0,-527000.0,-93000.0,38000.0,
Net Income From Continuing Operations,523229000.0,748462000.0,650624000.0,366738000.0,
