,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,719591000.0,655815000.0,659388000.0,499118000.0,
Repurchase Of Capital Stock,-36864000.0,-81866000.0,-4083000.0,-5512000.0,
Repayment Of Debt,-477827000.0,-112964000.0,-318269000.0,-1208293000.0,
Issuance Of Debt,616500000.0,95000000.0,0.0,1208830000.0,
Issuance Of Capital Stock,103000.0,61348000.0,82606000.0,125877000.0,
Interest Paid Supplemental Data,,141359000.0,140084000.0,151338000.0,136139000.0
Income Tax Paid Supplemental Data,,570000.0,378000.0,1870000.0,1225000.0
End Cash Position,91354000.0,68776000.0,95027000.0,378450000.0,
Beginning Cash Position,68776000.0,95027000.0,378450000.0,115562000.0,
Changes In Cash,22578000.0,-26251000.0,-283423000.0,262888000.0,
Financing Cash Flow,-355035000.0,-475958000.0,-656459000.0,-210589000.0,
Cash Flow From Continuing Financing Activities,-355035000.0,-475958000.0,-656459000.0,-210589000.0,
Net Other Financing Charges,-469000.0,-9200000.0,-13628000.0,-30954000.0,
Proceeds From Stock Option Exercised,,,-4083000.0,-5512000.0,-6204000.0
Cash Dividends Paid,-456478000.0,-428276000.0,-403085000.0,-300537000.0,
Preferred Stock Dividend Paid,-3413000.0,0.0,0.0,,0.0
Common Stock Dividend Paid,-453065000.0,-428276000.0,-403085000.0,-300537000.0,
Net Preferred Stock Issuance,,,,,0.0
Preferred Stock Payments,,,,,0.0
Net Common Stock Issuance,-36761000.0,-20518000.0,78523000.0,120365000.0,
Common Stock Payments,-36864000.0,-81866000.0,-4083000.0,-5512000.0,
Common Stock Issuance,103000.0,61348000.0,82606000.0,125877000.0,
Net Issuance Payments Of Debt,138673000.0,-17964000.0,-318269000.0,537000.0,
Net Short Term Debt Issuance,152000000.0,0.0,-265000000.0,-220000000.0,
Short Term Debt Payments,-405000000.0,-95000000.0,-265000000.0,-830000000.0,
Short Term Debt Issuance,557000000.0,95000000.0,0.0,610000000.0,
Net Long Term Debt Issuance,-13327000.0,-17964000.0,-53269000.0,220537000.0,
Long Term Debt Payments,-72827000.0,-17964000.0,-53269000.0,-378293000.0,
Long Term Debt Issuance,59500000.0,0.0,0.0,598830000.0,
Investing Cash Flow,-341978000.0,-206108000.0,-286352000.0,-25641000.0,
Cash Flow From Continuing Investing Activities,-341978000.0,-206108000.0,-286352000.0,-25641000.0,
Net Other Investing Changes,11308000.0,50296000.0,99925000.0,6617000.0,
Dividends Received Cfi,1283000.0,1113000.0,813000.0,32478000.0,
Net Investment Purchase And Sale,8013000.0,673000.0,-125000.0,-5169000.0,
Sale Of Investment,16003000.0,21785000.0,23846000.0,19986000.0,
Purchase Of Investment,-7990000.0,-21112000.0,-23971000.0,-25155000.0,
Net Investment Properties Purchase And Sale,-267074000.0,-221924000.0,-363489000.0,-8127000.0,
Sale Of Investment Properties,11167000.0,143133000.0,206193000.0,189444000.0,
Purchase Of Investment Properties,-278241000.0,-365057000.0,-569682000.0,-197571000.0,
Net Business Purchase And Sale,-95508000.0,-36266000.0,-23476000.0,-51440000.0,
Purchase Of Business,-95508000.0,-36266000.0,-23476000.0,-51440000.0,
Operating Cash Flow,719591000.0,655815000.0,659388000.0,499118000.0,
Cash Flow From Continuing Operating Activities,719591000.0,655815000.0,659388000.0,499118000.0,
Dividend Received Cfo,66531000.0,61416000.0,71934000.0,47703000.0,
Change In Working Capital,-17196000.0,-46741000.0,-20683000.0,6118000.0,
Change In Other Working Capital,-11156000.0,-10801000.0,-6966000.0,-6973000.0,
Change In Other Current Liabilities,-316000.0,7130000.0,5701000.0,-3650000.0,
Change In Other Current Assets,3028000.0,1292000.0,-1226000.0,-1200000.0,
Change In Payables And Accrued Expense,5152000.0,-9088000.0,6677000.0,997000.0,
Change In Payable,5152000.0,-9088000.0,6677000.0,997000.0,
Change In Account Payable,5152000.0,-9088000.0,6677000.0,997000.0,
Change In Receivables,-13904000.0,-35274000.0,-24869000.0,16944000.0,
Other Non Cash Items,8252000.0,5799000.0,3531000.0,9023000.0,
Stock Based Compensation,20075000.0,16521000.0,12515000.0,13581000.0,
Asset Impairment Charge,0.0,0.0,84389000.0,150664000.0,
Deferred Tax,,,,,0.0
Deferred Income Tax,,,,,0.0
Depreciation Amortization Depletion,323152000.0,298702000.0,280395000.0,305360000.0,
Depreciation And Amortization,323152000.0,298702000.0,280395000.0,305360000.0,
Amortization Cash Flow,-29130000.0,-20995000.0,-22936000.0,-40540000.0,
Amortization Of Intangibles,-29130000.0,-20995000.0,-22936000.0,-40540000.0,
Depreciation,352282000.0,319697000.0,303331000.0,345900000.0,
Operating Gains Losses,-52090000.0,-167917000.0,-138981000.0,-80648000.0,
Pension And Employee Benefit Expense,4782000.0,-6128000.0,4572000.0,4668000.0,
Earnings Losses From Equity Investments,-50541000.0,-59824000.0,-47086000.0,-34169000.0,
Gain Loss On Investment Securities,-6232000.0,-101965000.0,-96467000.0,-72984000.0,
Net Income From Continuing Operations,370867000.0,488035000.0,366288000.0,47317000.0,
