,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,1620300000.0,914900000.0,1119900000.0,806000000.0
Repurchase Of Capital Stock,-211200000.0,-975300000.0,-250800000.0,-680600000.0
Repayment Of Debt,-900000000.0,-50000000.0,-250000000.0,0.0
Issuance Of Debt,0.0,0.0,2488200000.0,0.0
Capital Expenditure,-236100000.0,-509700000.0,-652100000.0,-398500000.0
Interest Paid Supplemental Data,62300000.0,44400000.0,2200000.0,0.0
Income Tax Paid Supplemental Data,228900000.0,230000000.0,184000000.0,110800000.0
End Cash Position,718800000.0,566000000.0,882900000.0,566700000.0
Beginning Cash Position,566000000.0,882900000.0,566700000.0,851300000.0
Changes In Cash,152800000.0,-316900000.0,316200000.0,-284600000.0
Financing Cash Flow,-1479200000.0,-1362600000.0,1677400000.0,-907700000.0
Cash Flow From Continuing Financing Activities,-1479200000.0,-1362600000.0,1677400000.0,-907700000.0
Net Other Financing Charges,,,-5800000.0,
Proceeds From Stock Option Exercised,37200000.0,35800000.0,36400000.0,79900000.0
Cash Dividends Paid,-405200000.0,-373100000.0,-340600000.0,-307000000.0
Common Stock Dividend Paid,-405200000.0,-373100000.0,-340600000.0,-307000000.0
Net Common Stock Issuance,-211200000.0,-975300000.0,-250800000.0,-680600000.0
Common Stock Payments,-211200000.0,-975300000.0,-250800000.0,-680600000.0
Net Issuance Payments Of Debt,-900000000.0,-50000000.0,2238200000.0,0.0
Net Long Term Debt Issuance,-900000000.0,-50000000.0,2238200000.0,0.0
Long Term Debt Payments,-900000000.0,-50000000.0,-250000000.0,0.0
Long Term Debt Issuance,0.0,0.0,2488200000.0,0.0
Investing Cash Flow,-224400000.0,-378900000.0,-3133200000.0,-581400000.0
Cash Flow From Continuing Investing Activities,-224400000.0,-378900000.0,-3133200000.0,-581400000.0
Net Other Investing Changes,6500000.0,7700000.0,,
Net Investment Purchase And Sale,5200000.0,123100000.0,269900000.0,-182900000.0
Sale Of Investment,294000000.0,220300000.0,770700000.0,607600000.0
Purchase Of Investment,-288800000.0,-97200000.0,-500800000.0,-790500000.0
Net Business Purchase And Sale,0.0,0.0,-2751000000.0,0.0
Purchase Of Business,0.0,0.0,-2751000000.0,0.0
Net Intangibles Purchase And Sale,-25800000.0,-20300000.0,-14300000.0,-9100000.0
Purchase Of Intangibles,-25800000.0,-20300000.0,-14300000.0,-9100000.0
Net PPE Purchase And Sale,,7700000.0,0.0,0.0
Sale Of PPE,,7700000.0,0.0,0.0
Capital Expenditure Reported,-210300000.0,-489400000.0,-637800000.0,-389400000.0
Operating Cash Flow,1856400000.0,1424600000.0,1772000000.0,1204500000.0
Cash Flow From Continuing Operating Activities,1856400000.0,1424600000.0,1772000000.0,1204500000.0
Change In Working Capital,161000000.0,-827500000.0,-303800000.0,-133400000.0
Change In Other Working Capital,-72500000.0,-183700000.0,75500000.0,-80900000.0
Change In Payables And Accrued Expense,-87100000.0,31300000.0,59600000.0,61100000.0
Change In Payable,-87100000.0,31300000.0,59600000.0,61100000.0
Change In Account Payable,-87100000.0,31300000.0,59600000.0,61100000.0
Change In Inventory,90800000.0,-337300000.0,-41200000.0,-190400000.0
Change In Receivables,229800000.0,-337800000.0,-397700000.0,76800000.0
Other Non Cash Items,500000.0,2500000.0,1300000.0,3800000.0
Stock Based Compensation,185100000.0,195200000.0,191900000.0,156600000.0
Asset Impairment Charge,64500000.0,20700000.0,7100000.0,11800000.0
Deferred Tax,-151200000.0,68400000.0,-59500000.0,-13400000.0
Deferred Income Tax,-151200000.0,68400000.0,-59500000.0,-13400000.0
Depreciation Amortization Depletion,613700000.0,690100000.0,436700000.0,364300000.0
Depreciation And Amortization,613700000.0,690100000.0,436700000.0,364300000.0
Amortization Cash Flow,225900000.0,295700000.0,104500000.0,46000000.0
Amortization Of Intangibles,225900000.0,295700000.0,104500000.0,46000000.0
Depreciation,387800000.0,394400000.0,332200000.0,318300000.0
Net Income From Continuing Operations,982800000.0,1275200000.0,1498300000.0,814800000.0
