,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,-187000000.0,800000000.0,2631000000.0,2675000000.0
Repurchase Of Capital Stock,-354000000.0,-702000000.0,-67000000.0,-207000000.0
Repayment Of Debt,-7706000000.0,-1191000000.0,-2632000000.0,-17763000000.0
Issuance Of Debt,8823000000.0,103000000.0,585000000.0,17091000000.0
Capital Expenditure,-1939000000.0,-1887000000.0,-1209000000.0,-1199000000.0
End Cash Position,573000000.0,1031000000.0,2507000000.0,1466000000.0
Other Cash Adjustment Outside Changein Cash,0.0,0.0,130000000.0,-46000000.0
Beginning Cash Position,1031000000.0,2637000000.0,1466000000.0,484000000.0
Effect Of Exchange Rate Changes,1000000.0,-35000000.0,4000000.0,-1000000.0
Changes In Cash,-459000000.0,-1571000000.0,907000000.0,983000000.0
Financing Cash Flow,88000000.0,-2323000000.0,-2731000000.0,-1468000000.0
Cash Flow From Continuing Financing Activities,88000000.0,-2323000000.0,-2731000000.0,-1468000000.0
Net Other Financing Charges,-16000000.0,-6000000.0,-22000000.0,-18000000.0
Proceeds From Stock Option Exercised,11000000.0,126000000.0,41000000.0,30000000.0
Cash Dividends Paid,-670000000.0,-653000000.0,-636000000.0,-601000000.0
Common Stock Dividend Paid,-670000000.0,-653000000.0,-636000000.0,-601000000.0
Net Common Stock Issuance,-354000000.0,-702000000.0,-67000000.0,-207000000.0
Common Stock Payments,-354000000.0,-702000000.0,-67000000.0,-207000000.0
Net Issuance Payments Of Debt,1117000000.0,-1088000000.0,-2047000000.0,-672000000.0
Net Short Term Debt Issuance,590000000.0,0.0,0.0,-1069000000.0
Short Term Debt Payments,-7103000000.0,0.0,0.0,-16551000000.0
Short Term Debt Issuance,7693000000.0,0.0,0.0,15482000000.0
Net Long Term Debt Issuance,527000000.0,-1088000000.0,-2047000000.0,397000000.0
Long Term Debt Payments,-603000000.0,-1191000000.0,-2632000000.0,-1212000000.0
Long Term Debt Issuance,1130000000.0,103000000.0,585000000.0,1609000000.0
Investing Cash Flow,-2299000000.0,-1935000000.0,58000000.0,-1423000000.0
Cash Flow From Continuing Investing Activities,-2299000000.0,-1935000000.0,58000000.0,-1423000000.0
Net Other Investing Changes,19000000.0,130000000.0,125000000.0,-52000000.0
Net Investment Purchase And Sale,-2000000.0,-1000000.0,-2000000.0,-18000000.0
Sale Of Investment,32000000.0,34000000.0,70000000.0,87000000.0
Purchase Of Investment,-34000000.0,-35000000.0,-72000000.0,-105000000.0
Net Business Purchase And Sale,-377000000.0,-177000000.0,1144000000.0,-154000000.0
Sale Of Business,0.0,0.0,1188000000.0,29000000.0
Purchase Of Business,-377000000.0,-177000000.0,-44000000.0,-183000000.0
Net PPE Purchase And Sale,-1939000000.0,-1887000000.0,-1209000000.0,-1199000000.0
Purchase Of PPE,-1939000000.0,-1887000000.0,-1209000000.0,-1199000000.0
Operating Cash Flow,1752000000.0,2687000000.0,3840000000.0,3874000000.0
Cash Flow From Continuing Operating Activities,1752000000.0,2687000000.0,3840000000.0,3874000000.0
Change In Working Capital,187000000.0,-2104000000.0,381000000.0,580000000.0
Change In Other Working Capital,-171000000.0,-1022000000.0,1110000000.0,408000000.0
Change In Payables And Accrued Expense,47000000.0,289000000.0,346000000.0,-105000000.0
Change In Accrued Expense,0.0,-13000000.0,-5000000.0,-41000000.0
Change In Interest Payable,0.0,-13000000.0,-5000000.0,-41000000.0
Change In Payable,47000000.0,302000000.0,351000000.0,-64000000.0
Change In Account Payable,47000000.0,302000000.0,351000000.0,-64000000.0
Change In Inventory,175000000.0,-1195000000.0,-567000000.0,86000000.0
Change In Receivables,136000000.0,-176000000.0,-508000000.0,191000000.0
Changes In Account Receivables,136000000.0,-176000000.0,-508000000.0,191000000.0
Other Non Cash Items,115000000.0,-51000000.0,-57000000.0,-124000000.0
Stock Based Compensation,61000000.0,93000000.0,91000000.0,89000000.0
Asset Impairment Charge,882000000.0,34000000.0,60000000.0,48000000.0
Deferred Tax,-183000000.0,264000000.0,-125000000.0,18000000.0
Deferred Income Tax,-183000000.0,264000000.0,-125000000.0,18000000.0
Depreciation Amortization Depletion,1339000000.0,1202000000.0,1214000000.0,1192000000.0
Depreciation And Amortization,1339000000.0,1202000000.0,1214000000.0,1192000000.0
Amortization Cash Flow,239000000.0,257000000.0,280000000.0,292000000.0
Amortization Of Intangibles,239000000.0,257000000.0,280000000.0,292000000.0
Depreciation,1100000000.0,945000000.0,934000000.0,900000000.0
Operating Gains Losses,,,-784000000.0,
Gain Loss On Sale Of Business,0.0,0.0,-784000000.0,0.0
Net Income From Continuing Operations,-649000000.0,3249000000.0,3060000000.0,2071000000.0
