,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,4773000000.0,5742000000.0,6096000000.0,5613000000.0,
Repurchase Of Capital Stock,-705000000.0,-6282000000.0,-7291000000.0,-3705000000.0,
Repayment Of Debt,-2190000000.0,-2291000000.0,-1299000000.0,-2381000000.0,
Issuance Of Debt,1599000000.0,6080000000.0,4201000000.0,4004000000.0,
Capital Expenditure,-3606000000.0,-3620000000.0,-2936000000.0,-2927000000.0,
Interest Paid Supplemental Data,1268000000.0,1156000000.0,1087000000.0,1050000000.0,
Income Tax Paid Supplemental Data,1486000000.0,2060000000.0,1658000000.0,1214000000.0,
End Cash Position,1074000000.0,987000000.0,983000000.0,1818000000.0,
Beginning Cash Position,987000000.0,983000000.0,1818000000.0,856000000.0,
Changes In Cash,87000000.0,4000000.0,-835000000.0,962000000.0,
Financing Cash Flow,-4625000000.0,-5887000000.0,-7158000000.0,-4902000000.0,
Cash Flow From Continuing Financing Activities,-4625000000.0,-5887000000.0,-7158000000.0,-4902000000.0,
Net Other Financing Charges,-156000000.0,-235000000.0,31000000.0,-67000000.0,
Cash Dividends Paid,-3173000000.0,-3159000000.0,-2800000000.0,-2626000000.0,
Common Stock Dividend Paid,-3173000000.0,-3159000000.0,-2800000000.0,-2626000000.0,
Net Common Stock Issuance,-705000000.0,-6282000000.0,-7291000000.0,-3705000000.0,
Common Stock Payments,-705000000.0,-6282000000.0,-7291000000.0,-3705000000.0,
Net Issuance Payments Of Debt,-591000000.0,3789000000.0,2902000000.0,1496000000.0,
Net Short Term Debt Issuance,,-205000000.0,325000000.0,-127000000.0,-6000000.0
Net Long Term Debt Issuance,-591000000.0,3789000000.0,2902000000.0,1623000000.0,
Long Term Debt Payments,-2190000000.0,-2291000000.0,-1299000000.0,-2381000000.0,
Long Term Debt Issuance,1599000000.0,6080000000.0,4201000000.0,4004000000.0,
Investing Cash Flow,-3667000000.0,-3471000000.0,-2709000000.0,-2676000000.0,
Cash Flow From Continuing Investing Activities,-3667000000.0,-3471000000.0,-2709000000.0,-2676000000.0,
Net Other Investing Changes,-61000000.0,149000000.0,227000000.0,246000000.0,
Net Investment Purchase And Sale,,0.0,24000000.0,5000000.0,15000000.0
Sale Of Investment,,46000000.0,94000000.0,141000000.0,130000000.0
Purchase Of Investment,,-46000000.0,-70000000.0,-136000000.0,-115000000.0
Capital Expenditure Reported,-3606000000.0,-3620000000.0,-2936000000.0,-2927000000.0,
Operating Cash Flow,8379000000.0,9362000000.0,9032000000.0,8540000000.0,
Cash Flow From Continuing Operating Activities,8379000000.0,9362000000.0,9032000000.0,8540000000.0,
Change In Working Capital,-303000000.0,8000000.0,203000000.0,266000000.0,
Change In Other Working Capital,129000000.0,-273000000.0,188000000.0,170000000.0,
Change In Other Current Assets,-38000000.0,5000000.0,31000000.0,-34000000.0,
Change In Payables And Accrued Expense,-215000000.0,565000000.0,184000000.0,-73000000.0,
Change In Payable,-215000000.0,565000000.0,184000000.0,-73000000.0,
Change In Account Payable,-215000000.0,565000000.0,184000000.0,-73000000.0,
Change In Tax Payable,,,188000000.0,170000000.0,-229000000.0
Change In Income Tax Payable,,,188000000.0,170000000.0,-229000000.0
Change In Inventory,-2000000.0,-120000000.0,17000000.0,113000000.0,
Change In Receivables,-177000000.0,-169000000.0,-217000000.0,90000000.0,
Changes In Account Receivables,-177000000.0,-169000000.0,-217000000.0,90000000.0,
Other Non Cash Items,-132000000.0,-152000000.0,-56000000.0,490000000.0,
Deferred Tax,117000000.0,262000000.0,154000000.0,340000000.0,
Deferred Income Tax,117000000.0,262000000.0,154000000.0,340000000.0,
Depreciation Amortization Depletion,2318000000.0,2246000000.0,2208000000.0,2210000000.0,
Depreciation And Amortization,2318000000.0,2246000000.0,2208000000.0,2210000000.0,
Depreciation,2318000000.0,2246000000.0,2208000000.0,2210000000.0,
Operating Gains Losses,,-176000000.0,-98000000.0,-115000000.0,-20000000.0
Net Income From Continuing Operations,6379000000.0,6998000000.0,6523000000.0,5349000000.0,
