,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,5080000000.0,9335000000.0,10813000000.0,5047000000.0,
Repurchase Of Capital Stock,-2250000000.0,-3500000000.0,-500000000.0,-224000000.0,
Repayment Of Debt,-2429000000.0,-2304000000.0,-2773000000.0,-3392000000.0,
Issuance Of Debt,3429000000.0,0.0,0.0,5003000000.0,
Issuance Of Capital Stock,248000000.0,262000000.0,251000000.0,285000000.0,
Capital Expenditure,-5158000000.0,-4769000000.0,-4194000000.0,-5412000000.0,
Interest Paid Supplemental Data,762000000.0,721000000.0,697000000.0,691000000.0,
Income Tax Paid Supplemental Data,1976000000.0,2574000000.0,1869000000.0,1138000000.0,
End Cash Position,3206000000.0,5602000000.0,10255000000.0,5910000000.0,
Beginning Cash Position,5602000000.0,10255000000.0,5910000000.0,5238000000.0,
Effect Of Exchange Rate Changes,33000000.0,-100000000.0,-21000000.0,13000000.0,
Changes In Cash,-2429000000.0,-4553000000.0,4366000000.0,659000000.0,
Financing Cash Flow,-5534000000.0,-11185000000.0,-6823000000.0,-4517000000.0,
Cash Flow From Continuing Financing Activities,-5534000000.0,-11185000000.0,-6823000000.0,-4517000000.0,
Net Other Financing Charges,-432000000.0,-529000000.0,-364000000.0,-353000000.0,
Cash Dividends Paid,-5372000000.0,-5114000000.0,-3437000000.0,-3374000000.0,
Common Stock Dividend Paid,-5372000000.0,-5114000000.0,-3437000000.0,-3374000000.0,
Net Common Stock Issuance,-2002000000.0,-3238000000.0,-249000000.0,61000000.0,
Common Stock Payments,-2250000000.0,-3500000000.0,-500000000.0,-224000000.0,
Common Stock Issuance,248000000.0,262000000.0,251000000.0,285000000.0,
Net Issuance Payments Of Debt,2272000000.0,-2304000000.0,-2773000000.0,-851000000.0,
Net Short Term Debt Issuance,1272000000.0,0.0,0.0,-2462000000.0,
Net Long Term Debt Issuance,1000000000.0,-2304000000.0,-2773000000.0,1611000000.0,
Long Term Debt Payments,-2429000000.0,-2304000000.0,-2773000000.0,-3392000000.0,
Long Term Debt Issuance,3429000000.0,0.0,0.0,5003000000.0,
Investing Cash Flow,-7133000000.0,-7472000000.0,-3818000000.0,-5283000000.0,
Cash Flow From Continuing Investing Activities,-7133000000.0,-7472000000.0,-3818000000.0,-5283000000.0,
Net Other Investing Changes,-19000000.0,-309000000.0,52000000.0,3000000.0,
Net Investment Purchase And Sale,-820000000.0,-1651000000.0,54000000.0,106000000.0,
Sale Of Investment,2701000000.0,255000000.0,366000000.0,360000000.0,
Purchase Of Investment,-3521000000.0,-1906000000.0,-312000000.0,-254000000.0,
Net Business Purchase And Sale,-1136000000.0,-743000000.0,270000000.0,20000000.0,
Sale Of Business,193000000.0,12000000.0,872000000.0,40000000.0,
Purchase Of Business,-1329000000.0,-755000000.0,-602000000.0,-20000000.0,
Net PPE Purchase And Sale,,,872000000.0,40000000.0,65000000.0
Sale Of PPE,,,872000000.0,40000000.0,65000000.0
Capital Expenditure Reported,-5158000000.0,-4769000000.0,-4194000000.0,-5412000000.0,
Operating Cash Flow,10238000000.0,14104000000.0,15007000000.0,10459000000.0,
Cash Flow From Continuing Operating Activities,10238000000.0,14104000000.0,15007000000.0,10459000000.0,
Change In Working Capital,-372000000.0,-369000000.0,-664000000.0,1081000000.0,
Change In Other Current Liabilities,-42000000.0,-9000000.0,151000000.0,-110000000.0,
Change In Other Current Assets,87000000.0,117000000.0,312000000.0,218000000.0,
Change In Payables And Accrued Expense,-1673000000.0,-155000000.0,1020000000.0,2535000000.0,
Change In Accrued Expense,-296000000.0,-189000000.0,-245000000.0,1631000000.0,
Change In Payable,-1377000000.0,34000000.0,1265000000.0,904000000.0,
Change In Account Payable,-1377000000.0,34000000.0,1265000000.0,904000000.0,
Change In Receivables,1256000000.0,-322000000.0,-2147000000.0,-1562000000.0,
Changes In Account Receivables,1256000000.0,-322000000.0,-2147000000.0,-1562000000.0,
Other Non Cash Items,123000000.0,129000000.0,159000000.0,896000000.0,
Stock Based Compensation,220000000.0,1568000000.0,878000000.0,796000000.0,
Provisionand Write Offof Assets,57000000.0,-20000000.0,178000000.0,503000000.0,
Deferred Tax,199000000.0,531000000.0,1645000000.0,-858000000.0,
Deferred Income Tax,199000000.0,531000000.0,1645000000.0,-858000000.0,
Depreciation Amortization Depletion,3366000000.0,3188000000.0,2953000000.0,2698000000.0,
Depreciation And Amortization,3366000000.0,3188000000.0,2953000000.0,2698000000.0,
Operating Gains Losses,-63000000.0,-2471000000.0,-3032000000.0,4000000000.0,
Pension And Employee Benefit Expense,-63000000.0,-2471000000.0,-3032000000.0,4000000000.0,
Net Income From Continuing Operations,6708000000.0,11548000000.0,12890000000.0,1343000000.0,
