,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,634000000.0,743000000.0,491000000.0,1500000000.0,
Repurchase Of Capital Stock,-1070000000.0,-1068000000.0,-34000000.0,-286000000.0,
Repayment Of Debt,-8574000000.0,-8241000000.0,-8462000000.0,-11245000000.0,
Issuance Of Debt,8576000000.0,9885000000.0,8364000000.0,9260000000.0,
Capital Expenditure,-4070000000.0,-3690000000.0,-3198000000.0,-1158000000.0,
Interest Paid Supplemental Data,614000000.0,406000000.0,391000000.0,483000000.0,
Income Tax Paid Supplemental Data,493000000.0,326000000.0,202000000.0,318000000.0,
End Cash Position,363000000.0,106000000.0,144000000.0,202000000.0,
Beginning Cash Position,106000000.0,144000000.0,202000000.0,52000000.0,
Effect Of Exchange Rate Changes,3000000.0,-7000000.0,4000000.0,8000000.0,
Changes In Cash,254000000.0,-31000000.0,-62000000.0,142000000.0,
Financing Cash Flow,-1474000000.0,552000000.0,-140000000.0,-2293000000.0,
Cash Flow From Continuing Financing Activities,-1474000000.0,552000000.0,-140000000.0,-2293000000.0,
Net Other Financing Charges,,-24000000.0,-8000000.0,-23000000.0,-28000000.0
Proceeds From Stock Option Exercised,,0.0,0.0,1000000.0,11000000.0
Cash Dividends Paid,-406000000.0,0.0,0.0,,
Common Stock Dividend Paid,-406000000.0,0.0,0.0,,
Net Common Stock Issuance,-1070000000.0,-1068000000.0,-34000000.0,-286000000.0,
Common Stock Payments,-1070000000.0,-1068000000.0,-34000000.0,-286000000.0,
Net Issuance Payments Of Debt,2000000.0,1644000000.0,-98000000.0,-1985000000.0,
Net Long Term Debt Issuance,2000000.0,1644000000.0,-98000000.0,-1985000000.0,
Long Term Debt Payments,-8574000000.0,-8241000000.0,-8462000000.0,-11245000000.0,
Long Term Debt Issuance,8576000000.0,9885000000.0,8364000000.0,9260000000.0,
Investing Cash Flow,-2976000000.0,-5016000000.0,-3611000000.0,-223000000.0,
Cash Flow From Continuing Investing Activities,-2976000000.0,-5016000000.0,-3611000000.0,-223000000.0,
Net Other Investing Changes,38000000.0,32000000.0,25000000.0,40000000.0,
Net Investment Purchase And Sale,-4000000.0,-7000000.0,0.0,-3000000.0,
Purchase Of Investment,-4000000.0,-7000000.0,0.0,-3000000.0,
Net Business Purchase And Sale,-574000000.0,-2340000000.0,-1436000000.0,-2000000.0,
Purchase Of Business,-574000000.0,-2340000000.0,-1436000000.0,-2000000.0,
Net PPE Purchase And Sale,-2436000000.0,-2701000000.0,-2200000000.0,-258000000.0,
Sale Of PPE,1634000000.0,989000000.0,998000000.0,900000000.0,
Purchase Of PPE,-4070000000.0,-3690000000.0,-3198000000.0,-1158000000.0,
Operating Cash Flow,4704000000.0,4433000000.0,3689000000.0,2658000000.0,
Cash Flow From Continuing Operating Activities,4704000000.0,4433000000.0,3689000000.0,2658000000.0,
Change In Working Capital,173000000.0,24000000.0,351000000.0,-3000000.0,
Change In Payables And Accrued Expense,40000000.0,542000000.0,394000000.0,12000000.0,
Change In Accrued Expense,85000000.0,238000000.0,87000000.0,2000000.0,
Change In Payable,-45000000.0,304000000.0,307000000.0,10000000.0,
Change In Account Payable,-45000000.0,304000000.0,307000000.0,10000000.0,
Change In Prepaid Assets,281000000.0,-164000000.0,248000000.0,-228000000.0,
Change In Inventory,19000000.0,-25000000.0,9000000.0,-5000000.0,
Change In Receivables,-167000000.0,-329000000.0,-300000000.0,218000000.0,
Changes In Account Receivables,-167000000.0,-329000000.0,-300000000.0,218000000.0,
Other Non Cash Items,4000000.0,-19000000.0,-7000000.0,-9000000.0,
Stock Based Compensation,94000000.0,127000000.0,119000000.0,70000000.0,
Deferred Tax,35000000.0,537000000.0,268000000.0,-121000000.0,
Deferred Income Tax,35000000.0,537000000.0,268000000.0,-121000000.0,
Depreciation Amortization Depletion,2781000000.0,2217000000.0,1983000000.0,1988000000.0,
Depreciation And Amortization,2781000000.0,2217000000.0,1983000000.0,1988000000.0,
Operating Gains Losses,-807000000.0,-558000000.0,-411000000.0,-157000000.0,
Gain Loss On Investment Securities,,17000000.0,30000000.0,183000000.0,61000000.0
Gain Loss On Sale Of PPE,-807000000.0,-575000000.0,-441000000.0,-340000000.0,
Net Income From Continuing Operations,2424000000.0,2105000000.0,1386000000.0,890000000.0,
