,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,176000000.0,164000000.0,170000000.0,181000000.0,
Ordinary Shares Number,889051742.0,902000000.0,896000000.0,885000000.0,
Share Issued,1065051742.0,1066000000.0,1066000000.0,1066000000.0,
Net Debt,5372000000.0,5582000000.0,6083000000.0,7264000000.0,
Total Debt,8809000000.0,8943000000.0,10212000000.0,10836000000.0,
Tangible Book Value,6541000000.0,5119000000.0,3870000000.0,2170000000.0,
Invested Capital,17027000000.0,15876000000.0,15840000000.0,14801000000.0,
Working Capital,5935000000.0,5607000000.0,5637000000.0,5054000000.0,
Net Tangible Assets,6541000000.0,5119000000.0,3870000000.0,2170000000.0,
Capital Lease Obligations,1173000000.0,1015000000.0,1085000000.0,1009000000.0,
Common Stock Equity,9391000000.0,7948000000.0,6713000000.0,4974000000.0,
Total Capitalization,17027000000.0,15876000000.0,15840000000.0,14106000000.0,
Total Equity Gross Minority Interest,9433000000.0,7977000000.0,6728000000.0,4983000000.0,
Minority Interest,42000000.0,29000000.0,15000000.0,9000000.0,
Stockholders Equity,9391000000.0,7948000000.0,6713000000.0,4974000000.0,
Gains Losses Not Affecting Retained Earnings,-331000000.0,-230000000.0,-183000000.0,-362000000.0,
Other Equity Adjustments,-331000000.0,-230000000.0,-183000000.0,-362000000.0,
Treasury Stock,5540000000.0,5108000000.0,5511000000.0,6021000000.0,
Retained Earnings,12536000000.0,10572000000.0,9710000000.0,8691000000.0,
Additional Paid In Capital,63000000.0,50000000.0,32000000.0,0.0,
Capital Stock,2663000000.0,2664000000.0,2665000000.0,2666000000.0,
Common Stock,2663000000.0,2664000000.0,2665000000.0,2666000000.0,
Total Liabilities Net Minority Interest,15250000000.0,15278000000.0,15593000000.0,15697000000.0,
Total Non Current Liabilities Net Minority Interest,9642000000.0,9933000000.0,11287000000.0,11276000000.0,
Other Non Current Liabilities,687000000.0,806000000.0,823000000.0,824000000.0,
Employee Benefits,408000000.0,408000000.0,492000000.0,562000000.0,
Long Term Debt And Capital Lease Obligation,8547000000.0,8719000000.0,9972000000.0,9890000000.0,
Long Term Capital Lease Obligation,911000000.0,791000000.0,845000000.0,758000000.0,
Long Term Debt,7636000000.0,7928000000.0,9127000000.0,9132000000.0,
Current Liabilities,5608000000.0,5345000000.0,4306000000.0,4421000000.0,
Other Current Liabilities,750000000.0,723000000.0,667000000.0,877000000.0,
Current Debt And Capital Lease Obligation,262000000.0,224000000.0,240000000.0,946000000.0,
Current Capital Lease Obligation,262000000.0,224000000.0,240000000.0,251000000.0,
Current Debt,,,7000000.0,695000000.0,11000000.0
Other Current Borrowings,,,7000000.0,695000000.0,11000000.0
Pensionand Other Post Retirement Benefit Plans Current,689000000.0,634000000.0,493000000.0,517000000.0,
Payables And Accrued Expenses,3907000000.0,3764000000.0,2906000000.0,2081000000.0,
Payables,3907000000.0,3764000000.0,2906000000.0,2081000000.0,
Total Tax Payable,760000000.0,643000000.0,553000000.0,508000000.0,
Income Tax Payable,390000000.0,294000000.0,261000000.0,216000000.0,
Accounts Payable,3147000000.0,3121000000.0,2353000000.0,1573000000.0,
Total Assets,24683000000.0,23255000000.0,22321000000.0,20680000000.0,
Total Non Current Assets,13140000000.0,12303000000.0,12378000000.0,11205000000.0,
Other Non Current Assets,1797000000.0,1577000000.0,1580000000.0,1124000000.0,
Non Current Deferred Assets,2505000000.0,2636000000.0,2695000000.0,2166000000.0,
Non Current Deferred Taxes Assets,2505000000.0,2636000000.0,2695000000.0,2166000000.0,
Goodwill And Other Intangible Assets,2850000000.0,2829000000.0,2843000000.0,2804000000.0,
Goodwill,2850000000.0,2829000000.0,2843000000.0,2804000000.0,
Net PPE,5988000000.0,5261000000.0,5260000000.0,5111000000.0,
Accumulated Depreciation,-12064000000.0,-11660000000.0,-11442000000.0,-11039000000.0,
Gross PPE,18052000000.0,16921000000.0,16702000000.0,16150000000.0,
Other Properties,1088000000.0,913000000.0,934000000.0,786000000.0,
Machinery Furniture Equipment,15121000000.0,14220000000.0,14040000000.0,13592000000.0,
Buildings And Improvements,1724000000.0,1671000000.0,1608000000.0,1652000000.0,
Land And Improvements,119000000.0,117000000.0,120000000.0,120000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,11543000000.0,10952000000.0,9943000000.0,9475000000.0,
Other Current Assets,1193000000.0,1056000000.0,872000000.0,1492000000.0,
Assets Held For Sale Current,,,,550000000.0,180000000.0
Inventory,3226000000.0,2923000000.0,2361000000.0,2349000000.0,
Finished Goods,2069000000.0,1859000000.0,1380000000.0,1330000000.0,
Work In Process,136000000.0,111000000.0,91000000.0,67000000.0,
Raw Materials,1021000000.0,953000000.0,890000000.0,952000000.0,
Receivables,4860000000.0,4627000000.0,3666000000.0,3071000000.0,
Accounts Receivable,4860000000.0,4627000000.0,3666000000.0,3071000000.0,
Allowance For Doubtful Accounts Receivable,-742000000.0,-731000000.0,-754000000.0,-824000000.0,
Gross Accounts Receivable,5602000000.0,5358000000.0,4420000000.0,3895000000.0,
Cash Cash Equivalents And Short Term Investments,2264000000.0,2346000000.0,3044000000.0,2563000000.0,
Cash And Cash Equivalents,2264000000.0,2346000000.0,3044000000.0,2563000000.0,
