,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Ordinary Shares Number,265537300.0,277378300.0,305476800.0,339425600.0,
Share Issued,265537300.0,277378300.0,305476800.0,339425600.0,
Net Debt,38658000000.0,37176000000.0,33128000000.0,29211000000.0,
Total Debt,41859000000.0,40200000000.0,36726000000.0,33056000000.0,
Tangible Book Value,-11719000000.0,-12420000000.0,-10473000000.0,-8006000000.0,
Invested Capital,37819000000.0,35317000000.0,33646000000.0,31576000000.0,
Working Capital,2272000000.0,3741000000.0,3960000000.0,3629000000.0,
Net Tangible Assets,-11719000000.0,-12420000000.0,-10473000000.0,-8006000000.0,
Capital Lease Obligations,2266000000.0,2116000000.0,2147000000.0,2052000000.0,
Common Stock Equity,-1774000000.0,-2767000000.0,-933000000.0,572000000.0,
Total Capitalization,35395000000.0,34947000000.0,33409000000.0,31367000000.0,
Total Equity Gross Minority Interest,1060000000.0,-73000000.0,1489000000.0,2892000000.0,
Minority Interest,2834000000.0,2694000000.0,2422000000.0,2320000000.0,
Stockholders Equity,-1774000000.0,-2767000000.0,-933000000.0,572000000.0,
Gains Losses Not Affecting Retained Earnings,-425000000.0,-490000000.0,-404000000.0,-502000000.0,
Other Equity Adjustments,-425000000.0,-490000000.0,-404000000.0,,
Retained Earnings,-1352000000.0,-2280000000.0,-532000000.0,777000000.0,
Additional Paid In Capital,,,0.0,294000000.0,0.0
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0,
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,
Total Liabilities Net Minority Interest,55151000000.0,52511000000.0,49253000000.0,44598000000.0,
Total Non Current Liabilities Net Minority Interest,42496000000.0,42609000000.0,39671000000.0,35894000000.0,
Other Non Current Liabilities,1557000000.0,1528000000.0,1514000000.0,1486000000.0,
Tradeand Other Payables Non Current,1867000000.0,1615000000.0,2060000000.0,1940000000.0,
Long Term Debt And Capital Lease Obligation,39072000000.0,39466000000.0,36097000000.0,32468000000.0,
Long Term Capital Lease Obligation,1903000000.0,1752000000.0,1755000000.0,1673000000.0,
Long Term Debt,37169000000.0,37714000000.0,34342000000.0,30795000000.0,
Current Liabilities,12655000000.0,9902000000.0,9582000000.0,8704000000.0,
Current Debt And Capital Lease Obligation,2787000000.0,734000000.0,629000000.0,588000000.0,
Current Capital Lease Obligation,363000000.0,364000000.0,392000000.0,379000000.0,
Current Debt,2424000000.0,370000000.0,237000000.0,209000000.0,
Other Current Borrowings,2424000000.0,370000000.0,237000000.0,209000000.0,
Pensionand Other Post Retirement Benefit Plans Current,867000000.0,794000000.0,549000000.0,547000000.0,
Payables And Accrued Expenses,9001000000.0,8374000000.0,8404000000.0,7569000000.0,
Current Accrued Expenses,4386000000.0,3764000000.0,3932000000.0,3691000000.0,
Interest Payable,414000000.0,402000000.0,353000000.0,315000000.0,
Payables,4615000000.0,4610000000.0,4472000000.0,3878000000.0,
Total Tax Payable,382000000.0,371000000.0,361000000.0,343000000.0,
Accounts Payable,4233000000.0,4239000000.0,4111000000.0,3535000000.0,
Total Assets,56211000000.0,52438000000.0,50742000000.0,47490000000.0,
Total Non Current Assets,41284000000.0,38795000000.0,37200000000.0,35157000000.0,
Other Non Current Assets,184000000.0,298000000.0,598000000.0,546000000.0,
Investments And Advances,1233000000.0,1204000000.0,886000000.0,810000000.0,
Long Term Equity Investment,1233000000.0,1204000000.0,886000000.0,810000000.0,
Investments In Other Ventures Under Equity Method,756000000.0,823000000.0,448000000.0,422000000.0,
Investmentsin Associatesat Cost,756000000.0,823000000.0,448000000.0,422000000.0,
Investmentsin Subsidiariesat Cost,477000000.0,381000000.0,438000000.0,388000000.0,
Goodwill And Other Intangible Assets,9945000000.0,9653000000.0,9540000000.0,8578000000.0,
Net PPE,29922000000.0,27640000000.0,26176000000.0,25223000000.0,
Accumulated Depreciation,-30833000000.0,-29182000000.0,-27287000000.0,-26118000000.0,
Gross PPE,60755000000.0,56822000000.0,53463000000.0,51341000000.0,
Construction In Progress,1870000000.0,1756000000.0,1387000000.0,1495000000.0,
Other Properties,34205000000.0,32046000000.0,30369000000.0,29106000000.0,
Machinery Furniture Equipment,,,,,25756000000.0
Buildings And Improvements,21560000000.0,20221000000.0,19211000000.0,18471000000.0,
Land And Improvements,3120000000.0,2799000000.0,2496000000.0,2269000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,14927000000.0,13643000000.0,13542000000.0,12333000000.0,
Other Current Assets,2013000000.0,1776000000.0,2010000000.0,1464000000.0,
Inventory,2021000000.0,2068000000.0,1986000000.0,2025000000.0,
Receivables,9958000000.0,8891000000.0,8095000000.0,7051000000.0,
Accounts Receivable,9958000000.0,8891000000.0,8095000000.0,7051000000.0,
Cash Cash Equivalents And Short Term Investments,935000000.0,908000000.0,1451000000.0,1793000000.0,
Cash And Cash Equivalents,935000000.0,908000000.0,1451000000.0,1793000000.0,
