,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Treasury Shares Number,29596724.0,29029475.0,28356889.0,27684632.0
Ordinary Shares Number,680372072.0,688696768.0,708733474.0,726222683.0
Share Issued,709968796.0,717726243.0,737090363.0,753907315.0
Net Debt,8013000000.0,6929000000.0,6404000000.0,5868000000.0
Total Debt,8848000000.0,8960000000.0,7740000000.0,7819000000.0
Tangible Book Value,-6279000000.0,-6237000000.0,-6322000000.0,-5841000000.0
Invested Capital,25393000000.0,25228000000.0,25302000000.0,25266000000.0
Working Capital,-347000000.0,446000000.0,900000000.0,1805000000.0
Net Tangible Assets,-6279000000.0,-6237000000.0,-6322000000.0,-5841000000.0
Common Stock Equity,16545000000.0,16268000000.0,17562000000.0,17447000000.0
Total Capitalization,24363000000.0,23694000000.0,25068000000.0,24973000000.0
Total Equity Gross Minority Interest,17694000000.0,17402000000.0,18753000000.0,18533000000.0
Minority Interest,1149000000.0,1134000000.0,1191000000.0,1086000000.0
Stockholders Equity,16545000000.0,16268000000.0,17562000000.0,17447000000.0
Gains Losses Not Affecting Retained Earnings,-955000000.0,-911000000.0,-434000000.0,-776000000.0
Other Equity Adjustments,-955000000.0,-911000000.0,-434000000.0,-776000000.0
Treasury Stock,1240000000.0,1203000000.0,1152000000.0,1119000000.0
Retained Earnings,1384000000.0,1151000000.0,2025000000.0,2469000000.0
Additional Paid In Capital,17349000000.0,17224000000.0,17116000000.0,16865000000.0
Capital Stock,7000000.0,7000000.0,7000000.0,8000000.0
Common Stock,7000000.0,7000000.0,7000000.0,8000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,24548000000.0,24756000000.0,23137000000.0,22282000000.0
Total Non Current Liabilities Net Minority Interest,13464000000.0,13517000000.0,14039000000.0,14034000000.0
Other Non Current Liabilities,5368000000.0,5733000000.0,5905000000.0,5368000000.0
Liabilities Heldfor Sale Non Current,,62000000.0,0.0,
Employee Benefits,278000000.0,358000000.0,628000000.0,1140000000.0
Non Current Pension And Other Postretirement Benefit Plans,278000000.0,358000000.0,628000000.0,1140000000.0
Long Term Debt And Capital Lease Obligation,7818000000.0,7426000000.0,7506000000.0,7526000000.0
Long Term Debt,7818000000.0,7426000000.0,7506000000.0,7526000000.0
Current Liabilities,11084000000.0,11239000000.0,9098000000.0,8248000000.0
Other Current Liabilities,2832000000.0,2530000000.0,2473000000.0,2562000000.0
Current Deferred Liabilities,1996000000.0,1804000000.0,1637000000.0,1435000000.0
Current Deferred Revenue,1996000000.0,1804000000.0,1637000000.0,1435000000.0
Current Debt And Capital Lease Obligation,1030000000.0,1534000000.0,234000000.0,293000000.0
Current Debt,1030000000.0,1534000000.0,234000000.0,293000000.0
Other Current Borrowings,645000000.0,865000000.0,226000000.0,262000000.0
Line Of Credit,185000000.0,497000000.0,8000000.0,31000000.0
Commercial Paper,200000000.0,172000000.0,0.0,
Pensionand Other Post Retirement Benefit Plans Current,958000000.0,1003000000.0,1008000000.0,838000000.0
Payables And Accrued Expenses,4268000000.0,4368000000.0,3746000000.0,3120000000.0
Payables,4268000000.0,4368000000.0,3746000000.0,3120000000.0
Accounts Payable,4268000000.0,4368000000.0,3746000000.0,3120000000.0
Total Assets,42242000000.0,42158000000.0,41890000000.0,40815000000.0
Total Non Current Assets,31505000000.0,30473000000.0,31892000000.0,30762000000.0
Other Non Current Assets,4489000000.0,3874000000.0,3714000000.0,3501000000.0
Investments And Advances,1056000000.0,963000000.0,1066000000.0,914000000.0
Long Term Equity Investment,1056000000.0,963000000.0,1066000000.0,914000000.0
Investmentsin Associatesat Cost,,,1066000000.0,914000000.0
Goodwill And Other Intangible Assets,22824000000.0,22505000000.0,23884000000.0,23288000000.0
Other Intangible Assets,4888000000.0,5155000000.0,5549000000.0,5356000000.0
Goodwill,17936000000.0,17350000000.0,18335000000.0,17932000000.0
Net PPE,3136000000.0,3131000000.0,3228000000.0,3059000000.0
Accumulated Depreciation,-3985000000.0,-3407000000.0,-3287000000.0,-2871000000.0
Gross PPE,7121000000.0,6538000000.0,6515000000.0,5930000000.0
Construction In Progress,540000000.0,514000000.0,500000000.0,327000000.0
Machinery Furniture Equipment,5050000000.0,4507000000.0,4471000000.0,4011000000.0
Buildings And Improvements,1337000000.0,1320000000.0,1313000000.0,1351000000.0
Land And Improvements,194000000.0,197000000.0,231000000.0,241000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,10737000000.0,11685000000.0,9998000000.0,10053000000.0
Other Current Assets,1120000000.0,1262000000.0,992000000.0,1035000000.0
Assets Held For Sale Current,,387000000.0,0.0,0.0
Inventory,2776000000.0,2665000000.0,2057000000.0,1773000000.0
Finished Goods,1347000000.0,1422000000.0,1122000000.0,1002000000.0
Work In Process,226000000.0,203000000.0,166000000.0,142000000.0
Raw Materials,1203000000.0,1040000000.0,769000000.0,629000000.0
Receivables,6006000000.0,5727000000.0,5613000000.0,5294000000.0
Accounts Receivable,6006000000.0,5727000000.0,5613000000.0,5294000000.0
Allowance For Doubtful Accounts Receivable,-90000000.0,-66000000.0,-110000000.0,-173000000.0
Gross Accounts Receivable,6096000000.0,5793000000.0,5723000000.0,5467000000.0
Cash Cash Equivalents And Short Term Investments,835000000.0,2031000000.0,1336000000.0,1951000000.0
Cash And Cash Equivalents,835000000.0,2031000000.0,1336000000.0,1951000000.0
