,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,189808581.0,190611458.0,193511401.0,208230353.0
Share Issued,189808581.0,190611458.0,193511401.0,208230353.0
Net Debt,12565000000.0,6165000000.0,6120000000.0,5677000000.0
Total Debt,13125000000.0,7045000000.0,7829000000.0,7687000000.0
Tangible Book Value,-9754000000.0,-4761000000.0,-5616000000.0,-6060000000.0
Invested Capital,31890000000.0,25568000000.0,26274000000.0,27677000000.0
Working Capital,51000000.0,978000000.0,1808000000.0,2427000000.0
Net Tangible Assets,-9754000000.0,-4761000000.0,-5616000000.0,-6060000000.0
Capital Lease Obligations,,741000000.0,768000000.0,734000000.0
Common Stock Equity,18765000000.0,18523000000.0,19213000000.0,20724000000.0
Total Capitalization,29925000000.0,24748000000.0,26261000000.0,27667000000.0
Total Equity Gross Minority Interest,18829000000.0,18624000000.0,19319000000.0,20841000000.0
Minority Interest,64000000.0,101000000.0,106000000.0,117000000.0
Stockholders Equity,18765000000.0,18523000000.0,19213000000.0,20724000000.0
Other Equity Interest,,15677000000.0,16248000000.0,19008000000.0
Gains Losses Not Affecting Retained Earnings,-198000000.0,-288000000.0,-146000000.0,-839000000.0
Other Equity Adjustments,-198000000.0,-288000000.0,-146000000.0,-839000000.0
Retained Earnings,3220000000.0,2943000000.0,2917000000.0,2347000000.0
Additional Paid In Capital,15553000000.0,15677000000.0,,
Capital Stock,190000000.0,191000000.0,194000000.0,208000000.0
Common Stock,190000000.0,191000000.0,194000000.0,208000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,22858000000.0,14900000000.0,15390000000.0,16119000000.0
Total Non Current Liabilities Net Minority Interest,14854000000.0,9124000000.0,10839000000.0,11879000000.0
Other Non Current Liabilities,2879000000.0,2180000000.0,1065000000.0,1059000000.0
Employee Benefits,,262000000.0,614000000.0,1906000000.0
Non Current Pension And Other Postretirement Benefit Plans,,262000000.0,614000000.0,1906000000.0
Non Current Deferred Liabilities,815000000.0,719000000.0,1344000000.0,1237000000.0
Non Current Deferred Taxes Liabilities,815000000.0,719000000.0,1344000000.0,1237000000.0
Long Term Debt And Capital Lease Obligation,11160000000.0,6225000000.0,7816000000.0,7677000000.0
Long Term Capital Lease Obligation,,741000000.0,768000000.0,734000000.0
Long Term Debt,11160000000.0,6225000000.0,7048000000.0,6943000000.0
Current Liabilities,8004000000.0,5776000000.0,4551000000.0,4240000000.0
Other Current Liabilities,272000000.0,19000000.0,,13000000.0
Current Deferred Liabilities,1900000000.0,1400000000.0,1297000000.0,1198000000.0
Current Deferred Revenue,1900000000.0,1400000000.0,1297000000.0,1198000000.0
Current Debt And Capital Lease Obligation,1965000000.0,820000000.0,13000000.0,10000000.0
Current Debt,1965000000.0,820000000.0,13000000.0,10000000.0
Other Current Borrowings,,820000000.0,13000000.0,10000000.0
Pensionand Other Post Retirement Benefit Plans Current,544000000.0,398000000.0,444000000.0,496000000.0
Payables And Accrued Expenses,3323000000.0,3139000000.0,2797000000.0,2523000000.0
Current Accrued Expenses,1129000000.0,818000000.0,1002000000.0,1068000000.0
Payables,2194000000.0,2321000000.0,1795000000.0,1455000000.0
Total Tax Payable,88000000.0,376000000.0,28000000.0,49000000.0
Income Tax Payable,88000000.0,376000000.0,28000000.0,49000000.0
Accounts Payable,2106000000.0,1945000000.0,1767000000.0,1406000000.0
Total Assets,41687000000.0,33524000000.0,34709000000.0,36960000000.0
Total Non Current Assets,33632000000.0,26770000000.0,28350000000.0,30293000000.0
Other Non Current Assets,2160000000.0,1309000000.0,566000000.0,522000000.0
Non Current Deferred Assets,91000000.0,73000000.0,85000000.0,119000000.0
Non Current Deferred Taxes Assets,91000000.0,73000000.0,85000000.0,119000000.0
Goodwill And Other Intangible Assets,28519000000.0,23284000000.0,24829000000.0,26784000000.0
Other Intangible Assets,8540000000.0,6001000000.0,6640000000.0,7908000000.0
Goodwill,19979000000.0,17283000000.0,18189000000.0,18876000000.0
Net PPE,2862000000.0,2104000000.0,2870000000.0,2868000000.0
Accumulated Depreciation,-2459000000.0,-2233000000.0,-1967000000.0,-1767000000.0
Gross PPE,5321000000.0,4337000000.0,4837000000.0,4635000000.0
Other Properties,,756000000.0,769000000.0,766000000.0
Machinery Furniture Equipment,3532000000.0,3008000000.0,2753000000.0,2682000000.0
Buildings And Improvements,1605000000.0,1251000000.0,1236000000.0,1097000000.0
Land And Improvements,184000000.0,78000000.0,79000000.0,90000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,8055000000.0,6754000000.0,6359000000.0,6667000000.0
Other Current Assets,491000000.0,298000000.0,272000000.0,246000000.0
Assets Held For Sale Current,1106000000.0,47000000.0,0.0,35000000.0
Prepaid Assets,,,48000000.0,61000000.0
Inventory,1472000000.0,1291000000.0,982000000.0,973000000.0
Finished Goods,217000000.0,181000000.0,141000000.0,136000000.0
Work In Process,427000000.0,396000000.0,335000000.0,367000000.0
Raw Materials,828000000.0,714000000.0,506000000.0,470000000.0
Receivables,4426000000.0,4238000000.0,4164000000.0,4076000000.0
Other Receivables,3196000000.0,2987000000.0,3021000000.0,2437000000.0
Taxes Receivable,,40000000.0,98000000.0,295000000.0
Accounts Receivable,1230000000.0,1251000000.0,1045000000.0,1344000000.0
Allowance For Doubtful Accounts Receivable,-15000000.0,-40000000.0,-43000000.0,-25000000.0
Gross Accounts Receivable,1245000000.0,1291000000.0,1088000000.0,1369000000.0
Cash Cash Equivalents And Short Term Investments,560000000.0,880000000.0,941000000.0,1276000000.0
Cash And Cash Equivalents,560000000.0,880000000.0,941000000.0,1276000000.0
