,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,99200000.0,94500000.0,88100000.0,82200000.0,
Ordinary Shares Number,198000000.0,202700000.0,209100000.0,215000000.0,
Share Issued,297200000.0,297200000.0,297200000.0,297200000.0,
Net Debt,1218500000.0,1312300000.0,378500000.0,210700000.0,
Total Debt,6503500000.0,6494100000.0,6647400000.0,6925200000.0,
Tangible Book Value,-6832900000.0,-6795600000.0,-6766400000.0,-6823800000.0,
Invested Capital,9266800000.0,8846200000.0,8965500000.0,8895600000.0,
Working Capital,-861800000.0,-439800000.0,-316700000.0,65000000.0,
Net Tangible Assets,-6832900000.0,-6795600000.0,-6766400000.0,-6823800000.0,
Capital Lease Obligations,853000000.0,900000000.0,952100000.0,1114000000.0,
Common Stock Equity,3616300000.0,3252100000.0,3270200000.0,3084400000.0,
Total Capitalization,8505400000.0,8829300000.0,8955900000.0,8891700000.0,
Total Equity Gross Minority Interest,4639700000.0,4159300000.0,4119000000.0,3576900000.0,
Minority Interest,1023400000.0,907200000.0,848800000.0,492500000.0,
Stockholders Equity,3616300000.0,3252100000.0,3270200000.0,3084400000.0,
Gains Losses Not Affecting Retained Earnings,-1337600000.0,-1437900000.0,-1252300000.0,-1213800000.0,
Other Equity Adjustments,-1337600000.0,-1437900000.0,-1252300000.0,-1213800000.0,
Treasury Stock,6154200000.0,5665000000.0,5142900000.0,4684800000.0,
Retained Earnings,10571500000.0,9739300000.0,8998800000.0,8190600000.0,
Additional Paid In Capital,492000000.0,571100000.0,622000000.0,747800000.0,
Capital Stock,44600000.0,44600000.0,44600000.0,44600000.0,
Common Stock,44600000.0,44600000.0,44600000.0,44600000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,23404900000.0,22843200000.0,24302800000.0,24070300000.0,
Total Non Current Liabilities Net Minority Interest,7158900000.0,7790400000.0,8076600000.0,8545200000.0,
Other Non Current Liabilities,887700000.0,837500000.0,961500000.0,970700000.0,
Preferred Securities Outside Stock Equity,,,345300000.0,209700000.0,207300000.0
Derivative Product Liabilities,,600000.0,1300000.0,,
Non Current Deferred Liabilities,529100000.0,475700000.0,477300000.0,443500000.0,
Non Current Deferred Taxes Liabilities,529100000.0,475700000.0,477300000.0,443500000.0,
Long Term Debt And Capital Lease Obligation,5742100000.0,6477200000.0,6637800000.0,6921300000.0,
Long Term Capital Lease Obligation,853000000.0,900000000.0,952100000.0,1114000000.0,
Long Term Debt,4889100000.0,5577200000.0,5685700000.0,5807300000.0,
Current Liabilities,16246000000.0,15052800000.0,16226200000.0,15525100000.0,
Other Current Liabilities,2142800000.0,2243400000.0,2411600000.0,2402400000.0,
Current Deferred Liabilities,1356200000.0,1492300000.0,1644500000.0,1361300000.0,
Current Deferred Revenue,1356200000.0,1492300000.0,1644500000.0,1361300000.0,
Current Debt And Capital Lease Obligation,761400000.0,16900000.0,9600000.0,3900000.0,
Current Debt,761400000.0,16900000.0,9600000.0,3900000.0,
Other Current Borrowings,750500000.0,,,3900000.0,612500000.0
Line Of Credit,10900000.0,16900000.0,9600000.0,3900000.0,
Payables And Accrued Expenses,11985600000.0,11300200000.0,12160500000.0,11757500000.0,
Payables,11985600000.0,11300200000.0,12160500000.0,11757500000.0,
Total Tax Payable,351600000.0,300000000.0,263300000.0,244500000.0,
Accounts Payable,11634000000.0,11000200000.0,11897200000.0,11513000000.0,
Total Assets,28044600000.0,27002500000.0,28421800000.0,27647200000.0,
Total Non Current Assets,12660400000.0,12389500000.0,12512300000.0,12057100000.0,
Other Non Current Assets,223500000.0,210500000.0,204400000.0,255000000.0,
Investments And Advances,66400000.0,66200000.0,76300000.0,85300000.0,
Long Term Equity Investment,66400000.0,66200000.0,76300000.0,85300000.0,
Goodwill And Other Intangible Assets,10449200000.0,10047700000.0,10036600000.0,9908200000.0,
Other Intangible Assets,366900000.0,313400000.0,298000000.0,298500000.0,
Goodwill,10082300000.0,9734300000.0,9738600000.0,9609700000.0,
Net PPE,1921300000.0,2065100000.0,2195000000.0,1808600000.0,
Accumulated Depreciation,-1150400000.0,-1167500000.0,-1165700000.0,-1156700000.0,
Gross PPE,3071700000.0,3232600000.0,3360700000.0,2965300000.0,
Other Properties,3071700000.0,3232600000.0,3360700000.0,2965300000.0,
Current Assets,15384200000.0,14613000000.0,15909500000.0,15590100000.0,
Other Current Assets,949900000.0,918800000.0,919200000.0,1075000000.0,
Inventory,1342500000.0,1254600000.0,1201000000.0,1101200000.0,
Work In Process,1342500000.0,1254600000.0,1201000000.0,1101200000.0,
Receivables,8659800000.0,8097100000.0,8472500000.0,7813400000.0,
Accounts Receivable,8659800000.0,8097100000.0,8472500000.0,7813400000.0,
Allowance For Doubtful Accounts Receivable,-17200000.0,-24700000.0,-21700000.0,-30400000.0,
Gross Accounts Receivable,8677000000.0,8121800000.0,8494200000.0,7843800000.0,
Cash Cash Equivalents And Short Term Investments,4432000000.0,4342500000.0,5316800000.0,5600500000.0,
Other Short Term Investments,0.0,60700000.0,0.0,0.0,
Cash And Cash Equivalents,4432000000.0,4281800000.0,5316800000.0,5600500000.0,
