,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,0.0,,,,
Ordinary Shares Number,2200127714.0,2099075000.0,2027474000.0,1792139544.0,
Share Issued,2200127714.0,2099075000.0,2027474000.0,1792139544.0,
Total Debt,229392000.0,249404000.0,260073000.0,456856000.0,
Tangible Book Value,3475561000.0,2565326000.0,2291030000.0,1522550000.0,
Invested Capital,3475561000.0,2565326000.0,2291030000.0,1720527000.0,
Working Capital,3392600000.0,2453636000.0,2203189000.0,1653606000.0,
Net Tangible Assets,3475561000.0,2565326000.0,2291030000.0,1522550000.0,
Capital Lease Obligations,229392000.0,249404000.0,260073000.0,258879000.0,
Common Stock Equity,3475561000.0,2565326000.0,2291030000.0,1522550000.0,
Total Capitalization,3475561000.0,2565326000.0,2291030000.0,1720527000.0,
Total Equity Gross Minority Interest,3560965000.0,2642437000.0,2291030000.0,1522550000.0,
Minority Interest,85404000.0,77111000.0,0.0,,
Stockholders Equity,3475561000.0,2565326000.0,2291030000.0,1522550000.0,
Gains Losses Not Affecting Retained Earnings,801000.0,-5333000.0,-2349000.0,-2745000.0,
Other Equity Adjustments,801000.0,-5333000.0,-2349000.0,-2745000.0,
Treasury Stock,,,,0.0,38895000.0
Retained Earnings,-5649613000.0,-5859438000.0,-5485733000.0,-4965354000.0,
Additional Paid In Capital,9122173000.0,8427998000.0,7777085000.0,6488857000.0,
Capital Stock,2200000.0,2099000.0,2027000.0,1792000.0,
Common Stock,2200000.0,2099000.0,2027000.0,1792000.0,
Preferred Stock,,,0.0,0.0,
Total Liabilities Net Minority Interest,961460000.0,818802000.0,956420000.0,1167954000.0,
Total Non Current Liabilities Net Minority Interest,215442000.0,230861000.0,296359000.0,564131000.0,
Other Non Current Liabilities,10702000.0,12655000.0,2297000.0,4316000.0,
Preferred Securities Outside Stock Equity,,,,0.0,2127231000.0
Derivative Product Liabilities,,,,,42628000.0
Non Current Deferred Liabilities,29524000.0,13901000.0,73916000.0,132038000.0,
Non Current Deferred Revenue,29524000.0,13901000.0,73916000.0,132038000.0,
Long Term Debt And Capital Lease Obligation,175216000.0,204305000.0,220146000.0,427777000.0,
Long Term Capital Lease Obligation,175216000.0,204305000.0,220146000.0,229800000.0,
Long Term Debt,,,,197977000.0,396065000.0
Current Liabilities,746018000.0,587941000.0,660061000.0,603823000.0,
Current Deferred Liabilities,456729000.0,325339000.0,389421000.0,399840000.0,
Current Deferred Revenue,456729000.0,325339000.0,389421000.0,399840000.0,
Current Debt And Capital Lease Obligation,54176000.0,45099000.0,39927000.0,29079000.0,
Current Capital Lease Obligation,54176000.0,45099000.0,39927000.0,29079000.0,
Payables And Accrued Expenses,235113000.0,217503000.0,230713000.0,174904000.0,
Current Accrued Expenses,175734000.0,131389000.0,133256000.0,158546000.0,
Payables,59379000.0,86114000.0,97457000.0,16358000.0,
Total Tax Payable,47257000.0,41326000.0,22550000.0,,
Accounts Payable,12122000.0,44788000.0,74907000.0,16358000.0,
Total Assets,4522425000.0,3461239000.0,3247450000.0,2690504000.0,
Total Non Current Assets,383807000.0,419662000.0,384200000.0,433075000.0,
Other Non Current Assets,153186000.0,150252000.0,135998000.0,186459000.0,
Investments And Advances,,,,,26145000.0
Long Term Equity Investment,,,,,26145000.0
Net PPE,230621000.0,269410000.0,248202000.0,246616000.0,
Accumulated Depreciation,-102158000.0,-82412000.0,-69930000.0,-88399000.0,
Gross PPE,332779000.0,351822000.0,318132000.0,335015000.0,
Leases,83139000.0,80378000.0,72834000.0,85196000.0,
Construction In Progress,2099000.0,5506000.0,3126000.0,493000.0,
Other Properties,182863000.0,200240000.0,216898000.0,217075000.0,
Machinery Furniture Equipment,64678000.0,65698000.0,25274000.0,32251000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,4138618000.0,3041577000.0,2863250000.0,2257429000.0,
Other Current Assets,99285000.0,133312000.0,110872000.0,51889000.0,
Restricted Cash,370000.0,16244000.0,36628000.0,37285000.0,
Prepaid Assets,,,110872000.0,51889000.0,32585000.0
Receivables,364784000.0,258346000.0,190923000.0,156932000.0,
Accounts Receivable,364784000.0,258346000.0,190923000.0,156932000.0,
Cash Cash Equivalents And Short Term Investments,3674179000.0,2633675000.0,2524827000.0,2011323000.0,
Other Short Term Investments,2843132000.0,35135000.0,234153000.0,0.0,
Cash And Cash Equivalents,831047000.0,2598540000.0,2290674000.0,2011323000.0,
