,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Treasury Shares Number,,,,13331250.0
Ordinary Shares Number,529013580.0,523110000.0,505820780.0,524087030.0
Share Issued,529013580.0,523110000.0,505820780.0,537418280.0
Net Debt,,329367000.0,,
Total Debt,290302000.0,596764000.0,119051000.0,53813000.0
Tangible Book Value,1972005000.0,1425575000.0,1096225000.0,1065540000.0
Invested Capital,2262307000.0,2022339000.0,1194415000.0,1094941000.0
Working Capital,1804774000.0,1336291000.0,898363000.0,885126000.0
Net Tangible Assets,1972005000.0,1425575000.0,1096225000.0,1065540000.0
Capital Lease Obligations,,23800000.0,20861000.0,24412000.0
Common Stock Equity,1972005000.0,1425575000.0,1096225000.0,1065540000.0
Total Capitalization,2092184000.0,1573193000.0,1130925000.0,1071237000.0
Total Equity Gross Minority Interest,1972170000.0,1425747000.0,1096398000.0,1065707000.0
Minority Interest,165000.0,172000.0,173000.0,167000.0
Stockholders Equity,1972005000.0,1425575000.0,1096225000.0,1065540000.0
Gains Losses Not Affecting Retained Earnings,639000.0,911000.0,453000.0,-152000.0
Other Equity Adjustments,639000.0,911000.0,453000.0,-152000.0
Treasury Stock,,0.0,0.0,20491000.0
Retained Earnings,1433014000.0,942923000.0,657760000.0,696211000.0
Capital Stock,538352000.0,481741000.0,438012000.0,389972000.0
Common Stock,538352000.0,481741000.0,438012000.0,389972000.0
Total Liabilities Net Minority Interest,1702559000.0,1779330000.0,1145566000.0,852939000.0
Total Non Current Liabilities Net Minority Interest,327907000.0,309306000.0,176670000.0,145304000.0
Other Non Current Liabilities,37947000.0,39140000.0,6074000.0,6002000.0
Non Current Accrued Expenses,,21930000.0,20519000.0,17891000.0
Non Current Deferred Liabilities,169781000.0,122548000.0,100838000.0,97612000.0
Non Current Deferred Revenue,169781000.0,122548000.0,100838000.0,97612000.0
Long Term Debt And Capital Lease Obligation,120179000.0,147618000.0,49239000.0,23799000.0
Long Term Capital Lease Obligation,,16661000.0,14539000.0,18102000.0
Long Term Debt,120179000.0,147618000.0,34700000.0,5697000.0
Long Term Provisions,,,,2395000.0
Current Liabilities,1374652000.0,1470024000.0,968896000.0,707635000.0
Current Deferred Liabilities,134667000.0,111313000.0,179217000.0,152348000.0
Current Deferred Revenue,134667000.0,111313000.0,179217000.0,152348000.0
Current Debt And Capital Lease Obligation,170123000.0,449146000.0,69812000.0,30014000.0
Current Capital Lease Obligation,,7139000.0,6322000.0,6310000.0
Current Debt,170123000.0,449146000.0,63490000.0,23704000.0
Other Current Borrowings,170123000.0,449146000.0,63490000.0,23704000.0
Current Provisions,,,,9984000.0
Payables And Accrued Expenses,1069862000.0,909565000.0,719867000.0,525273000.0
Current Accrued Expenses,163865000.0,212419000.0,94790000.0,102900000.0
Payables,905997000.0,697146000.0,625077000.0,422373000.0
Total Tax Payable,129166000.0,41743000.0,12741000.0,4700000.0
Income Tax Payable,129166000.0,41743000.0,12741000.0,4700000.0
Accounts Payable,776831000.0,655403000.0,612336000.0,417673000.0
Total Assets,3674729000.0,3205077000.0,2241964000.0,1918646000.0
Total Non Current Assets,495303000.0,398762000.0,374705000.0,325885000.0
Other Non Current Assets,42409000.0,42861000.0,1460000.0,1735000.0
Non Current Prepaid Assets,,3080000.0,3642000.0,2777000.0
Non Current Deferred Assets,162654000.0,69929000.0,68709000.0,59530000.0
Non Current Deferred Taxes Assets,162654000.0,69929000.0,63288000.0,54898000.0
Investments And Advances,,6919000.0,6134000.0,4274000.0
Other Investments,,1590000.0,1556000.0,1571000.0
Investmentin Financial Assets,,,,128000.0
Available For Sale Securities,,,,128000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,,,1571000.0
Long Term Equity Investment,,5329000.0,4578000.0,2703000.0
Net PPE,290240000.0,285972000.0,294760000.0,257569000.0
Accumulated Depreciation,-189387000.0,-167758000.0,-145822000.0,-126746000.0
Gross PPE,479627000.0,453730000.0,440582000.0,384315000.0
Construction In Progress,303000.0,303000.0,87438000.0,46311000.0
Other Properties,,23679000.0,20047000.0,23784000.0
Machinery Furniture Equipment,189552000.0,170268000.0,143106000.0,127522000.0
Buildings And Improvements,203130000.0,198543000.0,113570000.0,111447000.0
Land And Improvements,86642000.0,84616000.0,76421000.0,75251000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,3179426000.0,2806315000.0,1867259000.0,1592761000.0
Other Current Assets,117412000.0,134387000.0,6116000.0,4507000.0
Current Deferred Assets,,5562000.0,4900000.0,4161000.0
Restricted Cash,,251000.0,251000.0,250000.0
Prepaid Assets,,7984000.0,19007000.0,21398000.0
Inventory,1445564000.0,1545606000.0,1040964000.0,851498000.0
Finished Goods,1045177000.0,1025555000.0,761694000.0,656817000.0
Work In Process,71874000.0,310475000.0,80472000.0,38146000.0
Raw Materials,328513000.0,209576000.0,198798000.0,156535000.0
Receivables,1175991000.0,858925000.0,563755000.0,500414000.0
Other Receivables,,138054000.0,99921000.0,96669000.0
Duefrom Related Parties Current,27732000.0,24412000.0,,
Accounts Receivable,1148259000.0,834513000.0,463834000.0,403745000.0
Allowance For Doubtful Accounts Receivable,-82000.0,-1753000.0,-2591000.0,-4586000.0
Gross Accounts Receivable,1148341000.0,836266000.0,466425000.0,408331000.0
Cash Cash Equivalents And Short Term Investments,440459000.0,267397000.0,232266000.0,210533000.0
Cash And Cash Equivalents,440459000.0,267397000.0,232266000.0,210533000.0
