,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,172710593.0,172709175.0,172709175.0
Share Issued,172710593.0,172709175.0,172709175.0
Net Debt,7703000000.0,,
Total Debt,8303000000.0,,
Tangible Book Value,-6028000000.0,2056000000.0,1732000000.0
Invested Capital,11712000000.0,11742000000.0,12059000000.0
Working Capital,1145000000.0,920000000.0,783000000.0
Net Tangible Assets,-6028000000.0,2056000000.0,1732000000.0
Common Stock Equity,3409000000.0,11742000000.0,12059000000.0
Total Capitalization,11712000000.0,11742000000.0,12059000000.0
Total Equity Gross Minority Interest,3409000000.0,11742000000.0,12059000000.0
Stockholders Equity,3409000000.0,11742000000.0,12059000000.0
Other Equity Interest,,12239000000.0,12259000000.0
Gains Losses Not Affecting Retained Earnings,-822000000.0,-497000000.0,-200000000.0
Other Equity Adjustments,-822000000.0,,
Foreign Currency Translation Adjustments,,-504000000.0,-173000000.0
Minimum Pension Liabilities,,7000000.0,-27000000.0
Additional Paid In Capital,4229000000.0,,
Capital Stock,2000000.0,,
Common Stock,2000000.0,,
Total Liabilities Net Minority Interest,10968000000.0,1852000000.0,2016000000.0
Total Non Current Liabilities Net Minority Interest,9197000000.0,541000000.0,610000000.0
Other Non Current Liabilities,224000000.0,235000000.0,245000000.0
Employee Benefits,431000000.0,91000000.0,147000000.0
Non Current Pension And Other Postretirement Benefit Plans,431000000.0,91000000.0,147000000.0
Non Current Deferred Liabilities,239000000.0,215000000.0,218000000.0
Non Current Deferred Taxes Liabilities,239000000.0,215000000.0,218000000.0
Long Term Debt And Capital Lease Obligation,8303000000.0,,
Long Term Debt,8303000000.0,,
Current Liabilities,1771000000.0,1311000000.0,1406000000.0
Other Current Liabilities,729000000.0,171000000.0,187000000.0
Current Deferred Liabilities,574000000.0,559000000.0,574000000.0
Current Deferred Revenue,574000000.0,559000000.0,574000000.0
Pensionand Other Post Retirement Benefit Plans Current,,65000000.0,136000000.0
Payables And Accrued Expenses,468000000.0,516000000.0,509000000.0
Current Accrued Expenses,,168000000.0,189000000.0
Payables,468000000.0,348000000.0,320000000.0
Accounts Payable,468000000.0,348000000.0,320000000.0
Total Assets,14377000000.0,13594000000.0,14075000000.0
Total Non Current Assets,11461000000.0,11363000000.0,11886000000.0
Other Non Current Assets,558000000.0,358000000.0,253000000.0
Goodwill And Other Intangible Assets,9437000000.0,9686000000.0,10327000000.0
Other Intangible Assets,2902000000.0,3252000000.0,3661000000.0
Goodwill,6535000000.0,6434000000.0,6666000000.0
Net PPE,1466000000.0,1319000000.0,1306000000.0
Accumulated Depreciation,,-1771000000.0,-1674000000.0
Gross PPE,,3090000000.0,2980000000.0
Construction In Progress,,240000000.0,219000000.0
Other Properties,,29000000.0,33000000.0
Machinery Furniture Equipment,,1965000000.0,1920000000.0
Buildings And Improvements,,856000000.0,808000000.0
Properties,,0.0,0.0
Current Assets,2916000000.0,2231000000.0,2189000000.0
Other Current Assets,154000000.0,126000000.0,108000000.0
Inventory,869000000.0,873000000.0,813000000.0
Finished Goods,,468000000.0,408000000.0
Work In Process,,173000000.0,191000000.0
Raw Materials,,232000000.0,214000000.0
Receivables,1293000000.0,1171000000.0,1177000000.0
Duefrom Related Parties Current,180000000.0,,
Accounts Receivable,1113000000.0,1171000000.0,1177000000.0
Cash Cash Equivalents And Short Term Investments,600000000.0,61000000.0,91000000.0
Cash And Cash Equivalents,600000000.0,61000000.0,91000000.0
