,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,16983364.0,15959628.0,14295983.0,14355621.0,
Preferred Shares Number,796948.0,796948.0,796948.0,796948.0,
Ordinary Shares Number,325920522.0,326953791.0,328619625.0,328501416.0,
Share Issued,342903886.0,342913419.0,342915608.0,342857037.0,
Net Debt,24803837000.0,24275213000.0,24723641000.0,25646978000.0,
Total Debt,26518284000.0,25458239000.0,25827953000.0,27238853000.0,
Tangible Book Value,2952917000.0,3059219000.0,3266313000.0,2942325000.0,
Invested Capital,28954556000.0,27993930000.0,28577266000.0,29655972000.0,
Working Capital,132362000.0,-1085907000.0,-1171033000.0,-1285124000.0,
Net Tangible Assets,2994023000.0,3100654000.0,3308076000.0,2984416000.0,
Capital Lease Obligations,545456000.0,561398000.0,570376000.0,580262000.0,
Common Stock Equity,2981728000.0,3097089000.0,3319689000.0,2997381000.0,
Preferred Stock Equity,41106000.0,41435000.0,41763000.0,42091000.0,
Total Capitalization,28995662000.0,28035365000.0,28119029000.0,29075043000.0,
Total Equity Gross Minority Interest,3687598000.0,3823891000.0,4400725000.0,3658238000.0,
Minority Interest,664764000.0,685367000.0,1039273000.0,618766000.0,
Stockholders Equity,3022834000.0,3138524000.0,3361452000.0,3039472000.0,
Gains Losses Not Affecting Retained Earnings,-172787000.0,-164873000.0,-185186000.0,-188675000.0,
Other Equity Adjustments,-172787000.0,-164873000.0,-185186000.0,-188675000.0,
Treasury Stock,2156178000.0,2043979000.0,1884441000.0,1891352000.0,
Retained Earnings,-6095576000.0,-5926974000.0,-5823708000.0,-6102314000.0,
Additional Paid In Capital,11406236000.0,11232881000.0,11212990000.0,11179688000.0,
Capital Stock,41139000.0,41469000.0,41797000.0,42125000.0,
Common Stock,33000.0,34000.0,34000.0,34000.0,
Preferred Stock,41106000.0,41435000.0,41763000.0,42091000.0,
Total Liabilities Net Minority Interest,30595897000.0,29187383000.0,29376654000.0,31128608000.0,
Total Non Current Liabilities Net Minority Interest,27139885000.0,25993975000.0,25868865000.0,27129348000.0,
Other Non Current Liabilities,621601000.0,535736000.0,540912000.0,513515000.0,
Preferred Securities Outside Stock Equity,,,547740000.0,185892000.0,219061000.0
Long Term Debt And Capital Lease Obligation,26518284000.0,25458239000.0,25327953000.0,26615833000.0,
Long Term Capital Lease Obligation,545456000.0,561398000.0,570376000.0,580262000.0,
Long Term Debt,25972828000.0,24896841000.0,24757577000.0,26035571000.0,
Current Liabilities,3456012000.0,3193408000.0,3507789000.0,3999260000.0,
Current Debt And Capital Lease Obligation,,,500000000.0,623020000.0,1327050000.0
Current Debt,,,500000000.0,623020000.0,1327050000.0
Commercial Paper,,0.0,500000000.0,623020000.0,1327050000.0
Payables And Accrued Expenses,3456012000.0,3193408000.0,3007789000.0,3376240000.0,
Payables,3456012000.0,3193408000.0,3007789000.0,3376240000.0,
Dividends Payable,1762764000.0,1701825000.0,1574573000.0,2064315000.0,
Accounts Payable,1693248000.0,1491583000.0,1433216000.0,1311925000.0,
Total Assets,34283495000.0,33011274000.0,33777379000.0,34786846000.0,
Total Non Current Assets,30695120000.0,30903773000.0,31440623000.0,32072710000.0,
Non Current Deferred Assets,77811000.0,97553000.0,109155000.0,169651000.0,
Investments And Advances,8536075000.0,8508257000.0,8462734000.0,8176830000.0,
Investmentin Financial Assets,417836000.0,361537000.0,420314000.0,391672000.0,
Long Term Equity Investment,8118239000.0,8146720000.0,8042420000.0,7785158000.0,
Investmentsin Joint Venturesat Cost,4577591000.0,4635457000.0,4967045000.0,5181587000.0,
Investments In Other Ventures Under Equity Method,3540648000.0,3511263000.0,3075375000.0,2603571000.0,
Investment Properties,21568350000.0,21763163000.0,22311239000.0,23158259000.0,
Goodwill And Other Intangible Assets,28811000.0,37870000.0,53376000.0,55056000.0,
Other Intangible Assets,8713000.0,17772000.0,33278000.0,34958000.0,
Goodwill,20098000.0,20098000.0,20098000.0,20098000.0,
Net PPE,484073000.0,496930000.0,504119000.0,512914000.0,
Gross PPE,484073000.0,496930000.0,504119000.0,512914000.0,
Other Properties,484073000.0,496930000.0,504119000.0,512914000.0,
Current Assets,3588374000.0,2107501000.0,2336756000.0,2714136000.0,
Restricted Cash,,0.0,345000000.0,0.0,
Prepaid Assets,,662333000.0,538166000.0,465789000.0,492582000.0
Receivables,1419383000.0,1485873000.0,1457820000.0,1702523000.0,
Notes Receivable,593257000.0,662333000.0,538166000.0,465789000.0,
Accounts Receivable,826126000.0,823540000.0,919654000.0,1236734000.0,
Cash Cash Equivalents And Short Term Investments,2168991000.0,621628000.0,533936000.0,1011613000.0,
Other Short Term Investments,1000000000.0,0.0,,,
Cash And Cash Equivalents,1168991000.0,621628000.0,533936000.0,1011613000.0,
