,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Treasury Shares Number,427108909.0,395767929.0,307154479.0,249975134.0,
Preferred Shares Number,30000000.0,30000000.0,30000000.0,30000000.0,
Ordinary Shares Number,406875775.0,438216755.0,526830205.0,584009550.0,
Share Issued,833984684.0,833984684.0,833984684.0,833984684.0,
Net Debt,1723000000.0,3897000000.0,6170000000.0,4251000000.0,
Total Debt,15982000000.0,14191000000.0,14507000000.0,15775000000.0,
Tangible Book Value,11336000000.0,10292000000.0,10648000000.0,9764000000.0,
Invested Capital,29151000000.0,26330000000.0,27428000000.0,27742000000.0,
Net Tangible Assets,12070000000.0,11026000000.0,11382000000.0,10498000000.0,
Common Stock Equity,13169000000.0,12139000000.0,12921000000.0,11967000000.0,
Preferred Stock Equity,734000000.0,734000000.0,734000000.0,734000000.0,
Total Capitalization,29885000000.0,27064000000.0,28162000000.0,28476000000.0,
Total Equity Gross Minority Interest,13903000000.0,12873000000.0,13655000000.0,12701000000.0,
Stockholders Equity,13903000000.0,12873000000.0,13655000000.0,12701000000.0,
Gains Losses Not Affecting Retained Earnings,-68000000.0,-125000000.0,-69000000.0,-51000000.0,
Foreign Currency Translation Adjustments,-38000000.0,-38000000.0,-26000000.0,-22000000.0,
Minimum Pension Liabilities,3000000.0,6000000.0,-47000000.0,-54000000.0,
Unrealized Gain Loss,-33000000.0,-93000000.0,4000000.0,25000000.0,
Treasury Stock,15201000000.0,14171000000.0,10925000000.0,8174000000.0,
Retained Earnings,18662000000.0,16716000000.0,14245000000.0,10621000000.0,
Additional Paid In Capital,9775000000.0,9718000000.0,9669000000.0,9570000000.0,
Capital Stock,735000000.0,735000000.0,735000000.0,735000000.0,
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0,
Preferred Stock,734000000.0,734000000.0,734000000.0,734000000.0,
Total Liabilities Net Minority Interest,103576000000.0,91691000000.0,82093000000.0,83247000000.0,
Long Term Debt And Capital Lease Obligation,15982000000.0,14191000000.0,14507000000.0,15775000000.0,
Long Term Debt,15982000000.0,14191000000.0,14507000000.0,15775000000.0,
Payables And Accrued Expenses,,5765000000.0,5316000000.0,4690000000.0,4718000000.0
Current Accrued Expenses,,5765000000.0,5316000000.0,4690000000.0,4718000000.0
Total Assets,117479000000.0,104564000000.0,95748000000.0,95948000000.0,
Investments And Advances,3799000000.0,4879000000.0,5283000000.0,7469000000.0,
Available For Sale Securities,,,,6627000000.0,4885000000.0
Goodwill And Other Intangible Assets,1833000000.0,1847000000.0,2273000000.0,2203000000.0,
Other Intangible Assets,815000000.0,742000000.0,1168000000.0,1125000000.0,
Goodwill,1018000000.0,1105000000.0,1105000000.0,1078000000.0,
Other Short Term Investments,3799000000.0,4879000000.0,5283000000.0,7469000000.0,
Cash And Cash Equivalents,14259000000.0,10294000000.0,8337000000.0,11524000000.0,
