,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,-1420100000.0,303700000.0,877700000.0,755700000.0
Repayment Of Debt,-615400000.0,-400000000.0,-462900000.0,-406600000.0
Issuance Of Debt,3516200000.0,766200000.0,178900000.0,4895800000.0
Capital Expenditure,-4626400000.0,-2926500000.0,-2464200000.0,-2509000000.0
End Cash Position,1617000000.0,2711000000.0,4468900000.0,5253000000.0
Beginning Cash Position,2711000000.0,4468900000.0,5253000000.0,2248700000.0
Effect Of Exchange Rate Changes,6500000.0,-130300000.0,27800000.0,14900000.0
Changes In Cash,-1100500000.0,-1627600000.0,-811900000.0,2989400000.0
Financing Cash Flow,1609600000.0,-1000600000.0,-1420900000.0,3284700000.0
Cash From Discontinued Financing Activities,0.0,0.0,0.0,0.0
Cash Flow From Continuing Financing Activities,1609600000.0,-1000600000.0,-1420900000.0,3284700000.0
Net Other Financing Charges,-86800000.0,-20700000.0,108200000.0,-80100000.0
Proceeds From Stock Option Exercised,24000000.0,19300000.0,10600000.0,34100000.0
Cash Dividends Paid,-1496600000.0,-1383300000.0,-1256700000.0,-1103600000.0
Common Stock Dividend Paid,-1496600000.0,-1383300000.0,-1256700000.0,-1103600000.0
Net Issuance Payments Of Debt,3169000000.0,384100000.0,-283000000.0,4434300000.0
Net Short Term Debt Issuance,268200000.0,17900000.0,1000000.0,-54900000.0
Net Long Term Debt Issuance,2900800000.0,366200000.0,-284000000.0,4489200000.0
Long Term Debt Payments,-615400000.0,-400000000.0,-462900000.0,-406600000.0
Long Term Debt Issuance,3516200000.0,766200000.0,178900000.0,4895800000.0
Investing Cash Flow,-5916400000.0,-3857200000.0,-2732900000.0,-3560000000.0
Cash From Discontinued Investing Activities,0.0,0.0,0.0,0.0
Cash Flow From Continuing Investing Activities,-5916400000.0,-3857200000.0,-2732900000.0,-3560000000.0
Net Other Investing Changes,-634900000.0,53200000.0,43300000.0,84200000.0
Net Investment Purchase And Sale,256900000.0,739600000.0,-225500000.0,-927500000.0
Sale Of Investment,897000000.0,2377400000.0,1875200000.0,1938000000.0
Purchase Of Investment,-640100000.0,-1637800000.0,-2100700000.0,-2865500000.0
Net Business Purchase And Sale,-912000000.0,-1723500000.0,-86500000.0,-207700000.0
Purchase Of Business,-912000000.0,-1723500000.0,-86500000.0,-207700000.0
Net PPE Purchase And Sale,-4626400000.0,-2926500000.0,-2464200000.0,-2509000000.0
Purchase Of PPE,-4626400000.0,-2926500000.0,-2464200000.0,-2509000000.0
Operating Cash Flow,3206300000.0,3230200000.0,3341900000.0,3264700000.0
Cash From Discontinued Operating Activities,600000.0,59600000.0,6700000.0,0.0
Cash Flow From Continuing Operating Activities,3205700000.0,3170600000.0,3335200000.0,3264700000.0
Change In Working Capital,-424800000.0,-115800000.0,16700000.0,-40100000.0
Change In Other Working Capital,-119000000.0,-77000000.0,-69000000.0,-130600000.0
Change In Payables And Accrued Expense,-213300000.0,532500000.0,187900000.0,-31900000.0
Change In Inventory,-129400000.0,-94300000.0,-47200000.0,-5200000.0
Change In Receivables,36900000.0,-477000000.0,-55000000.0,127600000.0
Changes In Account Receivables,130700000.0,-475200000.0,-130500000.0,43200000.0
Other Non Cash Items,-23400000.0,-210900000.0,-17900000.0,208000000.0
Stock Based Compensation,59900000.0,48400000.0,44500000.0,53500000.0
Asset Impairment Charge,0.0,0.0,23200000.0,0.0
Deferred Tax,-24700000.0,32300000.0,94000000.0,165000000.0
Deferred Income Tax,-24700000.0,32300000.0,94000000.0,165000000.0
Depreciation Amortization Depletion,1358300000.0,1338200000.0,1321300000.0,1185000000.0
Depreciation And Amortization,1358300000.0,1338200000.0,1321300000.0,1185000000.0
Amortization Cash Flow,32500000.0,35500000.0,37200000.0,34500000.0
Amortization Of Intangibles,32500000.0,35500000.0,37200000.0,34500000.0
Depreciation,1325800000.0,1302700000.0,1284100000.0,1150500000.0
Operating Gains Losses,-32400000.0,-165100000.0,-175400000.0,-207700000.0
Earnings Losses From Equity Investments,-261200000.0,-214700000.0,-138200000.0,-161900000.0
Gain Loss On Sale Of Business,244600000.0,73700000.0,0.0,0.0
Net Income From Continuing Operations,2292800000.0,2243500000.0,2028800000.0,1901000000.0
