,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,565000000.0,558000000.0,694000000.0,723000000.0,
Repurchase Of Capital Stock,-177000000.0,-240000000.0,0.0,-216000000.0,
Repayment Of Debt,-451000000.0,-13000000.0,-699000000.0,-331000000.0,
Issuance Of Debt,18000000.0,5000000.0,1286000000.0,1186000000.0,
Capital Expenditure,-832000000.0,-622000000.0,-516000000.0,-461000000.0,
Interest Paid Supplemental Data,126000000.0,131000000.0,127000000.0,97000000.0,
Income Tax Paid Supplemental Data,362000000.0,268000000.0,290000000.0,205000000.0,
End Cash Position,1534000000.0,1338000000.0,1844000000.0,1650000000.0,
Beginning Cash Position,1338000000.0,1844000000.0,1650000000.0,832000000.0,
Effect Of Exchange Rate Changes,0.0,-90000000.0,-3000000.0,63000000.0,
Changes In Cash,196000000.0,-416000000.0,197000000.0,755000000.0,
Cash Flow From Discontinued Operation,-87000000.0,288000000.0,-58000000.0,,
Financing Cash Flow,-521000000.0,-564000000.0,294000000.0,437000000.0,
Cash Flow From Continuing Financing Activities,-521000000.0,-564000000.0,294000000.0,437000000.0,
Net Other Financing Charges,244000000.0,-137000000.0,-116000000.0,-43000000.0,
Proceeds From Stock Option Exercised,-25000000.0,-18000000.0,-15000000.0,-13000000.0,
Cash Dividends Paid,-130000000.0,-161000000.0,-162000000.0,-146000000.0,
Common Stock Dividend Paid,,-161000000.0,-162000000.0,-146000000.0,-140000000.0
Net Common Stock Issuance,-177000000.0,-240000000.0,0.0,-216000000.0,
Common Stock Payments,-177000000.0,-240000000.0,0.0,-216000000.0,
Net Issuance Payments Of Debt,-433000000.0,-8000000.0,587000000.0,855000000.0,
Net Short Term Debt Issuance,,,,8000000.0,0.0
Net Long Term Debt Issuance,-433000000.0,-8000000.0,587000000.0,855000000.0,
Long Term Debt Payments,-451000000.0,-13000000.0,-699000000.0,-331000000.0,
Long Term Debt Issuance,18000000.0,5000000.0,1286000000.0,1186000000.0,
Investing Cash Flow,-593000000.0,-1320000000.0,-1249000000.0,-866000000.0,
Cash Flow From Continuing Investing Activities,-593000000.0,-1320000000.0,-1249000000.0,-866000000.0,
Net Other Investing Changes,30000000.0,20000000.0,13000000.0,36000000.0,
Net Investment Purchase And Sale,309000000.0,-433000000.0,-9000000.0,8000000.0,
Sale Of Investment,309000000.0,40000000.0,11000000.0,10000000.0,
Purchase Of Investment,,-473000000.0,-20000000.0,-2000000.0,-53000000.0
Net Business Purchase And Sale,-100000000.0,-285000000.0,-737000000.0,-449000000.0,
Sale Of Business,9000000.0,27000000.0,22000000.0,0.0,
Purchase Of Business,-109000000.0,-312000000.0,-759000000.0,-449000000.0,
Capital Expenditure Reported,-832000000.0,-622000000.0,-516000000.0,-461000000.0,
Operating Cash Flow,1397000000.0,1180000000.0,1210000000.0,1184000000.0,
Cash Flow From Continuing Operating Activities,1397000000.0,1180000000.0,1210000000.0,1184000000.0,
Change In Working Capital,-93000000.0,-152000000.0,-184000000.0,319000000.0,
Change In Other Working Capital,89000000.0,-35000000.0,97000000.0,111000000.0,
Change In Payables And Accrued Expense,375000000.0,433000000.0,-61000000.0,186000000.0,
Change In Payable,375000000.0,433000000.0,-61000000.0,,
Change In Account Payable,375000000.0,433000000.0,-61000000.0,,
Change In Prepaid Assets,-3000000.0,17000000.0,14000000.0,23000000.0,
Change In Inventory,-72000000.0,-158000000.0,-179000000.0,-28000000.0,
Change In Receivables,-482000000.0,-409000000.0,-55000000.0,27000000.0,
Other Non Cash Items,50000000.0,8000000.0,38000000.0,-69000000.0,
Stock Based Compensation,58000000.0,64000000.0,50000000.0,41000000.0,
Unrealized Gain Loss On Investment Securities,,73000000.0,362000000.0,-382000000.0,0.0
Asset Impairment Charge,20000000.0,30000000.0,0.0,17000000.0,
Deferred Tax,-44000000.0,-76000000.0,-96000000.0,123000000.0,
Deferred Income Tax,-44000000.0,-76000000.0,-96000000.0,123000000.0,
Depreciation Amortization Depletion,582000000.0,552000000.0,574000000.0,568000000.0,
Depreciation And Amortization,582000000.0,552000000.0,574000000.0,568000000.0,
Amortization Cash Flow,67000000.0,69000000.0,59000000.0,89000000.0,
Amortization Of Intangibles,67000000.0,69000000.0,59000000.0,89000000.0,
Depreciation,515000000.0,483000000.0,515000000.0,479000000.0,
Operating Gains Losses,122000000.0,36000000.0,383000000.0,4000000.0,
Pension And Employee Benefit Expense,-19000000.0,-21000000.0,-28000000.0,4000000.0,
Earnings Losses From Equity Investments,,,,,0.0
Gain Loss On Investment Securities,174000000.0,73000000.0,362000000.0,,
Gain Loss On Sale Of Business,-5000000.0,-16000000.0,29000000.0,0.0,
Net Income From Continuing Operations,702000000.0,718000000.0,445000000.0,567000000.0,
