,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,288558000.0,298948000.0,253994000.0,287067000.0,
Repayment Of Debt,0.0,-149070000.0,-2041000.0,-1967000.0,
Issuance Of Debt,0.0,55000000.0,0.0,0.0,
Capital Expenditure,-92647000.0,-67204000.0,-148800000.0,-55528000.0,
End Cash Position,144055000.0,142090000.0,183702000.0,161240000.0,
Beginning Cash Position,142090000.0,183702000.0,161240000.0,336739000.0,
Changes In Cash,1965000.0,-41612000.0,22462000.0,-175499000.0,
Financing Cash Flow,-221675000.0,-300842000.0,-194842000.0,-274869000.0,
Cash Flow From Continuing Financing Activities,-221675000.0,-300842000.0,-194842000.0,-274869000.0,
Cash Dividends Paid,-221675000.0,-206772000.0,-192801000.0,-272902000.0,
Common Stock Dividend Paid,-221675000.0,-206772000.0,-192801000.0,-272902000.0,
Net Issuance Payments Of Debt,0.0,-94070000.0,-2041000.0,-1967000.0,
Net Short Term Debt Issuance,0.0,0.0,0.0,0.0,
Short Term Debt Payments,0.0,-55000000.0,0.0,0.0,
Short Term Debt Issuance,0.0,55000000.0,0.0,0.0,
Net Long Term Debt Issuance,,-94070000.0,-2041000.0,-1967000.0,-1920000.0
Long Term Debt Payments,0.0,-94070000.0,-2041000.0,-1967000.0,
Investing Cash Flow,-157565000.0,-106922000.0,-185490000.0,-243225000.0,
Cash Flow From Continuing Investing Activities,-157565000.0,-106922000.0,-185490000.0,-243225000.0,
Net Investment Purchase And Sale,-53007000.0,-36875000.0,-39687000.0,-185086000.0,
Sale Of Investment,262560000.0,447282000.0,400167000.0,291588000.0,
Purchase Of Investment,-315567000.0,-484157000.0,-439854000.0,-476674000.0,
Net Business Purchase And Sale,,,,,3674000.0
Sale Of Business,,,,,3722000.0
Purchase Of Business,,,,,-48000.0
Net PPE Purchase And Sale,-92647000.0,-66939000.0,-148800000.0,-55513000.0,
Sale Of PPE,0.0,265000.0,0.0,15000.0,
Purchase Of PPE,-92647000.0,-67204000.0,-148800000.0,-55528000.0,
Operating Cash Flow,381205000.0,366152000.0,402794000.0,342595000.0,
Cash Flow From Continuing Operating Activities,381205000.0,366152000.0,402794000.0,342595000.0,
Change In Working Capital,-148429000.0,-34646000.0,85955000.0,17401000.0,
Change In Other Working Capital,12821000.0,358000.0,-8182000.0,9033000.0,
Change In Other Current Liabilities,0.0,15647000.0,52755000.0,41227000.0,
Change In Other Current Assets,-101250000.0,0.0,0.0,,
Change In Payables And Accrued Expense,33829000.0,23004000.0,13864000.0,-827000.0,
Change In Accrued Expense,-27089000.0,-25271000.0,10279000.0,14105000.0,
Change In Payable,60918000.0,48275000.0,3585000.0,-14932000.0,
Change In Account Payable,7237000.0,18993000.0,-4823000.0,-14307000.0,
Change In Prepaid Assets,7729000.0,-25843000.0,12161000.0,-4771000.0,
Change In Receivables,-100401000.0,-45814000.0,15514000.0,-26548000.0,
Deferred Tax,-1002000.0,9468000.0,-1854000.0,-5162000.0,
Deferred Income Tax,-1002000.0,9468000.0,-1854000.0,-5162000.0,
Depreciation And Amortization,53592000.0,51720000.0,49097000.0,34303000.0,
Depreciation,53592000.0,51720000.0,49097000.0,34303000.0,
Operating Gains Losses,30983000.0,41041000.0,-28264000.0,2749000.0,
Gain Loss On Investment Securities,29376000.0,40869000.0,-28251000.0,2764000.0,
Gain Loss On Sale Of PPE,1607000.0,172000.0,-13000.0,-15000.0,
Net Income From Continuing Operations,446061000.0,298569000.0,297860000.0,293304000.0,
Cash Flowsfromusedin Operating Activities Direct,,,402794000.0,342595000.0,364527000.0
Classesof Cash Payments,,,-2283442000.0,-2193826000.0,-2132872000.0
Other Cash Paymentsfrom Operating Activities,,,-995548000.0,-961218000.0,-935304000.0
Paymentson Behalfof Employees,,,-237115000.0,-221168000.0,-229188000.0
Classesof Cash Receiptsfrom Operating Activities,,,2686236000.0,2536421000.0,2497399000.0
Other Cash Receiptsfrom Operating Activities,,,680130000.0,623087000.0,624697000.0
