,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,3806000000.0,3465000000.0,3384000000.0,2891000000.0,
Repurchase Of Capital Stock,-434000000.0,-1229000000.0,-1828000000.0,-587000000.0,
Repayment Of Debt,-1250000000.0,-1000000000.0,-4997000000.0,-3361000000.0,
Issuance Of Debt,0.0,0.0,3494000000.0,4380000000.0,
Capital Expenditure,-904000000.0,-1114000000.0,-887000000.0,-967000000.0,
End Cash Position,1913000000.0,1242000000.0,1603000000.0,2824000000.0,
Beginning Cash Position,1242000000.0,1603000000.0,2824000000.0,902000000.0,
Changes In Cash,671000000.0,-361000000.0,-1221000000.0,1922000000.0,
Cash Flow From Discontinued Operation,-4000000.0,20000000.0,-20000000.0,-59000000.0,
Financing Cash Flow,-3094000000.0,-3471000000.0,-4590000000.0,-903000000.0,
Cash Flow From Continuing Financing Activities,-3094000000.0,-3471000000.0,-4590000000.0,-903000000.0,
Net Other Financing Charges,18000000.0,127000000.0,56000000.0,-95000000.0,
Cash Dividends Paid,-1428000000.0,-1369000000.0,-1315000000.0,-1240000000.0,
Common Stock Dividend Paid,-1428000000.0,-1369000000.0,-1315000000.0,-1240000000.0,
Net Common Stock Issuance,-434000000.0,-1229000000.0,-1828000000.0,-587000000.0,
Common Stock Payments,-434000000.0,-1229000000.0,-1828000000.0,-587000000.0,
Net Issuance Payments Of Debt,-1250000000.0,-1000000000.0,-1503000000.0,1019000000.0,
Net Short Term Debt Issuance,0.0,0.0,0.0,-441000000.0,
Short Term Debt Payments,0.0,0.0,-1997000000.0,-861000000.0,
Short Term Debt Issuance,0.0,0.0,1997000000.0,420000000.0,
Net Long Term Debt Issuance,-1250000000.0,-1000000000.0,-1503000000.0,1460000000.0,
Long Term Debt Payments,-1250000000.0,-1000000000.0,-3000000000.0,-2500000000.0,
Long Term Debt Issuance,0.0,0.0,1497000000.0,3960000000.0,
Investing Cash Flow,-941000000.0,-1489000000.0,-882000000.0,-974000000.0,
Cash Flow From Continuing Investing Activities,-941000000.0,-1489000000.0,-882000000.0,-974000000.0,
Net Other Investing Changes,-37000000.0,-375000000.0,5000000.0,-7000000.0,
Net Business Purchase And Sale,,,,-203000000.0,-19000000.0
Purchase Of Business,,,,-203000000.0,-19000000.0
Capital Expenditure Reported,-904000000.0,-1114000000.0,-887000000.0,-967000000.0,
Operating Cash Flow,4710000000.0,4579000000.0,4271000000.0,3858000000.0,
Cash Flow From Continuing Operating Activities,4710000000.0,4579000000.0,4271000000.0,3858000000.0,
Change In Working Capital,635000000.0,680000000.0,636000000.0,-204000000.0,
Change In Other Working Capital,2415000000.0,2082000000.0,354000000.0,-707000000.0,
Change In Other Current Assets,,,,208000000.0,8000000.0
Change In Payables And Accrued Expense,-512000000.0,-212000000.0,149000000.0,-254000000.0,
Change In Payable,-512000000.0,-212000000.0,149000000.0,-254000000.0,
Change In Account Payable,-303000000.0,224000000.0,194000000.0,-215000000.0,
Change In Tax Payable,-209000000.0,-436000000.0,-45000000.0,-39000000.0,
Change In Income Tax Payable,-209000000.0,-436000000.0,-45000000.0,-39000000.0,
Change In Inventory,-2219000000.0,-980000000.0,405000000.0,502000000.0,
Change In Receivables,951000000.0,-210000000.0,-272000000.0,255000000.0,
Changes In Account Receivables,38000000.0,46000000.0,138000000.0,371000000.0,
Other Non Cash Items,-107000000.0,-362000000.0,-572000000.0,16000000.0,
Stock Based Compensation,181000000.0,165000000.0,126000000.0,128000000.0,
Deferred Tax,-177000000.0,-178000000.0,-66000000.0,-127000000.0,
Deferred Income Tax,-177000000.0,-178000000.0,-66000000.0,-127000000.0,
Depreciation Amortization Depletion,863000000.0,884000000.0,890000000.0,878000000.0,
Depreciation And Amortization,863000000.0,884000000.0,890000000.0,878000000.0,
Amortization Cash Flow,255000000.0,298000000.0,322000000.0,355000000.0,
Amortization Of Intangibles,255000000.0,298000000.0,322000000.0,355000000.0,
Depreciation,608000000.0,586000000.0,568000000.0,523000000.0,
Net Income From Continuing Operations,3315000000.0,3390000000.0,3257000000.0,3167000000.0,
