,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,1714000000.0,1803000000.0,1359000000.0,1428000000.0,
Repayment Of Debt,-855000000.0,-3000000.0,-10000000.0,-20000000.0,
Issuance Of Debt,2006000000.0,8198000000.0,5000000.0,4000000.0,
Capital Expenditure,-387000000.0,-310000000.0,-248000000.0,-259000000.0,
Interest Paid Supplemental Data,570000000.0,0.0,21000000.0,46000000.0,
End Cash Position,2506000000.0,1451000000.0,561000000.0,1012000000.0,
Other Cash Adjustment Outside Changein Cash,,0.0,0.0,0.0,0.0
Beginning Cash Position,1451000000.0,561000000.0,1012000000.0,869000000.0,
Effect Of Exchange Rate Changes,-10000000.0,-3000000.0,-34000000.0,14000000.0,
Changes In Cash,1065000000.0,893000000.0,-417000000.0,129000000.0,
Financing Cash Flow,-478000000.0,-822000000.0,-263000000.0,-21544000000.0,
Cash From Discontinued Financing Activities,,0.0,0.0,-19378000000.0,-139000000.0
Cash Flow From Continuing Financing Activities,-478000000.0,-822000000.0,-263000000.0,-2166000000.0,
Net Other Financing Charges,-1576000000.0,-9026000000.0,-251000000.0,-2150000000.0,
Cash Dividends Paid,-41000000.0,0.0,0.0,,
Common Stock Dividend Paid,-41000000.0,0.0,0.0,,
Net Issuance Payments Of Debt,1139000000.0,8204000000.0,-12000000.0,-16000000.0,
Net Short Term Debt Issuance,-12000000.0,9000000.0,-7000000.0,-6000000.0,
Short Term Debt Payments,,,-7000000.0,-10000000.0,0.0
Short Term Debt Issuance,,,5000000.0,4000000.0,4000000.0
Net Long Term Debt Issuance,1151000000.0,8195000000.0,-5000000.0,-16000000.0,
Long Term Debt Payments,-855000000.0,-3000000.0,-10000000.0,-20000000.0,
Long Term Debt Issuance,2006000000.0,8198000000.0,5000000.0,4000000.0,
Investing Cash Flow,-558000000.0,-398000000.0,-1761000000.0,19986000000.0,
Cash From Discontinued Investing Activities,,0.0,0.0,20309000000.0,-12000000.0
Cash Flow From Continuing Investing Activities,-558000000.0,-398000000.0,-1761000000.0,-323000000.0,
Net Other Investing Changes,-25000000.0,-92000000.0,-47000000.0,-2000000.0,
Net Business Purchase And Sale,-147000000.0,0.0,-1481000000.0,-78000000.0,
Purchase Of Business,-147000000.0,0.0,-1481000000.0,-78000000.0,
Net Intangibles Purchase And Sale,,0.0,-6000000.0,-22000000.0,-68000000.0
Purchase Of Intangibles,,0.0,-6000000.0,-22000000.0,-68000000.0
Net PPE Purchase And Sale,-386000000.0,-306000000.0,-233000000.0,-221000000.0,
Sale Of PPE,1000000.0,4000000.0,15000000.0,16000000.0,
Purchase Of PPE,-387000000.0,-310000000.0,-248000000.0,-237000000.0,
Operating Cash Flow,2101000000.0,2113000000.0,1607000000.0,1687000000.0,
Cash From Discontinued Operating Activities,0.0,-21000000.0,0.0,-931000000.0,
Cash Flow From Continuing Operating Activities,2101000000.0,2134000000.0,1607000000.0,2618000000.0,
Taxes Refund Paid,-474000000.0,-851000000.0,-615000000.0,,
Change In Working Capital,-131000000.0,-256000000.0,-1370000000.0,-52000000.0,
Change In Other Working Capital,26000000.0,138000000.0,-21000000.0,312000000.0,
Change In Payables And Accrued Expense,-97000000.0,448000000.0,242000000.0,-207000000.0,
Change In Payable,-97000000.0,448000000.0,242000000.0,-207000000.0,
Change In Account Payable,-13000000.0,481000000.0,263000000.0,-113000000.0,
Change In Inventory,111000000.0,-402000000.0,-435000000.0,100000000.0,
Change In Receivables,-171000000.0,-440000000.0,-1156000000.0,-257000000.0,
Changes In Account Receivables,-185000000.0,-231000000.0,-1336000000.0,-221000000.0,
Other Non Cash Items,310000000.0,38000000.0,11000000.0,-670000000.0,
Stock Based Compensation,114000000.0,67000000.0,76000000.0,,
Deferred Tax,743000000.0,563000000.0,600000000.0,652000000.0,
Deferred Income Tax,743000000.0,563000000.0,600000000.0,652000000.0,
Depreciation Amortization Depletion,610000000.0,633000000.0,625000000.0,630000000.0,
Depreciation And Amortization,610000000.0,633000000.0,625000000.0,630000000.0,
Amortization Cash Flow,362000000.0,405000000.0,400000000.0,408000000.0,
Amortization Of Intangibles,362000000.0,405000000.0,400000000.0,408000000.0,
Depreciation,248000000.0,228000000.0,225000000.0,222000000.0,
Operating Gains Losses,-689000000.0,-9000000.0,5000000.0,,
Pension And Employee Benefit Expense,-689000000.0,-9000000.0,5000000.0,,
Net Income From Continuing Operations,1618000000.0,1949000000.0,2275000000.0,2058000000.0,
