,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Free Cash Flow,715100000.0,453900000.0,453600000.0,565200000.0,
Repurchase Of Capital Stock,-30000000.0,-182000000.0,-11200000.0,-41300000.0,
Repayment Of Debt,-2200000.0,-4800000.0,-467600000.0,-334900000.0,
Issuance Of Debt,700000000.0,0.0,306800000.0,350500000.0,
Capital Expenditure,-165700000.0,-129300000.0,-90200000.0,-82800000.0,
End Cash Position,336100000.0,440500000.0,286200000.0,258600000.0,
Other Cash Adjustment Outside Changein Cash,6000000.0,6200000.0,-2400000.0,1200000.0,
Beginning Cash Position,440500000.0,286200000.0,258600000.0,179800000.0,
Effect Of Exchange Rate Changes,6900000.0,-8800000.0,-3000000.0,2600000.0,
Changes In Cash,-117300000.0,156900000.0,33000000.0,75000000.0,
Financing Cash Flow,388500000.0,-437100000.0,-433000000.0,-244200000.0,
Cash Flow From Continuing Financing Activities,388500000.0,-437100000.0,-433000000.0,-244200000.0,
Net Other Financing Charges,-33800000.0,-20700000.0,-44100000.0,-17100000.0,
Cash Dividends Paid,-245500000.0,-229600000.0,-216900000.0,-201400000.0,
Common Stock Dividend Paid,-245500000.0,-229600000.0,-216900000.0,-201400000.0,
Net Common Stock Issuance,-30000000.0,-182000000.0,-11200000.0,-41300000.0,
Common Stock Payments,-30000000.0,-182000000.0,-11200000.0,-41300000.0,
Net Issuance Payments Of Debt,697800000.0,-4800000.0,-160800000.0,15600000.0,
Net Short Term Debt Issuance,97800000.0,-4800000.0,-143500000.0,121900000.0,
Short Term Debt Payments,-2200000.0,-4800000.0,-151600000.0,-3600000.0,
Short Term Debt Issuance,100000000.0,0.0,8100000.0,125500000.0,
Net Long Term Debt Issuance,600000000.0,0.0,-17300000.0,-106300000.0,
Long Term Debt Payments,0.0,0.0,-316000000.0,-331300000.0,
Long Term Debt Issuance,600000000.0,0.0,298700000.0,225000000.0,
Investing Cash Flow,-1380200000.0,16400000.0,-77800000.0,-328800000.0,
Cash From Discontinued Investing Activities,0.0,-1700000.0,-5700000.0,-5500000.0,
Cash Flow From Continuing Investing Activities,-1380200000.0,18100000.0,-72100000.0,-323300000.0,
Net Other Investing Changes,800000.0,2400000.0,9400000.0,5300000.0,
Net Investment Purchase And Sale,-3600000.0,-10700000.0,100000.0,-6200000.0,
Sale Of Investment,21800000.0,23000000.0,11500000.0,28900000.0,
Purchase Of Investment,-25400000.0,-33700000.0,-11400000.0,-35100000.0,
Net Business Purchase And Sale,-1211700000.0,155700000.0,8600000.0,-239600000.0,
Sale Of Business,0.0,332800000.0,8600000.0,0.0,
Purchase Of Business,-1211700000.0,-177100000.0,,-239600000.0,-70800000.0
Capital Expenditure Reported,-165700000.0,-129300000.0,-90200000.0,-82800000.0,
Operating Cash Flow,880800000.0,583200000.0,543800000.0,648000000.0,
Cash From Discontinued Operating Activities,0.0,-53000000.0,30100000.0,45100000.0,
Cash Flow From Continuing Operating Activities,880800000.0,636200000.0,513700000.0,602900000.0,
Change In Working Capital,-33200000.0,-34500000.0,-55900000.0,100500000.0,
Change In Other Working Capital,2100000.0,13200000.0,-14900000.0,19200000.0,
Change In Other Current Liabilities,-4500000.0,108300000.0,27600000.0,-26900000.0,
Change In Payables And Accrued Expense,13200000.0,-15300000.0,195100000.0,20700000.0,
Change In Payable,13200000.0,-15300000.0,195100000.0,20700000.0,
Change In Account Payable,13200000.0,-15300000.0,195100000.0,20700000.0,
Change In Inventory,-42100000.0,-66500000.0,-138900000.0,45800000.0,
Change In Receivables,-1900000.0,-74200000.0,-124800000.0,41700000.0,
Changes In Account Receivables,-1900000.0,-74200000.0,-124800000.0,41700000.0,
Other Non Cash Items,-14800000.0,-9200000.0,2400000.0,-14600000.0,
Stock Based Compensation,26500000.0,24500000.0,17500000.0,21900000.0,
Provisionand Write Offof Assets,300000.0,7400000.0,1300000.0,6700000.0,
Deferred Tax,-16200000.0,-27800000.0,9200000.0,1400000.0,
Deferred Income Tax,-16200000.0,-27800000.0,9200000.0,1400000.0,
Depreciation Amortization Depletion,149700000.0,148500000.0,149100000.0,144500000.0,
Depreciation And Amortization,149700000.0,148500000.0,149100000.0,144500000.0,
Operating Gains Losses,2500000.0,10500000.0,19000000.0,7800000.0,
Pension And Employee Benefit Expense,0.0,7000000.0,0.0,7600000.0,
Gain Loss On Sale Of Business,0.0,0.0,6900000.0,0.0,
Net Income From Continuing Operations,766000000.0,516800000.0,371100000.0,334700000.0,
